0001CB23 0001CB4D _TerminateThread@8
0001CB52 0001CC26 _WriteConsoleInternal@20
0001CC45 0001CC61 _WriteConsoleA@20
0001CC7B 0001CD0E _GetEnvironmentStrings@0
0001CD9E 0001CDA6 _SetFileApisToOEM@0
0001D363 0001D3CF _SetStdHandle@8
0001D3DE 0001D43B _CloseConsoleHandle@4
0001D4AD 0001D531 _DuplicateConsoleHandle@16
0001D536 0001D63E _CreateProcessInternalA@48
0001D6D7 0001D6FA _FreeEnvironmentStringsA@4
0001D827 0001D9B8 _CreatePipe@16
0001D9E4 0001DAE5 _BasepShimCacheInitTempDirs@0
0001E27A 0001E336 _BaseDllReadWriteIniFileOnDisk@4
0001E349 0001E620 _BaseDllOpenIniFileOnDisk@4
0001E6C9 0001E776 _BaseDllCloseIniFileOnDisk@4
0001E77B 0001E811 _BaseDllFindSection@4
0001E879 0001E9A8 _BaseDllAdvanceTextPointer@8
0001E9AD 0001EA43 _BaseDllFindKeyword@4
0001EA65 0001EAD8 _BaseDllReadKeywordValue@4
0001EB99 0001EC0C _TermsrvSyncUserIniFile@4
0001ECBA 0001ED89 _BaseDllReadSection@4
0001EDA5 0001EDF3 _GetPrivateProfileSectionW@16
0001EE34 0001EE69 _WritePrivateProfileStringW@16
0001EE7D 0001EEEF _BaseDllGetVariableValue@16
0001EFB6 0001EFC8 _TermsrvAppInstallMode@0
0001F009 0001F16D _BaseDllWriteKeywordValue@8
0001F172 0001F21E _BaseDllModifyMappedFile@20
0001F256 0001F542 _GetShortPathNameW@12
0001F58E 0001F711 _IsShortName_U@8
0001F716 0001F928 _MoveFileWithProgressW@20
0001F97A 0001FADC _GlobalMemoryStatusEx@4
0001FB0E 0001FB5C _VerifyVersionInfoW@16
0001FB70 0001FB89 _GetVolumeNameForVolumeMountPointW@12
0001FCA9 0001FCE2 _GetModuleHandleExW@12
0001FCE7 0001FD2E _BasepGetModuleHandleExParameterValidation@12
0001FF43 0001FFB2 _OpenConsoleWInternal@16
0001FFF4 00020042 _RemoveCtrlHandler@4
00020047 000200A7 _PrivCopyFileExW@24
000201D9 0002026E _GetComputerNameExW@12
00020297 0002041C _BasepGetNameFromReg@16
00020781 000207F0 _BasepGetVolumeNameForVolumeMountPoint@16
000207F5 00020CDF _GetVolumeNameForRoot@12
00020CFC 0002103A _GetVolumePathNamesForVolumeNameW@16
0002103F 00021113 _SetFilePointerEx@20
00021118 00021160 _DeleteTimerQueueTimer@12
00021165 000211B0 _CreateTimerQueueTimer@28
000211B5 00021226 _RegisterWaitForSingleObject@24
00021249 00021263 _MoveFileW@8
00021282 00021288 _LdrAddRefDll@8
000212D9 00021346 _GetSystemWindowsDirectoryA@8
0002134B 00021363 _GetWindowsDirectoryA@8
000213E0 000213FF _GetProfileStringW@20
0002141D 0002144F _GetExitCodeThread@8
00021454 00021460 _GetSystemWow64DirectoryA@8
0002147D 0002149C _GetProfileStringA@20
000214CB 000214F7 _GetDriveTypeA@4
0002150B 000215B8 _UnicodeToUTF8@16
000215DD 00021687 _UnicodeToUTF@32
0002168C 00021748 _GetComputerNameA@8
0002174D 0002178F _GetProcessAffinityMask@12
00021794 000217B4 _CreateDirectoryA@8
000217D2 00021933 _SearchPathA@24
00021938 00021965 _BasepOfShareToWin32Share@4
0002196A 00021AB0 _OpenFile@12
00021B8D 00021D01 _GetVolumeInformationA@32
00021D75 00021ECE _QueryDosDeviceW@12
00021F06 000220CB _DefineDosDeviceW@12
00022110 00022179 _GetCommTimeouts@8
000260AA 000260AF _DnsApiSetDebugGlobals@4
000275FB 00027AC1 _BasepCopyFileExW@36
00027B1A 00027B6A _CopyFileExW@24
00027BC3 00028488 _BaseCopyStream@56
000284A5 000284E2 _BasepProcessNameGrafting@20
000285AE 00028631 _BasepCopyEncryption@56
000286D6 0002872D _CopyFileA@12
00028785 000287DD _BasepRemoteFile@8
00028B6F 00028C1B _BaseIsDosApplication@8
00028C20 00029B76 _BaseCheckVDMp@36
00029D62 00029EAA _SetUpConsoleInfo@24
00029ECB 00029EF7 _ParseReserved@8
00029EFC 00029F02 _wcsstr
00029F18 00029F6F _SetUpHandles@4
0002A245 0002A3FD @NlsGetCacheBuffer@12
0002A402 0002A515 @NlsInvalidateCache@4
0002A51A 0002A597 _NlsGetUserLocale@4
0002A5AB 0002A689 _GetUserInfoFromRegistry@16
0002A83D 0002A8BF _NlsQueryCurrentUserInfo@16
0002A8C4 0002A8DD _EnumUILanguagesW@12
0002A8E2 0002AA03 _Internal_EnumUILanguages@16
0002AC54 0002AD1C _CreateNlsSecurityDescriptor@12
0002AD21 0002AD7B _CsrBasepNlsCreateSection@12
0002AD80 0002AE04 _OpenDataFile@8
0002AE09 0002AE96 _GetNTFileName@8
0002AF77 0002AFA5 _InitAtomTable@4
0002AFB1 0002B060 _QueryInformationJobObject@20
0002B06E 0002B0DB _RegisterWaitForSingleObjectEx@20
0002B127 0002B156 _VirtualLock@8
0002B256 0002B2AB _SetTimerQueueTimer@24
0002B31D 0002B370 _BasepShimCacheInit@12
0002B375 0002B536 _BaseInitAppcompatCacheSupport@0
0002B53B 0002B5F4 _BasepShimCacheRead@8
0002B87C 0002B942 _CreateNlsObjectDirectory@0
0002B953 0002BA02 _AppendAccessAllowedACE@8
