00008AEE 00008B0D ?SetSampleSize@CMediaType@@QAEXK@Z
00008B12 00008B47 ?SetFormat@CMediaType@@QAEHPAEK@Z
00008B4C 00008B6A ?DeleteMediaType@@YGXPAU_AMMediaType@@@Z
00008B6F 00008BA2 ?CreateMediaType@@YGPAU_AMMediaType@@PBU1@@Z
00008BA7 00008BD0 ??0FOURCCMap@@QAE@K@Z
00008BD5 00008BEC ??4CMediaType@@QAEAAV0@ABU_AMMediaType@@@Z
00008BF1 00008C08 ??4CMediaType@@QAEAAV0@ABV0@@Z
00008C0D 00008C18 ?Set@CMediaType@@QAEJABV1@@Z
00008C1D 00008CE7 _CreateAudioMediaType@12
00008CEC 00008D0B ??0CAMEvent@@QAE@H@Z
00008D10 00008D1E ??1CAMEvent@@QAE@XZ
00008D23 00008D56 ?CoInitializeHelper@CAMThread@@SGJXZ
00008D5B 00008D74 ?Wait@CAMEvent@@QAEHK@Z
00008D79 00008DA0 ?Close@CAMThread@@QAEXXZ
00008DA5 00008DF8 _AMGetWideString@8
00008DFD 00008E32 ??0CAMThread@@QAE@XZ
00008E37 00008E66 ??1CAMThread@@UAE@XZ
00008E6B 00008E94 ?InitialThreadProc@CAMThread@@SGKPAX@Z
00008E99 00008EE1 ?Create@CAMThread@@QAEHXZ
00008EE6 00008F34 ?CallWorker@CAMThread@@QAEKK@Z
00008F39 00008F4D ?GetRequest@CAMThread@@QAEKXZ
00008F52 00008F7C ?CheckRequest@CAMThread@@QAEHPAK@Z
00008F81 00008FA6 ?Reply@CAMThread@@QAEXK@Z
00008FB0 00008FED __chkstk
00008FF6 00008FFC ??3@YAXPAX@Z
00009002 00009008 ??2@YAPAXI@Z
0000900E 00009014 __purecall
00009020 000090B5 __aulldvrm
000090C0 00009128 __aulldiv
00009130 00009164 __allmul
00009169 000091A2 ?CAMDynLinkLoad@@YGXH@Z
000091A7 0000922F ?NonDelegatingQueryInterface@CAVICo@@UAGJABU_GUID@@PAPAX@Z
00009234 00009309 ?GetPin@CAVICo@@UAEPAVCBasePin@@H@Z
0000930E 000093CC ?Load@CAVICo@@UAGJPAUIPropertyBag@@PAUIErrorLog@@@Z
000093D1 000093F8 ?WriteToStream@CAVICo@@UAEJPAUIStream@@@Z
000093FD 00009443 ?ReadFromStream@CAVICo@@UAEJPAUIStream@@@Z
00009448 000094F9 ?SetMediaType@CAVICo@@UAEJW4_PinDirection@@PBVCMediaType@@@Z
000094FE 000095A2 ?DecideBufferSize@CAVICo@@UAEJPAUIMemAllocator@@PAU_AllocatorProperties@@@Z
000095A7 00009648 ?ReleaseStreamingResources@CAVICo@@AAEXXZ
0000964D 0000965C ?BeginFlush@CAVICo@@UAEJXZ
00009661 0000980A ?ShowDialog@CAVICo@@UAGJHPAUHWND__@@@Z
0000980F 000098BC ?GetState@CAVICo@@UAGJPAXPAH@Z
000098C1 00009950 ?SetState@CAVICo@@UAGJPAXH@Z
00009955 000099AD ?SendDriverMessage@CAVICo@@UAGJHJJ@Z
000099B2 00009A3D ??1CAVICo@@UAE@XZ
00009A42 00009A56 ?IsDirty@CPersistStream@@UAGJXZ
00009A5B 00009A7C ?GetSizeMax@CPersistStream@@UAGJPAT_ULARGE_INTEGER@@@Z
00009A81 00009A8E ?QueryInterface@CAVICo@@WJA@AGJABU_GUID@@PAPAX@Z
00009A93 00009AA0 ?AddRef@CAVICo@@WJA@AGKXZ
00009AA5 00009AB2 ?Release@CAVICo@@WJA@AGKXZ
00009AB7 00009AC4 ?GetClassID@CAVICo@@WJA@AGJPAU_GUID@@@Z
00009AC9 00009AD6 ?GetClassID@CAVICo@@WJE@AGJPAU_GUID@@@Z
00009ADB 00009D41 ?Transform@CAVICo@@UAEJPAUIMediaSample@@0@Z
00009D46 00009E97 ?CheckInputType@CAVICo@@UAEJPBVCMediaType@@@Z
00009E9C 0000A03C ?CheckTransform@CAVICo@@UAEJPBVCMediaType@@0@Z
0000A041 0000A244 ?GetMediaType@CAVICo@@UAEJHPAVCMediaType@@@Z
0000A249 0000A5F1 ?StartStreaming@CAVICo@@UAEJXZ
0000A5F6 0000A61A ?StopStreaming@CAVICo@@UAEJXZ
0000A61F 0000A703 ??0CAVICo@@QAE@PAGPAUIUnknown@@PAJ@Z
0000A708 0000A729 ??_GCAVICo@@UAEPAXI@Z
0000A72E 0000A75C ?CreateInstance@CAVICo@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
0000A761 0000A78E ??1CCoOutputPin@@UAE@XZ
0000A793 0000A7A9 ?QueryId@CTransformOutputPin@@UAGJPAPAG@Z
0000A7AE 0000A818 ?NonDelegatingQueryInterface@CCoOutputPin@@UAGJABU_GUID@@PAPAX@Z
0000A81D 0000A8A5 ?Reconnect@CCoOutputPin@@QAEJXZ
0000A8AA 0000A9FB ?SetFormat@CCoOutputPin@@UAGJPAU_AMMediaType@@@Z
