00009002 00009027 ?CleanupProtocolProviders@@YGHPAXPAVPROTO_CATALOG_ITEM@@@Z
00009039 0000905E ?CleanupNamespaceProviders@@YGHPAXPAVNSCATALOGENTRY@@@Z
00009071 0000908A ?RemoveCatalogItem@DCATALOG@@QAEXPAVPROTO_CATALOG_ITEM@@@Z
0000908F 000090B0 ??_GDCATALOG@@QAEPAXI@Z
000090B5 00009106 ??1DCATALOG@@QAE@XZ
00009122 00009143 ??_GDPROCESS@@QAEPAXI@Z
00009148 0000921A ??1DPROCESS@@QAE@XZ
0000921F 00009240 ??_GNSCATALOG@@QAEPAXI@Z
00009245 00009296 ??1NSCATALOG@@QAE@XZ
000092B1 000092D2 ??_GPROTO_CATALOG_ITEM@@AAEPAXI@Z
000092D7 000092E9 ??1PROTO_CATALOG_ITEM@@AAE@XZ
000092EE 00009310 ?Dereference@NSCATALOGENTRY@@QAEXXZ
00009315 00009336 ??_GNSCATALOGENTRY@@AAEPAXI@Z
0000933B 00009399 ??1NSCATALOGENTRY@@AAE@XZ
000093B4 000093E4 ?NSPCleanup@NSPROVIDER@@QAGHXZ
000093FF 00009420 ??_GNSPROVIDER@@AAEPAXI@Z
00009425 00009445 ??1NSPROVIDER@@AAE@XZ
00009462 0000957A _WSAAddressToStringA@20
00009765 00009869 _WSAStringToAddressA@20
000098CA 000098D6 ?SockAsyncGlobalTerminate@@YGXXZ
000098DB 000098EC ?DSocketClassCleanup@DSOCKET@@SGHXZ
000098F1 000098FF ?DThreadClassCleanup@DTHREAD@@SGXXZ
00009904 00009910 _DestroyStartupSynchronization@0
00009971 000099C9 ?UninitializeAutodial@@YGXXZ
0000BCE1 0000BDB4 _WSANtohl@12
0000BDC9 0000BE81 _WSANtohs@12
0000BE99 0000BEC1 ?String_ReplaceCharW@@YGKPAGGG@Z
0000BEC6 0000BF03 ?Dns_Ip4AddressToReverseName_W@@YGPAGPAGK@Z
0000BF3D 0000BFA4 ?Dns_Ip6AddressToReverseName_W@@YGPAGPAGTIP6_ADDRESS@@@Z
0000BFCB 0000BFE5 ?Dns_GetDomainNameW@@YIPAGPBG@Z
0000BFEA 0000C00D ?Dns_SplitHostFromDomainNameW@@YGPAGPAG@Z
0000C012 0000C04D ?CreateStringCopy_W@@YGPAGPBG@Z
0000C052 0000C073 ?IN6_IS_ADDR_LINKLOCAL@@YGHPBUin6_addr@@@Z
0000C078 0000C099 ?IN6_IS_ADDR_SITELOCAL@@YGHPBUin6_addr@@@Z
0000C09E 0000C0EC ?IN6_IS_ADDR_V4COMPAT@@YGHPBUin6_addr@@@Z
0000C0F1 0000C257 ?ServiceNameLookup@@YGHPBGPAHPAG@Z
0000C25C 0000C456 ?LookupNodeByAddr@@YGKPAGKHPAEHH@Z
0000C45B 0000C4F9 ?GetServiceNameForPort@@YGHPAGKGH@Z
0000C504 0000C684 ?GetNameInfoW@@YGHPBUsockaddr@@HPAGK1KH@Z
0000C689 0000C7BF _getnameinfo@28
0000C7C4 0000C7F2 ?SockAllocateContextBlock@@YGPAU_WINSOCK_CONTEXT_BLOCK@@K@Z
0000C7F7 0000C809 ?SockFreeContextBlock@@YGXPAU_WINSOCK_CONTEXT_BLOCK@@@Z
0000C80E 0000C823 ?SockAsyncThreadBlockingHook@@YGHXZ
0000C828 0000C88D ?BytesInHostent@@YGKPAUhostent@@@Z
0000C892 0000C8E9 ?BytesInServent@@YGKPAUservent@@@Z
0000C8EE 0000C933 ?BytesInProtoent@@YGKPAUprotoent@@@Z
0000C938 0000C97A ?SockQueueRequestToAsyncThread@@YGXPAU_WINSOCK_CONTEXT_BLOCK@@@Z
0000C97F 0000C9F9 ?SockCancelAsyncRequest@@YGHPAX@Z
0000C9FE 0000CBF3 ?CopyHostentToBuffer@@YGKPADHPAUhostent@@@Z
0000CBF8 0000CDA4 ?CopyServentToBuffer@@YGKPADHPAUservent@@@Z
0000CDA9 0000CEFF ?CopyProtoentToBuffer@@YGKPADHPAUprotoent@@@Z
0000CF04 0000CF2D ?SockTerminateAsyncThread@@YGXXZ
0000CF32 0000CFEC ?SockProcessAsyncGetHost@@YGXPAXKPAUHWND__@@IPADHH2H@Z
