000139A4 00013A60 _AddPrinterA@12
00013A65 00013A96 _AddPrinterConnectionA@4
00013A9B 00013ACC _DeletePrinterConnectionA@4
00013AD1 00013C8A _SetPrinterA@16
00013CB7 00013D8C _UnicodeToAnsiMultiSz@4
00013D91 00013DF0 _AnsiToUnicodeMultiSz@8
00013DF5 00013F2A _AddPrinterDriverExA@16
00013F2F 00013F48 _AddPrinterDriverA@12
00013F4D 00013FC5 _DeletePrinterDriverExA@20
00013FCA 0001403C _DeletePrinterDriverA@12
00014041 000140D6 _AddPerMachineConnectionA@16
000140DB 0001412B _DeletePerMachineConnectionA@8
00014130 000141E2 _AddPrintProcessorA@16
000141E7 00014246 _StartDocPrinterA@12
0001424B 0001440A _StringCopyExWorkerA@28
0001440F 00014462 _DeletePrinterDataExA@12
00014467 0001449C _DeletePrinterKeyA@8
000144A1 00014523 _SetPrinterDataA@20
00014528 000145CF _SetPrinterDataExA@24
000145D4 00014639 _WriteCurDevModeToRegistry@8
0001463E 00014691 _DeleteCurDevModeFromRegistry@4
00014696 000147CB _AllocateCurDevMode@12
000147D0 0001498C _MergeDevMode@8
00014991 00014AE8 _DeviceMode@16
00014AED 00014B30 _AddFormA@12
00014B35 00014B69 _DeleteFormA@8
00014B6E 00014BD0 _SetFormA@16
00014BD5 00014C28 _AddPortA@12
00014C2D 00014C80 _ConfigurePortA@12
00014C85 00014CD8 _DeletePortA@12
00014CDD 00014D39 _PrinterMessageBoxA@24
00014D3E 00014DB6 _AddMonitorA@12
00014DBB 00014E2D _DeleteMonitorA@12
00014E32 00014EB6 _DeletePrintProcessorA@12
00014EBB 00014F85 _AddPrintProvidorA@12
00014F8A 00014FFC _DeletePrintProvidorA@12
00015001 0001512C _AddPortExA@16
00015131 000151C6 _SetPortA@16
000151CB 000151E5 _IsValidDevmodeA@8
000151EA 00015229 _SetDefaultPrinterA@4
0001522E 000152F5 _ValidatePaperFields@12
000152FA 000153ED _UnicodeToAnsi@20
000153F2 00015442 _StringCbCopyExA@24
00015447 000154FC _EnumPrinterKeyA@20
00015501 00015613 _UnicodeToAnsiString@12
00015618 0001564C _ConvertUnicodeToAnsiStrings@8
00015651 00015708 _CopyOsVersionUnicodeToAnsi@12
0001570D 000157DC _CopyAnsiDevModeFromUnicodeDevMode@8
000157E1 0001587A _ConvertUnicodeDevModeToAnsiDevmode@16
0001587F 00015908 _GetJobA@24
0001590D 000159C5 _EnumJobsA@32
000159CA 00015A8D _GetPrinterA@20
00015ABA 00015B93 _GetPrinterDriverA@24
00015B98 00015C1D _GetPrinterDriverDirectoryA@24
00015C22 00015C89 _EnumPerMachineConnectionsA@20
00015C8E 00015D2C _EnumPrintProcessorsA@28
00015D31 00015DA5 _GetPrintProcessorDirectoryA@24
00015DAA 00015E48 _EnumPrintProcessorDatatypesA@28
00015E4D 00015E99 _AddJobA@20
00015E9E 00016138 _GetPrinterDataA@24
0001613D 00016430 _GetPrinterDataExA@28
00016435 0001652A _EnumPrinterDataA@36
0001652F 0001665A _EnumPrinterDataExA@24
0001665F 0001674F _DocumentPropertiesA@24
00016754 00016840 _AdvancedDocumentPropertiesA@20
00016845 00016886 _AdvancedSetupDialog@16
0001688B 000168F3 _GetFormA@24
000168F8 00016956 _EnumFormsA@24
0001695B 000169FA _EnumPortsA@24
000169FF 00016A9E _EnumMonitorsA@24
00016AA3 00016C64 _DeviceCapabilitiesA@20
00016C69 00016D61 _StartDocDlgA@8
00016D66 00016DD4 _GetDefaultPrinterA@8
00016DD9 00016E75 _PublishPrinterA@24
00016E7A 00016EC9 _ReallocSplMem@12
00016ECE 00017008 _BuildInputSD@8
0001700D 000170B6 _RouterFreeBidiResponseContainer@4
000170C9 00017100 _GetForeGroundWindow@0
00017105 00017190 _Message
00017195 00017239 _GetErrorString@4
00017259 00017292 _ReportFailure@12
00017297 00017347 _CreateTokenList@4
0001734C 000173CB _GetPrinterPortList@4
000173D0 0001759E _BuildSpoolerObjectPath@28
00017641 00017684 _PrintToFileInitDialog@8
00017689 000176A0 _PrintToFileCommandCancel@4
000176A5 000176E5 _PrintToFileHelp@16
00017715 00017851 _PrintToFileCommandOK@4
00017856 000178B7 _PrintToFileDlg@16
000178BC 00017911 _WPCSimulateThreadProc@4
00017916 00017A53 _WaitForPrinterChange@8
00017A69 00017B64 _ClusterSplOpen@20
00017B85 00017C0B _ClusterSplClose@4
00017C21 00017CA9 _ClusterSplIsAlive@4
00017CC1 00017D94 _DefPrnWriteProfileString@12
00017D99 00017E70 _bGetActualPrinterName@12
00017E75 00017EE1 _IsPrinterDefaultW@4
00017EE6 00018058 _SetDefaultPrinterW@4
00018061 0001808E _RevalidateHandle@4
00018093 000180DC _InitializeSetupInterface@4
00018115 0001813E _FreeSetupInterface@4
00018143 000181B8 _ShowPrintUpgUI@4
000181BD 0001820B ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
00018210 000183C1 ?StringVPrintfExWorkerW@@YGJPAGIIPAPAGPAIKPBGPAD@Z
000183C6 0001843E ?Bind2DS@@YGKPAPAXPAPAU_DOMAIN_CONTROLLER_INFOW@@K@Z
00018443 00018493 ?UNC2Printer@@YGKPBGPAPAG@Z
00018498 00018507 ?UNC2Server@@YGKPBGPAPAG@Z
0001850C 000185C0 ?ThisIsAColorPrinter@@YGHPBG@Z
000185C5 000185DB ?FreeGlobalStr@@YGXPAG@Z
000185E0 00018622 ?hr2dw@@YGKJ@Z
00018627 000186A0 ?DelimString2MultiSz@@YGPAGPAGG@Z
000186A5 00018717 ?GetPrinterInfo2@@YGJPAXPAPAU_PRINTER_INFO_2W@@@Z
0001871C 000187B6 ?FQDN2Canonical@@YGKPAGPAPAG@Z
000187BB 00018858 ?DevCapStrings2MultiSz@@YGPAGPAGKKPAK@Z
0001885D 000188D4 ?MachineIsInMyForest@@YGJPAG@Z
000188D9 00018903 ?StringCbPrintfW@@YAJPAGIPBGZZ
00018908 0001893D ?StringCchPrintfExW@@YAJPAGIPAPAGPAIKPBGZZ
00018942 00018A29 ?CreateEscapedDN@@YGJPBGPAPAG@Z
00018A43 00018BE4 ?DeleteDSObject@@YGJPAG@Z
00018C0D 00018D65 ?GetCommonName@@YGKPAXPAPAG@Z
00018D85 00018DC5 ?AllocGlobalStr@@YGPAGPAG@Z
00018DCA 00018E72 ?GetDNWithServer@@YGPAGPBG@Z
