000188F1 0001898D ?ImageDirectoryEntryToData64@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_OPTIONAL_HEADER64@@@Z
00018992 00018A2E ?ImageDirectoryEntryToData32@@YGPAXPAXEGPAKPAPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_FILE_HEADER@@PAU_IMAGE_OPTIONAL_HEADER@@@Z
00018A33 00018AC6 _ImageDirectoryEntryToDataEx@20
00018ACB 00018AE7 _ImageDirectoryEntryToData@16
00018AEC 00018B2A ?GenSectionTableFromVirtualAddress@@YGPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_NT_HEADERS@@PAXK@Z
00018B2F 00018B83 _ImageRvaToVa@16
00018B88 00018B9E ?tlsAlloc@@YGHXZ
00018BA3 00018BB5 ?tlsFree@@YGXXZ
00018BBA 00018BD7 _pMemReAlloc@8
00018BDC 00018BF6 _pMemAlloc@4
00018BFB 00018C1B _pMemFree@4
00018C20 00018C35 _ImagepSetLastErrorFromStatus@4
00018C3A 00018C60 _CharNext@4
00018C65 00018CB5 _CharPrev@8
00018CBA 00018CC9 ?AllocIt@@YAPAXI@Z
00018CCE 00018CDD ?FreeIt@@YAXPAX@Z
00018CE2 00018DE3 _UnDecorateSymbolName@16
00018DE8 00018E39 _GetTimestampForLoadedLibrary@4
00018E3E 00018E66 _EnsureTrailingBackslash@4
00018E6B 00018E7E ?tlsMemFree@@YGXXZ
00018E83 00018F11 _DllMain@12
00018F16 00018F4F ?CompareLineAddresses@@YAHPBX0@Z
00018F54 00018FE3 ?AddSourceEntry@@YGXPAU_MODULE_ENTRY@@PAU_SOURCE_ENTRY@@@Z
00018FE8 00019278 ?AddLinesForCoff@@YGHPAU_MODULE_ENTRY@@PAU_IMAGE_SYMBOL@@KPAU_IMAGE_LINENUMBER@@@Z
0001927D 00019490 ?AddLinesForOmfSourceModule@@YGHPAU_MODULE_ENTRY@@PAEPAUOMFSourceModule@@PAX@Z
00019495 000194C1 ?FillLineInfo@@YGXPAU_SOURCE_ENTRY@@PAU_SOURCE_LINE@@PAU_IMAGEHLP_LINE64@@@Z
000194C6 00019581 ?FindLineInSource@@YGPAU_SOURCE_LINE@@PAU_SOURCE_ENTRY@@_K@Z
00019586 000195CD ?FindNextSourceEntryForAddr@@YGPAU_SOURCE_ENTRY@@PAU_MODULE_ENTRY@@_KPAU1@@Z
000195D2 000196DA ?GetLineFromAddr@@YGHPAU_MODULE_ENTRY@@_KPAKPAU_IMAGEHLP_LINE64@@@Z
000196DF 0001971F ?FindNextSourceEntryForFile@@YGPAU_SOURCE_ENTRY@@PAU_MODULE_ENTRY@@PADPAU1@@Z
00019724 00019860 ?FindLineByName@@YGHPAU_MODULE_ENTRY@@PADKPAJPAU_IMAGEHLP_LINE64@@@Z
00019865 000198F2 ?GetFileLineOffsets@@YGKPAU_MODULE_ENTRY@@PADPA_KK@Z
000198F7 000199C9 _SymGetFileLineOffsets64@20
000199CE 00019A04 ?mdSet@@YGKPAU_MODULE_DATA@@KKK@Z
00019A09 00019A58 ?GetUnfoundData@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
00019A5D 00019A88 ?IsImageMachineType64@@YGHK@Z
00019A8D 00019AF0 _ReadImageData@28
00019AF5 00019B35 _MapItRO@4
00019B3A 00019B84 _CloseSymbolServer@0
00019B89 00019C1A ?ProcessSymbolServerError@@YGKHPBD@Z
00019C1F 00019C53 ?SymbolServerCallback@@YGHI_K0@Z
00019C58 00019C9B _SetSymbolServerOptions@12
00019CA0 00019CC4 _SetSymbolServerCallback@4
00019CC9 00019DDB ?ProcessOldStyleCodeView@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
00019DE0 00019E21 ?SectionContains@@YGKPAXPAU_IMAGE_SECTION_HEADER@@PAU_IMAGE_DATA_DIRECTORY@@@Z
00019E26 00019FC0 ?RetrievePdbInfo@@YGXPAU_IMGHLP_DEBUG_DATA@@PBD@Z
00019FC5 0001A052 ?FakePdbName@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001A057 0001A0AB ?FindDebugInfoFileExCallback@@YGHPAXPAD0@Z
0001A0B0 0001AA54 ?ProcessDebugInfo@@YGHPAU_IMGHLP_DEBUG_DATA@@K@Z
0001AA59 0001ABE2 ?FigureOutImageName@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001ABE7 0001ACAB ?FindExecutableImageExCallback@@YGHPAXPAD0@Z
0001ACB0 0001ACF6 ?SymbolInfoFound@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001ACFB 0001ADC5 ?FileNameIsPdb@@YGHPAU_IMGHLP_DEBUG_DATA@@PAD@Z
0001ADCA 0001AE42 _InitDebugData@0
0001AE47 0001AFC5 _ReleaseDebugData@8
0001AFCA 0001AFDD ?ProcessImageDebugInfo@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001AFE2 0001AFF5 ?ProcessInProcDebugInfo@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001AFFA 0001B00D ?ProcessDbgDebugInfo@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001B012 0001B0CC ?ProcessCallerDataDebugInfo@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001B0D1 0001B134 ?mdfnGetExecutableImage@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001B139 0001B2CC _GetFileFromSymbolServer@24
0001B2D1 0001B5D4 _GetDebugData@32
0001B5D9 0001B5E4 ??_V@YAXPAX@Z
0001B5E9 0001B5F4 ??_U@YAPAXI@Z
0001B5F9 0001B63E ?ImgHlpDummyCB@@YGHPAU_SYMBOL_INFO@@KPAX@Z
0001B643 0001B6B5 ?symcpy2@@YGXPAU_SYMBOL_INFO@@PAU_SYMBOL_ENTRY@@@Z
0001B6BA 0001B776 _SymCleanup@4
0001B77B 0001B7A8 _SymSetOptions@4
0001B7AD 0001B7B3 _SymGetOptions@0
0001B7B8 0001B7EC _SymSetContext@12
0001B7F1 0001B88A ?SympEnumerateModules@@YGHPAXP6GHXZ0H@Z
0001B88F 0001B92D ?dbhfnModSymInfo@@YGHPAXPAU_DBH_MODSYMINFO@@@Z
0001B932 0001B95D ?dbhfnDiaVersion@@YGHPAU_DBH_DIAVERSION@@@Z
0001B962 0001B9D8 _dbghelp@8
0001B9DD 0001B9F6 _SymEnumerateModules@12
0001B9FB 0001BA14 _SymEnumerateModules64@12
0001BA19 0001BAC2 ?SympGetSymFromAddr@@YGHPAX_KPA_KPAU_SYMBOL_ENTRY@@@Z
0001BAC7 0001BAFF _SymGetSymFromAddr64@20
0001BB04 0001BB48 _SymGetSymFromAddr@16
0001BB4D 0001BC63 _SymSetSymWithAddr64@20
0001BC68 0001BE82 ?SympGetSymFromName@@YGHPAXPADPAU_SYMBOL_ENTRY@@@Z
0001BE87 0001BEB9 _SymGetSymFromName64@12
0001BEBE 0001BEF0 _SymGetSymFromName@12
0001BEF5 0001BFFC ?SympGetSymNextPrev@@YGHPAXPAU_IMAGEHLP_SYMBOL64@@H@Z
0001C001 0001C0AA _SymGetLineFromAddr64@20
0001C0AF 0001C0ED _SymGetLineFromAddr@16
0001C0F2 0001C2F0 _SymGetLineFromName64@24
0001C2F5 0001C340 _SymGetLineFromName@24
0001C345 0001C464 _SymGetLineNext64@8
0001C469 0001C4A8 _SymGetLineNext@8
0001C4AD 0001C5BE _SymGetLinePrev64@8
0001C5C3 0001C602 _SymGetLinePrev@8
0001C607 0001C69B _SymMatchFileName@16
0001C6A0 0001C713 _SymRegisterFunctionEntryCallback@12
0001C718 0001C78B _SymRegisterFunctionEntryCallback64@16
0001C790 0001C949 _SymFunctionTableAccess64@12
0001C94E 0001CA6B _SymGetModuleInfo64@16
0001CA70 0001CBA3 _SymGetModuleInfo@12
0001CBA8 0001CC13 _SymGetModuleBase64@12
0001CC18 0001CC2E _SymGetModuleBase@8
0001CC33 0001CCDF _SymUnloadModule64@12
0001CCE4 0001CCFA _SymUnloadModule@8
0001CCFF 0001CD5E _SymLoadModuleEx@36
0001CD63 0001CD8A _SymLoadModule64@28
0001CD8F 0001CDB1 _SymLoadModule@24
0001CDB6 0001CE25 _SymUnDName@12
0001CE2A 0001CE99 _SymUnDName64@12
0001CE9E 0001CF03 _SymGetSearchPath@12
0001CF08 0001D0A6 _SymSetSearchPath@8
0001D0AB 0001D115 _EnumerateLoadedModules@12
0001D11A 0001D184 _EnumerateLoadedModules64@12
0001D189 0001D1FC _SymRegisterCallback@12
0001D201 0001D274 _SymRegisterCallback64@16
0001D279 0001D29C ?InitModuleEntry@@YGXPAU_MODULE_ENTRY@@@Z
0001D2A1 0001D310 ?CopySymbolEntryFromSymbolInfo@@YGHPAU_SYMBOL_ENTRY@@PAU_SYMBOL_INFO@@@Z
0001D315 0001D35D _SymFromAddr@20
0001D362 0001D394 _SymFromName@12
0001D399 0001D3FA _SymEnumTypes@20
0001D3FF 0001D4EC _SymGetTypeFromName@20
0001D4F1 0001D574 ?AnsiToUnicode@@YGPAGPAD@Z
0001D579 0001D5C7 ?wcs2ansi@@YGHPAGPADK@Z
0001D5CC 0001D619 ?ansi2wcs@@YGHPADPAGK@Z
0001D61E 0001D650 _SymGetTypeInfo@24
0001D655 0001D6F6 ?DoEnumCallback@@YGHPAU_PROCESS_ENTRY@@PAU_SYMBOL_INFO@@KP6GHXZPAXHH@Z
0001D6FB 0001D852 _SymInitialize@12
0001D857 0001D8A3 _SymGetSymNext@8
0001D8A8 0001D8BE _SymGetSymNext64@8
0001D8C3 0001D90F _SymGetSymPrev@8
0001D914 0001D92A _SymGetSymPrev64@8
0001D92F 0001D946 _SymFunctionTableAccess@8
0001D94B 0001D9DC ?SympConvertAnsiModule32ToUnicodeModule32@@YGHPAU_IMAGEHLP_MODULE@@PAU_IMAGEHLP_MODULEW@@@Z
0001D9E1 0001DA6F ?SympConvertUnicodeModule32ToAnsiModule32@@YGHPAU_IMAGEHLP_MODULEW@@PAU_IMAGEHLP_MODULE@@@Z
0001DA74 0001DB0B ?SympConvertAnsiModule64ToUnicodeModule64@@YGHPAU_IMAGEHLP_MODULE64@@PAU_IMAGEHLP_MODULE64W@@@Z
0001DB10 0001DBA4 ?SympConvertUnicodeModule64ToAnsiModule64@@YGHPAU_IMAGEHLP_MODULE64W@@PAU_IMAGEHLP_MODULE64@@@Z
0001DBA9 0001DC0F ?strcmpre@@YGHPAD0H@Z
0001DC14 0001DC30 _SymMatchString@12
0001DC35 0001DC6B ?MatchModuleName@@YGHPAU_MODULE_ENTRY@@PAD@Z
0001DC70 0001DFC3 ?SympEnumerateSymbols@@YGHPAX_KPADP6GHXZ0HH@Z
0001DFC8 0001E002 _SymEnumerateSymbols@16
0001E007 0001E047 _SymEnumerateSymbols64@20
0001E04C 0001E0D1 _SymGetModuleInfoW@12
0001E0D6 0001E13E _SymGetModuleInfoW64@16
0001E143 0001E167 _SymEnumSymbols@24
0001E16C 0001E18B _SymEnumSym@20
0001E190 0001E374 _SymEnumSourceFiles@24
0001E379 0001E3C6 ?NTGetPID@@YGKPAX@Z
0001E3CB 0001E3DF ?GetWin9xObsfucator@@YGKXZ
0001E3E4 0001E43E ?GetPtrFromHandle@@YGKPAX@Z
0001E443 0001E48E ?Win9xGetPID@@YGKPAX@Z
0001E493 0001E4F6 ?GetPID@@YGKPAX@Z
0001E4FB 0001E614 ?Win95GetProcessModules@@YGKPAXP6GH0PAD_KK0@Z0@Z
0001E619 0001E70E ?NTGetProcessModules@@YGKPAXP6GH0PAD_KK0@Z0@Z
0001E713 0001E882 ?FreeModuleEntry@@YGXPAU_PROCESS_ENTRY@@PAU_MODULE_ENTRY@@@Z
0001E887 0001E8E4 ?MatchSymbolName@@YGHPAU_SYMBOL_ENTRY@@PAD@Z
0001E8E9 0001E92A ?SearchRvaFunctionTable@@YGPAUIMGHLP_RVA_FUNCTION_DATA@@PAU1@JJK@Z
