0009E062 0009E068 CreatePen
0009E06E 0009E074 SetDIBitsToDevice
0009E07A 0009E080 SetROP2
0009E086 0009E08C gluDeleteTess
0009E092 0009E098 gluTessProperty
0009E09E 0009E0A4 gluTessNormal
0009E0AA 0009E0B0 gluTessCallback
0009E0B6 0009E0BC gluNewTess
0009E0C2 0009E0C8 gluTessEndPolygon
0009E0CE 0009E0D4 gluTessEndContour
0009E0DA 0009E0E0 gluTessVertex
0009E0E6 0009E0EC gluTessBeginContour
0009E0F2 0009E0F8 gluTessBeginPolygon
0009E0FE 0009E104 DirectDrawCreate
