0000E0C6 0000E137 ?COMHook_IDirectDraw2_CreateSurface@NS_CorrectCreateSurface@@YGJPAXPAU_DDSURFACEDESC@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000E13C 0000E1AD ?COMHook_IDirectDraw4_CreateSurface@NS_CorrectCreateSurface@@YGJPAXPAU_DDSURFACEDESC2@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000E1B2 0000E223 ?COMHook_IDirectDraw7_CreateSurface@NS_CorrectCreateSurface@@YGJPAXPAU_DDSURFACEDESC2@@PAPAUIDirectDrawSurface@@PAUIUnknown@@@Z
0000E228 0000E25E ??1CStringToken@ShimLib@@QAE@XZ
0000E263 0000E278 ?CompareNoCase@CString@ShimLib@@QBEHPBG@Z
0000E27D 0000E2AE ?GetDWord@NS_CorrectCreateSurface@@YGKABVCString@ShimLib@@@Z
0000E2B3 0000E410 ?ParseCommandLine@NS_CorrectCreateSurface@@YGHPBD@Z
0000E415 0000E431 ?NotifyFn@NS_CorrectCreateSurface@@YGHK@Z
0000E436 0000E6B1 ?InitializeHooksMulti@NS_CorrectCreateSurface@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000E6B6 0000E77A ?APIHook_CreateFontIndirectA@NS_CorrectFarEastFont@@YGPAUHFONT__@@PBUtagLOGFONTA@@@Z
0000E77F 0000E7F7 ?InitializeHooksMulti@NS_CorrectFarEastFont@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000E7FC 0000E832 ?LOGN@NS_CorrectFilePathInSetDlgItemText@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000E837 0000E912 ?APIHook_SetDlgItemTextA@NS_CorrectFilePathInSetDlgItemText@@YGHPAUHWND__@@HPBD@Z
0000E91D 0000E995 ?InitializeHooksMulti@NS_CorrectFilePathInSetDlgItemText@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000E99A 0000E9C8 ?InitializePathFixes@CorrectPathChangesForceUser@NS_CorrectFilePathsUninstall@@MAEXXZ
0000E9CD 0000E9E1 ??0CorrectPathChangesUser@ShimLib@@QAE@XZ
0000E9E6 0000E9EB ??1CorrectPathChangesUser@ShimLib@@UAE@XZ
0000E9F0 0000EA24 ?InitializePathCorrections@NS_CorrectFilePathsUninstall@@YGXXZ
0000EA29 0000EA61 ?bFindFirstFileA@NS_CorrectFilePathsUninstall@@YGHPBDPAU_WIN32_FIND_DATAA@@AAPAX@Z
0000EA66 0000EA9B ?bGetFileAttributesA@NS_CorrectFilePathsUninstall@@YGHPBDAAK@Z
0000EAA0 0000EAD4 ?bDeleteFileA@NS_CorrectFilePathsUninstall@@YGHPBDAAH@Z
0000EAD9 0000EB57 ?bRemoveDirectoryA@NS_CorrectFilePathsUninstall@@YGHPBDAAH@Z
0000EB5C 0000EBBE ?Resize@?$VectorT@PAX@ShimLib@@QAEHH@Z
0000EBC3 0000EBD7 ??0CorrectPathChangesAllUser@ShimLib@@QAE@XZ
0000EBDC 0000EBF0 ??0CorrectPathChangesForceUser@NS_CorrectFilePathsUninstall@@QAE@XZ
0000EBF5 0000EC16 ??_GCorrectPathChangesForceUser@NS_CorrectFilePathsUninstall@@UAEPAXI@Z
0000EC1B 0000ED36 ?InitPathcorrectorClass@NS_CorrectFilePathsUninstall@@YGHXZ
0000ED3B 0000ED5F ?NotifyFn@NS_CorrectFilePathsUninstall@@YGHK@Z
0000ED64 0000ED69 ??1CharVector@ShimLib@@QAE@XZ
0000ED6E 0000EDB8 ?Append@FileLocations@NS_CorrectFilePathsUninstall@@QAEXPBD@Z
0000EDBD 0000EE3A ?Set@FileLocations@NS_CorrectFilePathsUninstall@@QAEXPBD@Z
0000EE3F 0000EE85 ??1FileLocations@NS_CorrectFilePathsUninstall@@QAE@XZ
0000EE8A 0000EEF7 ?APIHook_GetFileAttributesA@NS_CorrectFilePathsUninstall@@YGKPBD@Z
0000EEFC 0000EF69 ?APIHook_DeleteFileA@NS_CorrectFilePathsUninstall@@YGHPBD@Z
0000EF6E 0000EFDB ?APIHook_RemoveDirectoryA@NS_CorrectFilePathsUninstall@@YGHPBD@Z
0000EFE0 0000F068 ?APIHook_FindFirstFileA@NS_CorrectFilePathsUninstall@@YGPAXPBDPAU_WIN32_FIND_DATAA@@@Z
0000F06D 0000F177 ?InitializeHooksMulti@NS_CorrectFilePathsUninstall@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000F17C 0000F1B2 ?LOGN@NS_CorrectOpenFileExclusive@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000F1B7 0000F21E ?APIHook_OpenFile@NS_CorrectOpenFileExclusive@@YGHPBDPAU_OFSTRUCT@@I@Z
0000F223 0000F29B ?InitializeHooksMulti@NS_CorrectOpenFileExclusive@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000F2A0 0000F2DD ?SplitTitleAndPath@NS_CorrectVerInstallFile@@YGXAAVCString@ShimLib@@0@Z
0000F2E2 0000F4ED ?APIHook_VerInstallFileA@NS_CorrectVerInstallFile@@YGKKPAD00000PAI@Z
0000F4F2 0000F6CF ?APIHook_VerInstallFileW@NS_CorrectVerInstallFile@@YGKKPAG00000PAI@Z
0000F6D4 0000F775 ?InitializeHooksMulti@NS_CorrectVerInstallFile@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000F77A 0000F7B0 ?LOGN@NS_CUASAppFix@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000F7B5 0000F80E ?CUASAppFix@NS_CUASAppFix@@YGXPBD@Z
0000F813 0000F830 ?NotifyFn@NS_CUASAppFix@@YGHK@Z
0000F835 0000F89D ?InitializeHooksMulti@NS_CUASAppFix@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000F8A2 0000F8C6 ?TurnOffCicero@NS_CUASDisableCicero@@YGXXZ
0000F8CB 0000F8E2 ?NotifyFn@NS_CUASDisableCicero@@YGHK@Z
0000F8E7 0000F94F ?InitializeHooksMulti@NS_CUASDisableCicero@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000F954 0000F98A ?LOGN@NS_DelayDllInit@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000F98F 0000F9AF ?PatchedDllMain@NS_DelayDllInit@@YGHPAUHINSTANCE__@@KPAX@Z
0000F9B4 0000FBCE ?NotifyFn@NS_DelayDllInit@@YGHK@Z
0000FBD9 0000FC41 ?InitializeHooksMulti@NS_DelayDllInit@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000FC46 0000FC7C ?LOGN@NS_DelayShowGroup@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000FC81 0000FCDD ?WindowEnumCB@NS_DelayShowGroup@@YGHPAUHWND__@@J@Z
0000FCE2 0000FD0E ?CheckForWindow@NS_DelayShowGroup@@YGHPBD@Z
0000FD13 0000FE55 ?DelayIfShowGroup@NS_DelayShowGroup@@YGXPAE@Z
0000FE5A 0000FEA1 ?APIHook_DdeClientTransaction@NS_DelayShowGroup@@YGPAUHDDEDATA__@@PAEKPAUHCONV__@@PAUHSZ__@@IIKPAK@Z
0000FEA6 0000FF1E ?InitializeHooksMulti@NS_DelayShowGroup@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000FF23 0000FF59 ?LOGN@NS_DelayWin95VersionLie@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0000FF5E 0000FFDC ?APIHook_GetVersionExA@NS_DelayWin95VersionLie@@YGHPAU_OSVERSIONINFOA@@@Z
0000FFE1 0001005F ?APIHook_GetVersionExW@NS_DelayWin95VersionLie@@YGHPAU_OSVERSIONINFOW@@@Z
00010064 00010093 ?APIHook_GetVersion@NS_DelayWin95VersionLie@@YGKXZ
00010098 000100FC ?NotifyFn@NS_DelayWin95VersionLie@@YGHK@Z
0001010B 000101E7 ?InitializeHooksMulti@NS_DelayWin95VersionLie@@YGPAUtagHOOKAPI@@KPADPAK@Z
000101EC 00010222 ?LOGN@NS_DelayWinMMCallback@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
00010227 00010237 ?Init@WaveOutList@NS_DelayWinMMCallback@@AAEHXZ
0001023C 00010251 ?GetLocked@WaveOutList@NS_DelayWinMMCallback@@CGPAV12@XZ
00010256 000102B8 ?Resize@?$VectorT@VWinMMCallbackData@NS_DelayWinMMCallback@@@ShimLib@@QAEHH@Z
000102BD 00010323 ?Resize@?$VectorT@VWaveOutInfo@NS_DelayWinMMCallback@@@ShimLib@@QAEHH@Z
00010328 00010363 ?CallCallbackRoutines@WaveOutInfo@NS_DelayWinMMCallback@@QAEXXZ
00010368 00010392 ?FindWave@WaveOutList@NS_DelayWinMMCallback@@ABEHABQAUHWAVEOUT__@@@Z
00010397 000103B0 ?ClearCallbackData@WaveOutList@NS_DelayWinMMCallback@@AAEXXZ
000103B5 000103BD ??1WaveOutInfo@NS_DelayWinMMCallback@@QAE@XZ
000103C2 00010402 ?Append@?$VectorT@VWinMMCallbackData@NS_DelayWinMMCallback@@@ShimLib@@QAEHABVWinMMCallbackData@NS_DelayWinMMCallback@@@Z
00010407 00010448 ?Append@?$VectorT@VWaveOutInfo@NS_DelayWinMMCallback@@@ShimLib@@QAEHABVWaveOutInfo@NS_DelayWinMMCallback@@@Z
0001044D 00010490 ?Remove@?$VectorT@VWaveOutInfo@NS_DelayWinMMCallback@@@ShimLib@@QAEXH@Z
00010495 000104E7 ?Duplicate@?$VectorT@VWaveOutInfo@NS_DelayWinMMCallback@@@ShimLib@@QAEXABV12@@Z
000104EC 000104FA ?AddCallbackData@WaveOutInfo@NS_DelayWinMMCallback@@QAEXABVWinMMCallbackData@2@@Z
000104FF 00010525 ?Create@WaveOutList@NS_DelayWinMMCallback@@SGHXZ
0001052A 00010563 ?Add@WaveOutList@NS_DelayWinMMCallback@@SGXABVWaveOutInfo@2@@Z
00010568 0001059E ?RemoveWaveOut@WaveOutList@NS_DelayWinMMCallback@@SGXABQAUHWAVEOUT__@@@Z
000105A3 000105E1 ?AddCallbackData@WaveOutList@NS_DelayWinMMCallback@@SGXABQAUHWAVEOUT__@@ABVWinMMCallbackData@2@@Z
000105E6 00010617 ?WaveOutCallback@NS_DelayWinMMCallback@@YGXPAUHWAVEOUT__@@IKKK@Z
0001061C 000106A8 ?APIHook_waveOutOpen@NS_DelayWinMMCallback@@YGIPAPAUHWAVEOUT__@@IPAUtWAVEFORMATEX@@KKK@Z
000106AD 000106D6 ?APIHook_waveOutClose@NS_DelayWinMMCallback@@YGIPAUHWAVEOUT__@@@Z
000106DB 000106F1 ?NotifyFn@NS_DelayWinMMCallback@@YGHK@Z
000106F6 0001071A ??0?$VectorT@VWaveOutInfo@NS_DelayWinMMCallback@@@ShimLib@@QAE@ABV01@@Z
0001071F 0001079A ?CallCallbackRoutines@WaveOutList@NS_DelayWinMMCallback@@SGXXZ
0001079F 000107BD ?TimerCallback@NS_DelayWinMMCallback@@YGXPAUHWND__@@IIK@Z
000107C2 000107F7 ?APIHook_SetTimer@NS_DelayWinMMCallback@@YGIPAUHWND__@@IIP6GX0IIK@Z@Z
000107FC 000108D9 ?InitializeHooksMulti@NS_DelayWinMMCallback@@YGPAUtagHOOKAPI@@KPADPAK@Z
000108DE 00010914 ?LOGN@NS_DeleteSpecifiedFiles@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
00010919 0001094E ??1FILENAME_PATH@NS_DeleteSpecifiedFiles@@QAE@XZ
00010953 0001097F ??4FILENAME_PATH@NS_DeleteSpecifiedFiles@@QAEAAV01@ABV01@@Z
00010984 000109EA ?Resize@?$VectorT@VFILENAME_PATH@NS_DeleteSpecifiedFiles@@@ShimLib@@QAEHH@Z
000109EF 00010A3C ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
00010A41 00010A60 ??0FILENAME_PATH@NS_DeleteSpecifiedFiles@@QAE@XZ
00010A65 00010AB1 ?AppendConstruct@?$VectorT@VFILENAME_PATH@NS_DeleteSpecifiedFiles@@@ShimLib@@QAEHABVFILENAME_PATH@NS_DeleteSpecifiedFiles@@@Z
00010AB6 00010AE0 ?StringCbPrintfW@@YAJPAGIPBGZZ
00010AE5 00010C1E ?FileCheckVersion@NS_DeleteSpecifiedFiles@@YGHABVCString@ShimLib@@0@Z
00010C23 00010D2D ?DeleteFiles@NS_DeleteSpecifiedFiles@@YGXXZ
00010D32 00010DCC ?CheckFileExistence@NS_DeleteSpecifiedFiles@@YGHXZ
00010DD1 00010FA7 ?ParseCommandLine@NS_DeleteSpecifiedFiles@@YGHPBD@Z
00010FB2 00010FF3 ?NotifyFn@NS_DeleteSpecifiedFiles@@YGHK@Z
00010FF8 00011060 ?InitializeHooksMulti@NS_DeleteSpecifiedFiles@@YGPAUtagHOOKAPI@@KPADPAK@Z
00011065 0001109B ?LOGN@NS_DeRandomizeExeName@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
000110A0 000110F0 ??1AppAndCommandLine@ShimLib@@QAE@XZ
000110F5 00011254 ?APIHook_CreateProcessA@NS_DeRandomizeExeName@@YGHPBDPADPAU_SECURITY_ATTRIBUTES@@2HKPAX0PAU_STARTUPINFOA@@PAU_PROCESS_INFORMATION@@@Z
0001125F 0001136D ?ParseCommandLine@NS_DeRandomizeExeName@@YGHXZ
00011378 0001138E ?NotifyFn@NS_DeRandomizeExeName@@YGHK@Z
00011393 00011425 ?InitializeHooksMulti@NS_DeRandomizeExeName@@YGPAUtagHOOKAPI@@KPADPAK@Z
0001142A 00011460 ?APIHook_CreateThread@NS_DisableBoostThread@@YGPAXPAU_SECURITY_ATTRIBUTES@@KP6GKPAX@Z1KPAK@Z
00011465 0001147E ??8ShimLib@@YG_NABVCString@0@PBG@Z
00011483 00011570 ?NotifyFn@NS_DisableBoostThread@@YGHK@Z
0001157B 0001160D ?InitializeHooksMulti@NS_DisableBoostThread@@YGPAUtagHOOKAPI@@KPADPAK@Z
00011612 00011648 ?LOGN@NS_DisableFilterKeys@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0001164D 000116C0 ?DisableFilterKeys@NS_DisableFilterKeys@@YGXXZ
000116C5 00011702 ?EnableFilterKeys@NS_DisableFilterKeys@@YGXXZ
00011707 0001172B ?NotifyFn@NS_DisableFilterKeys@@YGHK@Z
00011730 00011798 ?InitializeHooksMulti@NS_DisableFilterKeys@@YGPAUtagHOOKAPI@@KPADPAK@Z
0001179D 000117E0 ?NotifyFn@NS_DisableNX@@YGHK@Z
000117E5 0001184D ?InitializeHooksMulti@NS_DisableNX@@YGPAUtagHOOKAPI@@KPADPAK@Z
00011852 00011888 ?LOGN@NS_DisableScreenSaver@@YAXW4DEBUGLEVEL@ShimLib@@PBDZZ
0001188D 00011904 ?NotifyFn@NS_DisableScreenSaver@@YGHK@Z
00011909 00011971 ?InitializeHooksMulti@NS_DisableScreenSaver@@YGPAUtagHOOKAPI@@KPADPAK@Z
