0001A12F 0001A161 __GetLinkerVersion
0001A166 0001A2D9 ___heap_select
0001A2DE 0001A341 __heap_init
0001A346 0001A3FC __heap_term
0001A401 0001A407 __get_heap_handle
0001A40C 0001A42B __get_sbh_threshold
0001A430 0001A47E ___sbh_heap_init
0001A483 0001A4B3 ___sbh_find_block
0001A4B8 0001A7D2 ___sbh_free_block
0001A7D7 0001A88E ___sbh_alloc_new_region
0001A893 0001A99B ___sbh_alloc_new_group
0001A9A0 0001AC81 ___sbh_resize_block
0001AC86 0001AD57 ___sbh_heapmin
0001AD5C 0001B077 ___sbh_heap_check
0001B07C 0001B1BD ___old_sbh_new_region
0001B1C2 0001B21D ___old_sbh_release_region
0001B222 0001B2E6 ___old_sbh_decommit_pages
0001B2EB 0001B344 ___old_sbh_find_block
0001B349 0001B391 ___old_sbh_free_block
0001B396 0001B4B8 ___old_sbh_alloc_block_from_page
0001B4BD 0001B56F ___old_sbh_resize_block
0001B574 0001B6DB ___old_sbh_heap_check
0001B6E0 0001B797 __set_sbh_threshold
0001B79C 0001BA9A ___sbh_alloc_block
0001BA9F 0001BC9A ___old_sbh_alloc_block
0001BC9F 0001BCAE __heapadd
0001BCB3 0001BD33 __heapchk
0001BD82 0001BD87 __heapset
0001BD8C 0001BDFB __heapmin
0001BE3A 0001BE48 __heapused
0001BE4D 0001BF67 __heapwalk
0001BF6C 0001C02E __msize
0001C03F 0001C0BE __resetstkoflw
0001C0C3 0001C1DE _calloc
0001C21B 0001C2C6 _free
0001C2E9 0001C397 __heap_alloc
0001C3D4 0001C402 __nh_malloc
0001C407 0001C432 _malloc
0001C437 0001C5A8 _realloc
0001C780 0001C7B4 __allmul
0001C7C0 0001C855 __aulldvrm
0001C85A 0001CA58 __ioinit
0001CA5D 0001CAAB __ioterm
0001CAB0 0001CB8C __cgets
0001CB91 0001CE57 __cgetws
0001CE5C 0001CFA9 __chsize_lk
0001CFAE 0001D045 __chsize
0001D04A 0001D0D2 __close_lk
0001D0D7 0001D172 __close
0001D177 0001D233 __commit
0001D238 0001D298 __cputs
0001D29D 0001D358 __putwch_lk
0001D35D 0001D3C5 __cputws
0001D3CA 0001D40A __putwch
0001D40F 0001D429 __creat
0001D4F4 0001D5A4 __dup
0001D70D 0001D7D8 __dup2
0001D7DD 0001D8DD __eof
0001D8E2 0001D9B6 __filelength
0001D9BB 0001DAAF __filelengthi64
0001DAB4 0001DD70 __fstat
0001DD75 0001E075 __fstat64
0001E07A 0001E355 __fstati64
0001E35A 0001E3DA __set_osfhnd
0001E3DF 0001E463 __free_osfhnd
0001E468 0001E4AF __get_osfhandle
0001E4B4 0001E52C __lock_fhandle
0001E531 0001E558 __unlock_fhandle
0001E55D 0001E6AD __alloc_osfhnd
0001E6B2 0001E75D __open_osfhandle
0001E762 0001E789 __ungetch_lk
0001E78E 0001E840 __getextendedkeycode
0001E845 0001E908 __getch_lk
0001E90D 0001E944 __getche_lk
0001E949 0001EA71 __kbhit_lk
0001EA76 0001EA9C __ungetch
0001EAA1 0001EABF __getch
0001EAC4 0001EAE2 __getche
0001EAE7 0001EB05 __kbhit
0001EB0A 0001EC7A __getwch_lk
0001EC7F 0001ECC0 __getwche_lk
0001ECC5 0001ECF1 __ungetwch_lk
0001ECF6 0001ED15 __getwch
0001ED1A 0001ED39 __getwche
0001ED3E 0001ED65 __ungetwch
0001ED70 0001ED79 __inp
0001ED79 0001ED81 __inpw
0001ED81 0001ED88 __inpd
0001ED8D 0001EDBD __isatty
0001EE84 0001EF2F __locking
0001EF34 0001EFAB __lseek_lk
0001EFB0 0001F05B __lseek
0001F060 0001F0E5 __lseeki64_lk
0001F0EA 0001F1A8 __lseeki64
0001F1AD 0001F273 __mktemp
0001F566 0001F5BB __open
0001F5C0 0001F615 __sopen
0001F620 0001F62D __outp
0001F62D 0001F63A __outpw
0001F63A 0001F645 __outpd
0001F64A 0001F802 __pipe
0001F849 0001F88F __putch_lk
0001F894 0001F8BA __putch
0001F8BF 0001FA9E __read_lk
0001FAA3 0001FB4E __read
0001FB53 0001FBC2 __setmode_lk
0001FBC7 0001FC5E __setmode
0001FC63 0001FC79 __tell
0001FC7E 0001FC96 __telli64
0001FC9B 0001FCB5 __wcreat
0001FCBA 0001FD61 __wmktemp
00020055 000200AA __wopen
000200AF 00020104 __wsopen
00020109 000202FE __write_lk
00020303 000203AE __write
000203B3 000203D2 ___initconin
000203D7 000203F6 ___initconout
000203FB 00020428 ___termcon
0002062D 0002069C ___updatetmbcinfo
00020838 00020848 __getmbcp
0002084D 0002099D __setmbcp
000209A2 000209AD ___initmbctable
000209EB 00020A01 __ismbbkalnum
00020A06 00020A1C __ismbbkprint
00020A21 00020A37 __ismbbkpunct
00020A3C 00020A55 __ismbbalnum
00020A5A 00020A73 __ismbbalpha
00020A78 00020A91 __ismbbgraph
00020A96 00020AAF __ismbbprint
00020AB4 00020ACA __ismbbpunct
00020ACF 00020AE5 __ismbblead
00020AEA 00020B00 __ismbbtrail
00020B05 00020B32 __ismbbkana
00020B37 00020BCC __ismbcalnum
00020BD1 00020C66 __ismbcalpha
00020C6B 00020CF1 __ismbcdigit
00020CF6 00020D8B __ismbcgraph
00020D90 00020DBC __ismbchira
00020DC1 00020DF6 __ismbckata
00020DFB 00020E30 __ismbcsymbol
00020E35 00020E85 __ismbcl0
00020E8A 00020EE2 __ismbcl1
00020EE7 00020F3F __ismbcl2
00020F44 00020F82 __ismbclegal
00020F87 00021013 __ismbclower
00021018 000210AD __ismbcprint
000210B2 00021143 __ismbcpunct
00021148 000211CE __ismbcspace
000211D3 0002125F __ismbcupper
00021264 000212A3 ___ismbslead_mt
000212A8 000212D3 __ismbslead
000212D8 00021327 __ismbstrail
0002132C 00021399 __mbbtombc
0002139E 0002141B __mbctombb
00021420 0002146A ___mbbtype_mt
0002146F 0002149A __mbbtype
0002149F 000214C2 __mbccpy
000214C7 0002152F __mbcjistojms
00021534 000215E3 __mbcjmstojis
000215E8 00021603 __mbclen
00021608 0002163F __mbctohira
00021644 0002166C __mbctokata
00021671 000216F8 __mbctolower
000216FD 00021784 __mbctoupper
00021789 000217CA ___mbsbtype_mt
000217CF 000217FA __mbsbtype
000217FF 0002187C __mbschr
00021881 0002193F __mbscmp
00021944 00021988 __mbscoll
0002198D 00021A06 ___mbscspn_mt
00021A0B 00021A36 __mbscspn
00021A3B 00021A9E __mbsdec
00021AA3 00021BF0 __mbsicmp
00021BF5 00021C39 __mbsicoll
00021C3E 00021C5A __mbsinc
00021C5F 00021CB5 __mbslen
00021CBA 00021D41 __mbslwr
00021D46 00021E18 __mbsnbcat
00021E1D 00021EF4 __mbsnbcmp
00021EF9 00021F33 ___mbsnbcnt_mt
00021F38 00021F63 __mbsnbcnt
00021F68 00021FB8 __mbsnbcoll
00021FBD 00022052 __mbsnbcpy
00022057 000221C8 __mbsnbicmp
000221CD 0002221D __mbsnbicoll
00022222 00022298 __mbsnbset
