0000C6D3 0000C749 ?CreateInstance@?$CComCreator@V?$CComObject@VFwMgr@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000C74E 0000C7B7 ?CreateInstance@?$CComCreator@V?$CComObject@VFwOpenPort@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000C7BC 0000C825 ?CreateInstance@?$CComCreator@V?$CComObject@VFwAuthApp@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000C82A 0000C84B ??_G?$CComAggObject@VCUPnPNAT@@@ATL@@QAEPAXI@Z
0000C850 0000C871 ??_G?$CComObject@VCHNetCfgMgr@@@ATL@@QAEPAXI@Z
0000C876 0000C897 ??_G?$CComAggObject@VCHNetCfgMgr@@@ATL@@QAEPAXI@Z
0000C89C 0000C8BD ??_G?$CComObject@VCNetSharingManager@@@ATL@@QAEPAXI@Z
0000C8C2 0000C8E3 ??_G?$CComAggObject@VCNetSharingManager@@@ATL@@QAEPAXI@Z
0000C8E8 0000C908 ??0?$CComObject@VCUPnPNAT@@@ATL@@QAE@PAX@Z
0000C90D 0000C930 ?Release@?$CComAggObject@VCUPnPNAT@@@ATL@@UAGKXZ
0000C935 0000C964 ?Release@?$CComObject@VCHNetCfgMgr@@@ATL@@UAGKXZ
0000C969 0000C9B3 ??0?$CComAggObject@VCHNetCfgMgr@@@ATL@@QAE@PAX@Z
0000C9B8 0000C9E7 ?Release@?$CComAggObject@VCHNetCfgMgr@@@ATL@@UAGKXZ
0000C9EC 0000CA2C ??0?$CComObject@VCNetSharingManager@@@ATL@@QAE@PAX@Z
0000CA31 0000CA60 ?Release@?$CComObject@VCNetSharingManager@@@ATL@@UAGKXZ
0000CA65 0000CA94 ?Release@?$CComAggObject@VCNetSharingManager@@@ATL@@UAGKXZ
0000CA99 0000CACF ?QueryInterface@?$CComContainedObject@VCUPnPNAT@@@ATL@@UAGJABU_GUID@@PAPAX@Z
