0001C968 0001C96D ?GetFontAssocStatusPreNT5@@YGHPAUHDC__@@@Z
0001C972 0001C99E ?ScriptGetLayoutInit@@YGHPAUHDC__@@@Z
0001C9A3 0001C9CF ?GetFontAssocStatusInit@@YGHPAUHDC__@@@Z
0001C9D4 0001CA2B ?AnsiToUnicode@@YGJPBDHIPAGPAH@Z
0001CA30 0001CBB3 ?SetInputBuffers@@YGJPAUtag_STRING_ANALYSIS@@KPBXHH@Z
0001CBB8 0001CC13 ?GetTextOutFunction@@YGP6GJPAUHDC__@@PAPAXHHIPBUtagRECT@@PBUtag_SCRIPT_ANALYSIS@@PBGHPBH5PBUtagGOFFSET@@@Z01H@Z
0001CC18 0001CC5B ?AddPartRun@@YGHPAUSELECTIONLIST@@HH@Z
0001CC60 0001CDB3 ?RecordSelection@@YGHPBUtag_STRING_ANALYSIS@@H@Z
0001CDB8 0001CF82 ?GetEscapementVector@@YGJPAUHDC__@@HAAUtagPOINT@@@Z
0001CF87 0001CFA1 ?SafeAssign@?$AutoArray@G@@AAEXPAG@Z
0001CFA6 0001D2A0 ?DisplayItem@@YGJPAUtag_STRING_ANALYSIS@@HH@Z
0001D2A5 0001DE64 ?MultiPartStringOut@@YGJPAUtag_STRING_ANALYSIS@@HHIPBUtagRECT@@@Z
0001DE69 0001E151 ?InternalStringOut@@YGJPAUtag_STRING_ANALYSIS@@HHIPBUtagRECT@@@Z
0001E156 0001E1EB ?DisplaySelections@@YGJPAUtag_STRING_ANALYSIS@@@Z
0001E1F0 0001E35E ?UspProcessAttach@@YGHXZ
0001E363 0001E39A ?ReleaseLocks@@YGXXZ
0001E39F 0001E3BB ?UspProcessDetach@@YGHXZ
0001E3C0 0001E404 ?_DllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0001E409 0001E427 _DllMain@12
0001E42C 0001E437 _LpkPresent@0
0001E43C 0001E47C _UspAllocCache@8
0001E481 0001E4E0 _UspAllocTemp@8
0001E4E5 0001E553 _UspFreeMem@4
0001E558 0001E59E _UspMemmove
0001E5A3 0001E5C0 ??2@YAPAXI@Z
0001E5C5 0001E5D4 ??3@YAXPAX@Z
0001E5D9 0001E643 ?GetSubstGlyph@@YGHPAUSimpleRec@@GPAGG1@Z
0001E648 0001E67A ?GetLigGlyphsSize@@YGGPAULigatureSubst@@@Z
0001E67F 0001E6D5 ?DeleteArabicTables@@YGJPAUARABIC_SHAPEStructtag@@@Z
0001E6DA 0001E717 ?GetPutOutInfoForLigature@@YGKPAULigatureSubst@@@Z
0001E71C 0001E757 ?CompareGlyphsInPutout@@YGHPAUPUTOUTDATA_Structtag@@PAGPAEK@Z
0001E75C 0001E86E ?GetRuntimeStateOfLigComp@@YGKPAU_INDEX2LIGINFO@@PAGKHH@Z
0001E873 0001E8E4 ?LookupRuntimeStateOfLigComp@@YGKPAU_INDEX2LIGINFO@@PAGKH@Z
0001E8E9 0001E952 ?AllocIndex2LigMap@@YGJPAU_INDEX2LIGINFO@@PAULigatureSubst@@@Z
0001E957 0001E983 ?IsArabicDiacritic@@YGHPAGK@Z
0001E988 0001EA2C ?ValidateArabicString@@YGHPAGK@Z
0001EA31 0001EAAC ?InitDclPage@@YGXPAT_DCL_Structtag@@T1@G@Z
0001EAB1 0001EB41 ?CreateDynamicDCL@@YGHPAT_DCL_Structtag@@PAG@Z
0001EB46 0001EB81 ?CopyStaticFSM@@YGHPAU_FSMCELL_Structtag@@K@Z
0001EB86 0001F194 ?BuildFixedStateDyanmicInputs@@YGHPAUARABIC_SHAPEStructtag@@U_INDEX2LIGINFO@@PAG@Z
0001F199 0001F1C8 ?IsLigatureRecord@@YGHPAUARABIC_SHAPEStructtag@@G@Z
0001F1CD 0001F20F ?GetBiDiGlyphOrigin@@YGGPAUARABIC_SHAPEStructtag@@GG@Z
0001F214 0001F26E ?FGlyphsDiacritics@@YGHPAUARABIC_SHAPEStructtag@@PAGK@Z
0001F273 0001F29B ?GetArabicGlyphAttribute@@YGHPAGEPAE@Z
0001F2A0 0001F36E ?GetArabicLigatureAttributes@@YGHPAGKHPAEH@Z
