00023A15 00023B01 ?GetTableWithSect@CPagedVector@@QAEJKKKPAPAX@Z
00023B06 00023B4E ?GetDirEntry@CDirectory@@QAEJKKPAPAVCDirEntry@@@Z
00023B53 00023B6F ?ReleaseEntry@CDirectory@@QAEXK@Z
00023B74 00023BEF ?CheckName@@YGJPBG@Z
00023BF4 00023C19 ?Set@CDfName@@QAEXPBG@Z
00023C1E 00023C5A ?Set@CDfName@@QAEXGPBE@Z
00023C5F 00023C85 ?NameCompare@CDirectory@@SGHPBVCDfName@@0@Z
00023C8A 00023D0B ?IsDenied@CChildInstanceList@@QAEJPBVCDfName@@KK@Z
00023D10 00023D21 ?GetNewLuid@PBasicEntry@@SGKPBUIMalloc@@@Z
00023D26 00023D38 ?IncrementLuid@CSmAllocator@@QAEKXZ
00023D4E 00023D86 ?Init@CDirectStream@@QAEJPAVCStgHandle@@PBVCDfName@@H@Z
00023D8B 00023DC6 ??0CDirectStream@@QAE@K@Z
00023DCB 00023E01 ??0CStreamCache@@QAE@XZ
00023E06 00023E17 ??0SCacheEntry@@QAE@XZ
00023E1C 00023EDD ?FindEntry@CDirectory@@AAEJKPBVCDfName@@W4DIRENTRYOP@@PAUSEntryBuffer@@@Z
00023EE2 00023F30 ?GetEntry@CStgHandle@@QAEJPBVCDfName@@KPAVCHandle@@@Z
00023F35 00023FAF ?OpenEntry@CExposedDocFile@@AAEJPBVCDfName@@KKPAPAX@Z
00023FB4 0002401E ?dfwcsnicmp@@YGHPBG0I@Z
000240A2 000240D2 ?GetTable@CFatVector@@QAEJKKPAPAVCFatSect@@@Z
000240D7 000240F1 ?GetSize@CDirEntry@@QBE_KH@Z
00024101 00024128 ??0CMarshalList@@IAE@XZ
0002412D 0002417C ?GetSize@CDirectory@@QAEJKPA_K@Z
00024181 000241BB ?Init@CStreamCache@@QAEXPAVCMStream@@KPAVCDirectStream@@@Z
