00016112 000161DC _mciExtractDeviceType@12
000161E1 000162DE _mciEatToken@16
000162E3 0001636A _mciExtractTypeFromID@4
0001636F 00016429 _mciFreeDevice@4
0001642E 000164BA _FilterNotification@4
000164BF 00016578 _mciCloseDevice@16
0001657D 000165C2 _mciGetDriverData@4
000165C7 00016612 _mciSetDriverData@8
00016617 00016670 _mciDriverYield@4
00016675 000166C6 _mciSetYieldProc@12
000166CB 0001673D _mciGetYieldProc@8
00016742 0001677E _mciBreakKeyYieldProc@8
00016783 0001679C _mciSetBreakKey@12
000167A1 000167BE _mciDriverNotify@12
000167C3 000167F1 _mciGetDeviceIDFromElementIDA@8
000167F6 0001690A _mciReparseOpen@24
0001690F 00016CF3 _mciLoadDevice@16
00016CF8 00016FC8 _mciOpenDevice@12
00016FCD 0001707A _mciwnd2@4
0001712F 0001716B _mmioGetInfo@12
00017170 000171DC _mmioSetInfo@12
000171E1 0001722E _mmioStringToFOURCCA@8
000172C9 000172F1 _mmioSendMessage@16
00017324 000175C6 _mmioDOSIOProc@16
000175D9 0001761F _mmioMEMIOProc@16
00017624 00017691 _mmioFlush@8
00017696 000176EF _mmioStringToFOURCCW@8
000176F4 0001771E _mmioInstallIOProcW@12
00017723 0001774D _mmioInstallIOProcA@12
00017828 000178EF _mmioRenameW@16
000178F4 000179BC _mmioRenameA@16
000179C1 00017A7B _mmioSeek@12
00017A80 00017BF6 _mmioSetBuffer@16
00017C3F 00017DB5 _mmioOpenW@12
00017DBA 00017FA7 _mmioOpenA@12
00017FAC 00017FF9 _mmioClose@8
00017FFE 000180BD _mmioAdvance@12
000180C2 0001818D _mmioRead@12
00018192 0001828D _mmioWrite@12
00018292 0001838F _mmioAscend@12
00018394 00018426 _mmioCreateChunk@12
0001842B 00018573 _mmioDescend@16
00018578 000185C1 _AsciiStrToUnicodeStr@12
000185C6 0001860A _AllocUnicodeStr@4
0001860F 0001864E _AllocAsciiStr@4
00018653 000186CE _midiMessage@16
000186D3 0001892C _midiOutGetDevCapsA@12
00018931 000189FD _midiOutGetVolume@8
00018A02 00018AA2 _midiOutSetVolume@8
00018AA7 00018AEB _midiGetErrorTextW@12
00018AF0 00018B33 _midiGetErrorTextA@12
00018B38 00018B6F _midiOutGetErrorTextW@12
00018B74 00018D11 _midiOutOpen@20
00018D16 00018DC0 _midiOutClose@4
00018DC5 00018FB5 _midiOutPrepareHeader@12
00018FBA 0001912D _midiOutUnprepareHeader@12
00019132 000191B4 _midiOutShortMsg@8
000191B9 00019255 _midiOutLongMsg@12
0001925A 000192D0 _midiOutReset@4
000192D5 00019378 _midiOutCachePatches@16
0001937D 00019420 _midiOutCacheDrumPatches@16
00019425 000194B4 _midiOutDesertHandle@4
000194B9 000194E0 _midiInGetNumDevs@0
000194E5 0001952D _midiInMessage@16
00019532 000195DD _midiInGetDevCapsW@12
000195E2 00019796 _midiInGetDevCapsA@12
0001979B 000197C6 _midiInGetErrorTextA@12
000197CB 00019901 _midiInOpen@20
00019906 000199B0 _midiInClose@4
000199B5 00019A1B _midiInPrepareHeader@12
00019A20 00019AA1 _midiInUnprepareHeader@12
00019AA6 00019B0A _midiInAddBuffer@12
00019B0F 00019B48 _midiInStart@4
00019B4D 00019B86 _midiInStop@4
00019B8B 00019BD5 _midiInReset@4
00019BDA 00019C69 _midiInDesertHandle@4
00019C6E 00019CB6 _midiInGetID@8
00019CBB 00019D03 _midiOutGetID@8
00019D08 00019DB9 _midiInSetThru@12
00019DBE 00019E31 _midiStreamMessage@16
00019E49 00019E9F _midiStreamBroadcast@16
00019EA4 00019F3D _midiOutStreamCallback@20
00019F42 00019F58 _midiDisconnect@12
00019F5D 00019F73 _midiConnect@12
00019F78 0001A2A6 _midiStreamOpen@24
0001A2AB 0001A338 _midiStreamClose@4
0001A33D 0001A3AC _midiStreamProperty@12
0001A3B1 0001A3F4 _midiStreamPosition@12
0001A3F9 0001A423 _midiStreamStop@4
0001A428 0001A452 _midiStreamPause@4
0001A457 0001A4E9 _midiStreamRestart@4
0001A4EE 0001A676 _midiStreamOut@12
0001A67B 0001A6C8 _SoundBeep@0
0001A6CD 0001A6FB _lstrncpyW@12
0001A700 0001A81F _lsplitpath@20
0001A824 0001A875 _GetDefaultSound@4
0001A87A 0001A8BA _sndPlaySoundW@8
0001A8BF 0001A969 _PlaySoundA@12
0001A96E 0001A984 _sndPlaySoundA@8
0001A989 0001A9E5 _soundLoadMemory@4
