0000C1C6 0000C1DA ?Release@COleObject@@UAGKXZ
0000C1DF 0000C20D ?SaveObject@COleObject@@UAGJXZ
0000C212 0000C22A ?GetMoniker@COleObject@@UAGJKKPAPAUIMoniker@@@Z
0000C22F 0000C247 ?GetContainer@COleObject@@UAGJPAPAUIOleContainer@@@Z
0000C24C 0000C285 ?GetWindow@COleObject@@UAGJPAPAUHWND__@@@Z
0000C28A 0000C2A3 ?HimetricYtoDY@CW32System@@SGJJJ@Z
0000C2A8 0000C2EB ?CanInPlaceActivate@COleObject@@UAGJXZ
0000C2F0 0000C306 ?OnInPlaceActivate@COleObject@@UAGJXZ
0000C30B 0000C313 ?GetCanonicalFormatEtc@CDataTransferObj@@UAGJPAUtagFORMATETC@@0@Z
0000C318 0000C358 ?OnDataChange@COleObject@@UAGXPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
0000C35D 0000C37A ??0CStabilize@@QAE@PAVCSafeRefCount@@@Z
0000C37F 0000C38F ?OnSave@COleObject@@UAGXXZ
0000C394 0000C3AF ?SafeReleaseAndNULL@@YGXPAPAUIUnknown@@@Z
0000C3B4 0000C436 ?OnClose@COleObject@@UAGXXZ
0000C43B 0000C43E ?OnPreReplaceRange@CRchTxtPtr@@UAEXJJJJJ@Z
0000C443 0000C47A ?OnPostReplaceRange@COleObject@@UAEXJJJJJ@Z
0000C47F 0000C484 ?Zombie@COleObject@@UAEXXZ
0000C489 0000C559 ?GetObjectData@COleObject@@QAEJPAU_reobject@@K@Z
0000C55E 0000C565 ?IsLink@COleObject@@QAEHXZ
0000C56A 0000C5B9 ?MeasureObj@COleObject@@QAEXJJAAJ00F@Z
0000C5BE 0000C5F4 ?InHandle@COleObject@@AAEHHHABUtagPOINT@@@Z
0000C5F9 0000C781 ?CheckForHandleHit@COleObject@@QAEPAGABUtagPOINT@@@Z
0000C786 0000C7B7 ?DrawHandle@COleObject@@AAEXPAUHDC__@@HH@Z
0000C7BC 0000C939 ?DrawFrame@COleObject@@AAEXPBVCDisplay@@PAUHDC__@@PAUtagRECT@@@Z
0000C93E 0000CA28 ?CreateDib@COleObject@@AAEXPAUHDC__@@@Z
0000CA2D 0000CAAE ?DrawDib@COleObject@@AAEXPAUHDC__@@PAUtagRECT@@@Z
0000CAB3 0000CADD ?Restore@COleObject@@QAEXXZ
0000CAE2 0000CB00 ?SetREOSELECTED@COleObject@@QAEXH@Z
0000CB05 0000CB3F ?Close@COleObject@@QAEXK@Z
0000CB44 0000CB7A ?ScrollObject@COleObject@@QAEXJJPBUtagRECT@@@Z
0000CB7F 0000CBD3 ?SavePrivateState@COleObject@@AAEXXZ
0000CBFD 0000CD11 ?FetchObjectExtents@COleObject@@QAEXXZ
0000CD16 0000CDE7 ?ConnectObject@COleObject@@AAEJXZ
0000CDEC 0000CE86 ?DisconnectObject@COleObject@@AAEXXZ
0000CE8B 0000CEFB ?CleanupState@COleObject@@AAEXXZ
0000CF00 0000D0BA ?Convert@COleObject@@QAEJABU_GUID@@PBD@Z
0000D0BF 0000D1B9 ?ActivateAs@COleObject@@QAEJABU_GUID@@0@Z
0000D1BE 0000D1ED ?SetLinkAvailable@COleObject@@QAEJH@Z
0000D1F2 0000D2EE ?WriteTextInfoToEditStream@COleObject@@QAEJPAU_editstream@@@Z
0000D2F3 0000D312 ?SetDvaspect@COleObject@@QAEXK@Z
