00002DA5 00002E1D ?InitSurfaceInterfaces@@YGXPAUIDirectDrawSurface@@PAU_DDSURFINTSTRUC@@PAUIDirectDrawSurface2@@PAU_DDSURF2INTSTRUC@@PAUIDirectDrawSurface3@@PAU_DDSURF3INTSTRUC@@PAUIDirectDrawSurface4@@PAU_DDSURF4INTSTRUC@@@Z
00002E22 00003123 ?MakeDibInfo@CDDSurface@@QAEJPAU_DDSURFACEDESC@@PAUtagBITMAPINFO@@@Z
00003162 00003253 ?MakeDIBSection@CDDSurface@@QAEJXZ
00003258 0000331B ?SupportOwnDC@CDDSurface@@QAEJXZ
00003320 000033B4 ?Init@CDDSurface@@QAEJXZ
000033B9 000033EA ?AddSurfaceToDestroyList@CDDSurface@@QAEXPAV1@@Z
000033EF 00003440 ?InternalGetDC@CDDSurface@@QAEJPAPAUHDC__@@@Z
00003445 0000349E ?InternalReleaseDC@CDDSurface@@QAEJPAUHDC__@@@Z
000034A3 000034F2 ?InternalFlip@CDDSurface@@QAEJPAUIDirectDrawSurface@@KK@Z
000034F7 0000353A ?DeleteAttachNode@CDDSurface@@QAEXPAV1@@Z
0000353F 000035CF ?InternalGetPalette@CDDSurface@@QAEJPAPAUIDirectDrawPalette@@K@Z
000035D4 00003663 ?InternalGetSurfaceDesc@CDDSurface@@QAEJPAU_DDSURFACEDESC@@K@Z
00003668 000036DF ?InternalGetSurfaceDesc4@CDDSurface@@QAEJPAU_DDSURFACEDESC2@@@Z
000036E4 000038A0 ?InternalSetPalette@CDDSurface@@QAEJPAUIDirectDrawPalette@@K@Z
000038A5 000038C3 ?InternalLock@CDDSurface@@QAEJPAUtagRECT@@PAU_DDSURFACEDESC@@KPAX@Z
000038C8 000038E0 ?InternalUnlock@CDDSurface@@QAEJPAX@Z
000038E5 0000394A ?doPixelFormatsMatch@@YGHPAU_DDPIXELFORMAT@@0@Z
0000394F 00003980 ?isSupportedPixelFormat@@YGHPAU_DDPIXELFORMAT@@0H@Z
00003985 000039BF ?checkPixelFormat@@YGJKPAU_DDPIXELFORMAT@@@Z
000039C4 00003B12 ?InternalSetSurfaceDesc@CDDSurface@@QAEJPAU_DDSURFACEDESC@@K@Z
00003B17 00003B33 ?InternalGetDDInterface@CDDSurface@@QAEJPAPAX@Z
00003B38 00003B4D ?AddRef@CDDSurface@@QAGKXZ
00003B52 00003B67 ?Release@CDDSurface@@QAGKXZ
00003B6C 00003CE4 ?NonDelegatingQueryInterface@CDDSurface@@UAGJABU_GUID@@PAPAX@Z
