00003ED5 00003EFA ??1CDXTFilterCollection@@QAE@XZ
00003EFF 00003F26 ??0?$CComContainedObject@VCDX2D@@@ATL@@QAE@PAX@Z
00003FA9 00003FBD ?SetDC@CDX2D@@UAGJPAUHDC__@@@Z
00003FC2 00003FD8 ?GetDC@CDX2D@@UAGJPAPAUHDC__@@@Z
00003FDD 00003FF2 ?Release@?$CComContainedObject@VCDXTransformFactory@@@ATL@@UAGKXZ
00003FF7 0000404A ??0?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@QAE@PAX@Z
00004171 000041A1 ?OnSetSize@CDXBaseSurface@@UAEJKK@Z
000041A6 000041BB ?AddRef@?$CComContainedObject@VCDXGradient@@@ATL@@UAGKXZ
000041C0 000041D5 ?Release@?$CComContainedObject@VCDXGradient@@@ATL@@UAGKXZ
000041DA 000041E7 ?GetGenerationId@CDXSurfaceModifier@@WLI@AGJPAK@Z
000041EC 000041F9 ?QueryInterface@?$CComContainedObject@VCDXGradient@@@ATL@@WBAA@AGJABU_GUID@@PAPAX@Z
000041FE 00004233 ?WorkProc@CDXBaseSurface@@UAEJABVCDXTWorkInfoNTo1@@PAH@Z
00004238 00004626 ?DXBitBlt@@YGJPAUIDXSurface@@ABV?$CDXBnds@JKUDXDBND@@$0A@@@01KK@Z
0000462B 0000464E ?GetXYRect@?$CDXBnds@JKUDXDBND@@$0A@@@QBEXAAUtagRECT@@@Z
00004653 00004659 ?SurfaceCLSID@CDXSurfaceModifier@@UAEABU_GUID@@XZ
0000465E 000046A1 ??0?$CComContainedObject@VCDXTFilter@@@ATL@@QAE@PAX@Z
00004791 000047A5 ?GetTypeInfoCount@?$IDispatchImpl@UICSSFilterDispatch@@$1?IID_ICSSFilterDispatch@@3U_GUID@@B$1?LIBID_DXTRANSLib@@3U3@B$00$00VCComTypeInfoHolder@ATL@@@ATL@@UAGJPAI@Z
000047AA 000047C6 ?GetTypeInfo@?$IDispatchImpl@UICSSFilterDispatch@@$1?IID_ICSSFilterDispatch@@3U_GUID@@B$1?LIBID_DXTRANSLib@@3U3@B$00$00VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
000047CB 000047E0 ?AddRef@?$CComContainedObject@VCDXTFilter@@@ATL@@UAGKXZ
000047E5 000047FA ?Release@?$CComContainedObject@VCDXTFilter@@@ATL@@UAGKXZ
000047FF 00004819 ?QueryInterface@?$CComContainedObject@VCDXTFilter@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000481E 00004825 ?QueryInterface@?$CComContainedObject@VCDXTFilter@@@ATL@@WM@AGJABU_GUID@@PAPAX@Z
0000482A 00004831 ?AddRef@?$CComContainedObject@VCDXTFilter@@@ATL@@WM@AGKXZ
00004836 0000483D ?Release@?$CComContainedObject@VCDXTFilter@@@ATL@@WM@AGKXZ
00004842 00004849 ?QueryInterface@?$CComContainedObject@VCDXTFilter@@@ATL@@WBA@AGJABU_GUID@@PAPAX@Z
0000484E 00004858 ?AddRef@?$CComContainedObject@VCDXTFilter@@@ATL@@WBA@AGKXZ
0000485D 00004864 ?Release@?$CComContainedObject@VCDXTFilter@@@ATL@@WBA@AGKXZ
00004869 00004870 ?QueryInterface@?$CComContainedObject@VCDXTFilter@@@ATL@@WBE@AGJABU_GUID@@PAPAX@Z
00004875 0000487F ?AddRef@?$CComContainedObject@VCDXTFilter@@@ATL@@WBE@AGKXZ
00004884 0000488E ?Release@?$CComContainedObject@VCDXTFilter@@@ATL@@WBE@AGKXZ
00004893 0000489D ?QueryInterface@?$CComContainedObject@VCDXTFilter@@@ATL@@WBI@AGJABU_GUID@@PAPAX@Z
000048A2 000048AC ?AddRef@?$CComContainedObject@VCDXTFilter@@@ATL@@WBI@AGKXZ
000048B1 000048BB ?Release@?$CComContainedObject@VCDXTFilter@@@ATL@@WBI@AGKXZ
000048C0 000048E6 ?PropQueryInterface@?$CComPropertySupport@VCDXTFilter@@@@UAEJABU_GUID@@PAPAX@Z
000048EB 00004930 ??0CDXTLabel@@QAE@XZ
00004935 00004948 ??0?$IDispatchImpl@UIHTMLFiltersCollection@@$1?IID_IHTMLFiltersCollection@@3U_GUID@@B$1?LIBID_MSHTML@@3U3@B$03$0A@VCComTypeInfoHolder@ATL@@@ATL@@QAE@XZ
0000494D 0000495B ??1?$CDXArray@PAXPAX@@QAE@XZ
00004960 0000498B ?RemoveAll@?$CDXList@UTMTASKINFO@@AAU1@@@QAEXXZ
00004990 000049FA ??0CDXRasterizer@@QAE@XZ
000049FF 00004A49 ??1CDXRasterizer@@QAE@XZ
00004A4E 00004AA9 ??0CDXSurface@@QAE@XZ
00004AAE 00004ACF ??_G?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@QAEPAXI@Z
00004AD4 00004AF5 ??_G?$CComPolyObject@VCDXSurface@@@ATL@@QAEPAXI@Z
00004AFA 00004B1B ??_G?$CComPolyObject@VCDXGradient@@@ATL@@QAEPAXI@Z
00004B20 00004B41 ??_G?$CComPolyObject@VCDXTFilterBehavior@@@ATL@@QAEPAXI@Z
00004B46 00004B66 ??0?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@QAE@PAX@Z
00004B6B 00004BBB ?Release@?$CComObjectCached@VCComClassFactory@ATL@@@ATL@@UAGKXZ
00004BC0 00004BF6 ??0?$CComPolyObject@VCDXTScale@@@ATL@@QAE@PAX@Z
00004BFB 00004C11 ?AddRef@?$CComPolyObject@VCDX2D@@@ATL@@UAGKXZ
00004C16 00004C76 ?QueryInterface@?$CComPolyObject@VCDXTScale@@@ATL@@UAGJABU_GUID@@PAPAX@Z
