000211B3 00021212 _SobjFindNextBreakChunk@16
00021212 0002126B _SobjForceBreakChunk@12
0002126B 000212E0 _GetSpecialEffectsSublineCore@12
000212E0 0002131E _GetPlsrunFromSublineCore@12
0002131E 00021345 _GetNumberDnodesCore@8
00021345 00021375 _GetVisibleDcpInSublineCore@8
00021375 000213C8 _GetDurTrailInSubline@8
000213C8 0002145F _GetDurTrailWithPensInSubline@8
0002145F 0002148C _InitTabsContextForAutoDecimalTab@8
000214BE 00021565 _GetMarginAfterBreakThroughTab@12
00021755 00021892 _TatenakayokoFmt@12
00021892 000218A5 _TatenakayokoGetSpecialEffectsInside@8
000218A5 000218CD _GetUFromLstflow@8
000218CD 000218F5 _GetVFromLstflow@8
000218F5 0002197D _TatenakayokoCalcPresentation@16
0002197D 0002199A _TatenakayokoQueryCpPpoint@16
0002199A 000219DD _TatenakayokoDisplay@8
000219DD 000219EB _TatenakayokoDestroyDobj@4
000219EB 00021A24 _TatenakayokoEnum@44
00021A24 00021A41 _ADDLongSafe@8
00021A41 00021A6D _MULLongSafe@8
00021A6D 00021AA6 _WaFindNextBreakSubline@24
00021AA6 00021B10 _WaFindPrevBreakSubline@24
00021B10 00021B30 _WaForceBreakSubline@24
00021B30 00021B40 _WaDestroySubline@4
00021B40 00021B79 _WaMatchPresSubline@8
00021B79 00021BA1 _WaExpandSubline@16
00022484 00022567 _ReformatClosingBraceForWord9@4
00022841 0002285B _WarichuFmt@12
0002285B 00022878 _WarichuFmtResume@20
00022878 0002289A _WarichuGetModWidthPrecedingChar@28
0002289A 000228BC _WarichuGetModWidthFollowingChar@28
000228BC 00022A76 _TryBreakWarichuAtCp@24
00023376 0002343D _WarichuTruncateChunk@8
0002343D 0002359C _WarichuFindPrevBreakChunk@16
0002359C 000236A8 _WarichuFindNextBreakChunk@16
000236A8 00023794 _WarichuForceBreakChunk@12
00023794 0002384E _WarichuSetBreak@20
0002384E 000238D5 _WarichuGetSpecialEffectsInside@8
000238D5 00023A01 _WarichuCalcPresentation@16
00023A01 00023A76 _WarichuQueryPointPcp@16
00023A76 00023B08 _WarichuQueryCpPpoint@16
00023B69 00023C0A _WarichuDisplay@8
00023C0A 00023C18 _WarichuDestroyDobj@4
00023C18 00023CC2 _WarichuEnum@44
00023CC2 00023D01 _ZaFromZq@8
