0000C9A7 0000C9C8 ??_GCRegZoneContainer@@QAEPAXI@Z
0000C9CD 0000C9E3 ??1CRegZoneContainer@@QAE@XZ
0000C9E8 0000CA09 ??_GCOInetSession@@QAEPAXI@Z
0000CA0E 0000CA70 ??1COInetSession@@QAE@XZ
0000CA75 0000CAAB ??1CProtMgrNameSpace@@QAE@XZ
0000CAB0 0000CAD9 ??_GCProtocolData@@QAEPAXI@Z
0000CADE 0000CAF4 ?Release@COInetSession@@UAGKXZ
0000CB07 0000CB0D _WNetGetConnectionA@12
0000CB12 0000CB4A ?OLESTRDuplicate@@YGPAGPBG@Z
0000CB4F 0000CB78 ?Release@CLifePtr@@QAGKXZ
0000CB90 0000CBB9 _CoInternetGetSession@12
0000CBBE 0000CBC5 __imp_load__WNetGetConnectionA@12
0000CBC5 0000CBD6 __tailMerge_MPR
0000CBDB 0000CC20 ?RegisterNameSpace@COInetSession@@UAGJPAUIClassFactory@@ABU_GUID@@PBGKPBQBGK@Z
0000CC25 0000CCE9 ?Register@CProtMgr@@QAGJPAUIClassFactory@@ABU_GUID@@PBGKPBQBGK@Z
0000CCEE 0000CD3F ??0CNodeData@@QAE@GPAUIClassFactory@@U_GUID@@@Z
0000CEAC 0000CF2C _CoInternetParseUrl@28
0000CF31 0000D010 _ConstructURL@28
0000D041 0000D099 ?GetObjectParam@@YGJPAUIBindCtx@@PAGABU_GUID@@PAPAUIUnknown@@@Z
0000D09E 0000D161 ?IsOInetProtocol@@YGHPAUIBindCtx@@PBG@Z
0000D166 0000D1C0 ?FindOInetProtocolClsID@COInetSession@@QAGJPBGPAU_GUID@@@Z
0000D1C5 0000D1F4 ?GetKnownOInetProtocolClsID@@YGPAU_GUID@@K@Z
0000D2D5 0000D305 ?Release@CUrlMon@@UAGKXZ
0000D30A 0000D32B ??_GCUrlMon@@QAEPAXI@Z
0000D330 0000D35B ??1CUrlMon@@QAE@XZ
0000D381 0000D39A _CreateURLMoniker@12
0000D39F 0000D487 _CreateURLMonikerEx@16
0000D48C 0000D4C1 ??0CUrlMon@@QAE@PAG@Z
0000D4C6 0000D4FB _IsValidInterface@4
0000D645 0000D66E ?Release@CTransaction@@UAGKXZ
0000D72D 0000D756 ?Release@CBindCtx@@UAGKXZ
0000D75B 0000D784 ?Release@CBSCHolder@@UAGKXZ
0000D789 0000D7B2 ?Release@CBinding@@UAGKXZ
0000D7B7 0000D819 _ReleaseBindInfo@4
0000D8F1 0000D8FB ?Release@CTransaction@@WBE@AGKXZ
0000D900 0000D933 ?Release@COInetProt@@UAGKXZ
0000D975 0000D99E ?Release@CTransData@@UAGKXZ
0000D9E1 0000DA1F ?Release@CReadOnlyStreamDirect@@UAGKXZ
0000DEA5 0000DECB ?Release@CPrivUnknown@CINet@@UAGKXZ
0000DF21 0000DF56 ?CallOnProgress@CBinding@@UAGJKKKPBG@Z
0000DF5B 0000DFA2 ?PreDispatch@CTransaction@@UAGJXZ
0000DFA7 0000DFEA ?PostDispatch@CTransaction@@UAGJXZ
0000DFEF 0000E049 ?AddCTransPacket@CTransaction@@QAEXPAVCTransPacket@@H@Z
0000E04E 0000E0A9 ?GetNextCTransPacket@CTransaction@@QAEPAVCTransPacket@@XZ
0000E0AE 0000E0E1 ?GotCTransPacket@CTransaction@@QAEHXZ
0000E0E6 0000E138 ??0CTransPacket@@QAE@W4tagBINDSTATUS@@JPBGKKK@Z
0000E13D 0000E153 ?AddRef@CTransaction@@UAGKXZ
0000E158 0000E195 ?DispatchPacket@CTransaction@@QAGJPAVCTransPacket@@@Z
0000E19A 0000E1FE ?ReportProgress@COInetProt@@UAGJKPBG@Z
0000E203 0000E247 ?OnProgress@CBSCHolder@@UAGJKKKPBG@Z
0000E257 0000E320 ?DispatchReport@CTransaction@@QAGJW4tagBINDSTATUS@@KKKPBGKJ@Z
0000E325 0000E357 ?ReportProgress@CBinding@@UAGJKPBG@Z
0000E35C 0000E3E8 ?OnTransNotification@CBinding@@QAGHW4tagBINDSTATUS@@KKPAGJ@Z
0000E3ED 0000E4BE ?OnINetCallback@CTransaction@@UAGJH@Z
0000E4C3 0000E4E4 ??_GCTransPacket@@QAEPAXI@Z
0000E4E9 0000E4F5 ??1CTransPacket@@QAE@XZ
0000E4FA 0000E596 ?ReportProgress@CTransaction@@UAGJKPBG@Z
0000E59B 0000E5B5 ?IsApartmentThread@CTransaction@@QAEHXZ
0000E5BA 0000E5D0 ?AddRef@CBinding@@UAGKXZ
0000E5D5 0000E5DF ?Release@CBinding@@W7AGKXZ
0000E5E4 0000E5EE ?Release@CTransaction@@W7AGKXZ
0000E5F3 0000E657 ?RemoveClientOInet@CTransaction@@QAEJXZ
0000E65C 0000E688 ?SetProtocolSink@COInetProt@@QAEXPAUIInternetProtocolSink@@@Z
0000E6DA 0000E6F0 ?DupW2A@@YGPADPBG@Z
0000E6F5 0000E75C ?SzW2ADynamic@@YGPADPBGPADHH@Z
0000E761 0000E7A6 ?IsEmbdFilterOk@CINet@@QAE_NXZ
0000E7AB 0000E7C1 ?DupA2W@@YGPAGQAD@Z
0000E7C6 0000E82C ?WzA2WDynamic@@YGPAGPBDPAGHH@Z
