00009042 00009238 ?InitRunningOnVersionStatus@@YGXXZ
00009244 0000926F ?VerifyMainRuntimeModule@RuntimeDesc@@CGHPBG@Z
0000926F 00009326 ?IsValidRuntimeInstallPath@RuntimeDesc@@SGHPBG@Z
0000936A 000093A2 ?Add@?$SHash@U?$RegistryNameKeyTraits@V?$NoRemoveSHashTraits@V?$DefaultSHashTraits@PAUDWORDCacheEntry@ConfigValueCache@ShimUtil@@@@@@@ConfigValueCache@ShimUtil@@@@CGHPAPAUDWORDCacheEntry@ConfigValueCache@ShimUtil@@IABQAU234@@Z
000093A2 000093CB ?Add@?$SHash@U?$RegistryNameKeyTraits@V?$NoRemoveSHashTraits@V?$DefaultSHashTraits@PAUStringCacheEntry@ConfigValueCache@ShimUtil@@@@@@@ConfigValueCache@ShimUtil@@@@QAEXABQAUStringCacheEntry@ConfigValueCache@ShimUtil@@@Z
000093DE 00009479 ?GetInstallRoot@ShimUtil@@YGJW4VERSION_ARCHITECTURE@@PAPAG@Z
00009479 000094CF ?DuplicateStringThrowing@@YGPAGPBG@Z
000094CF 0000952B ??0CacheEntry@ConfigValueCache@ShimUtil@@QAE@PBGW4VERSION_ARCHITECTURE@@@Z
0000952B 00009575 ??0StringCacheEntry@ConfigValueCache@ShimUtil@@QAE@PBGPAGW4VERSION_ARCHITECTURE@@@Z
00009575 0000958C ?IsNumericBuild@VersionString@@QBE_NXZ
0000958C 0000960F ?Compare@VersionString@@SGJABV1@0_N@Z
0000960F 0000963C ?IsMatch@?$OrderedSet@VVersionString@@@@QBE_NABVVersionString@@@Z
0000963C 0000965F ?AttachRaw@?$RefCounted@UVersionStringData@@@@AAEXABV1@@Z
0000965F 0000968D ??0VersionString@@QAE@ABV0@@Z
0000968D 000096BA ??0?$OrderedSetNode@VVersionString@@@@QAE@ABVVersionString@@@Z
000096BA 00009743 ?EnvGetString@@YGPAGPBG@Z
00009743 00009807 ?GetConfigString_Local_Helper@@YGPAGPBGHW4VERSION_ARCHITECTURE@@@Z
00009807 00009811 __imp_load__RegQueryValueExW@24
00009811 00009875 ?MakeNewNode@?$OrderedSetNode@VVersionString@@@@SGJABVVersionString@@PAPAU1@@Z
00009875 000098AA ?Add@?$OrderedSet@VVersionString@@@@QAEJABVVersionString@@@Z
000098AA 00009938 ?AddInstalledRuntimes@@YGJPAVSxSProcessInfo@@W4VERSION_ARCHITECTURE@@@Z
00009938 000099DF ?GetOrCreateSxSProcessInfo@@YGJPAPBVSxSProcessInfo@@W4VERSION_ARCHITECTURE@@@Z
000099DF 000099F2 __alloca_probe_16
000099F2 00009A1D __chkstk
00009AF2 00009B32 ___crtGetStringTypeA
00009B32 00009B3B __unlockexit
00009B41 00009B77 __onexit
00009B94 00009BAB _atexit
00009BC1 00009BEF ??0StrongNameTokenFromPublicKeyCache@@QAE@XZ
00009BEF 00009C11 __msize
00009C7F 00009C9C __freea
00009E4F 00009E95 ___crtLCMapStringA
00009E95 00009EC2 ??1?$BaseWrapper@PAUHKEY__@@V?$FunctionBase@PAUHKEY__@@$1??$DoNothing@PAUHKEY__@@@@YGXPAU1@@Z$1?RegKeyRelease@@YGX0@Z$01@@$0A@$1??$CompareDefault@PAUHKEY__@@@@YGHPAU1@0@Z$01@@QAE@XZ
00009EC2 00009FDC ?GetConfigDWORD_Local_Helper@@YGKPBGKHW4VERSION_ARCHITECTURE@@@Z
00009FDC 0000A092 ?GetConfigDWORD@ConfigValueCache@ShimUtil@@SGKPBGKW4VERSION_ARCHITECTURE@@H@Z
0000A092 0000A0D4 ?GetConfigDWORD_Local_@@YGKPBGKHW4VERSION_ARCHITECTURE@@@Z
0000A0DF 0000A12B _malloc
0000A12B 0000A156 __malloc_crt
0000A156 0000A1EF ___crtGetEnvironmentStringsA
0000A1EF 0000A1F6 __imp_load__UrlIsW@8
0000A1F6 0000A207 __tailMerge_SHLWAPI_dll
0000A207 0000A349 ___delayLoadHelper2@8
0000A349 0000A35A __tailMerge_ADVAPI32_dll
0000A35A 0000A384 ?OpenRawBuffer@SBuffer@@QAEPAEI@Z
0000A384 0000A3B4 ?OpenBuffer@SString@@AAEXW4Representation@1@I@Z
