0000A931 0000A968 ?put_Weight@CFont@@UAGJF@Z
0000A96D 0000A9A5 ?get_Charset@CFont@@UAGJPAF@Z
0000A9AA 0000A9E8 ?put_Charset@CFont@@UAGJF@Z
0000A9ED 0000AA25 ?get_hFont@CFont@@UAGJPAPAUHFONT__@@@Z
0000AA2A 0000AAEA ?Clone@CFont@@UAGJPAPAUIFont@@@Z
0000AAEF 0000AB2B ?SetRatio@CFont@@UAGJJJ@Z
0000AB30 0000AB79 ?QueryTextMetrics@CFont@@UAGJPAUtagTEXTMETRICW@@@Z
0000AB7E 0000AC98 ?Load@CFont@@UAGJPAUIStream@@@Z
0000AC9D 0000ACCF ?GetData@CFont@@UAGJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
0000ACD4 0000AD06 ?Release@CFont@@UAGKXZ
0000AD0B 0000AD15 ?Release@CFont@@W3AGKXZ
0000AD1A 0000AD24 ?Release@CFont@@W7AGKXZ
0000AD29 0000AD33 ?Release@CFont@@WM@AGKXZ
0000AD38 0000AD42 ?Release@CFont@@WBA@AGKXZ
0000AD47 0000AD51 ?Release@CFont@@WBE@AGKXZ
0000AD56 0000AD6F ?_typesDllCanUnloadNow@@YGJXZ
0000AD74 0000AD80 ?IncObjs@@YGIXZ
0000AD85 0000AD91 ?DecObjs@@YGIXZ
0000AD96 0000ADCA ?RoundDiv@@YGJJJ@Z
0000ADCF 0000AE49 ?Init@SysInfo@@SGJPAU1@@Z
0000AE4E 0000AEC9 ?Uninit@SysInfo@@SGXPAU1@@Z
0000AECE 0000AEE6 ?SharedDCWait@SysInfo@@QAGJK@Z
0000AEEB 0000AF03 ?SharedDCFinish@SysInfo@@QAGJXZ
0000AF08 0000AF7A ?GetHdc@SysInfo@@QAEJPAPAUHDC__@@@Z
0000AF7F 0000AFA3 ?GetLogPixelsX@SysInfo@@QAEHXZ
0000AFA8 0000AFCC ?GetLogPixelsY@SysInfo@@QAEHXZ
0000AFD1 0000AFEC ?GetIconWidth@SysInfo@@QAEHXZ
0000AFF1 0000B00C ?GetIconHeight@SysInfo@@QAEHXZ
0000B011 0000B09C ?GetColorBitmap@SysInfo@@QAEJPAPAUHBITMAP__@@@Z
0000B0A1 0000B13F ?GetStockBitmap@SysInfo@@QAEJPAPAUHBITMAP__@@@Z
0000B144 0000B1B2 ?GetDefaultPalette@SysInfo@@QAEJPAPAUHPALETTE__@@@Z
0000B1B7 0000B200 ?CreateRainbowPalette@@YGJPAPAUHPALETTE__@@@Z
0000B205 0000B269 ?GetRainbowPalette@SysInfo@@QAEJPAPAUHPALETTE__@@@Z
0000B26E 0000B2CE ?GetScrBitCount@SysInfo@@QAEJPAH@Z
0000B2D3 0000B30D ?GetScrColorCount@SysInfo@@QAEJPAH@Z
0000B312 0000B347 ?GetIconColorCount@SysInfo@@QAEJPAH@Z
0000B34C 0000B3AB ?GetScrPaletteSize@SysInfo@@QAEJPAH@Z
0000B3B0 0000B3EA ?NameFromStmix@@YGPAGK@Z
0000B3EF 0000B426 ?SysOpenStream@@YGJKKPAPAUIStream@@@Z
0000B42B 0000B458 ?SysDestroyStream@@YGJK@Z
0000B45D 0000B483 ?HrRegOpenKey@@YGJPAUHKEY__@@PBDPAPAU1@@Z
0000B488 0000B4AE ?HrRegOpenKeyW@@YGJPAUHKEY__@@PBGPAPAU1@@Z
0000B4B3 0000B4D9 ?HrRegCreateKey@@YGJPAUHKEY__@@PBDPAPAU1@@Z
0000B4DE 0000B516 ?HrRegSetValue@@YGJPAUHKEY__@@PBD1@Z
0000B51B 0000B544 ?HrRegQueryValueW@@YGJPAUHKEY__@@PBGPAGPAJ@Z
0000B549 0000B589 ?HrStringFromGuid@@YGJABU_GUID@@PADI@Z
0000B58E 0000B5A8 ?HrStringFromGuidW@@YGJABU_GUID@@PAGI@Z
0000B5AD 0000B6B8 ?RegisterClassW@@YGJPBDPBUtagCLASS_DATA@@@Z
0000B6BD 0000B6E7 ?RegisterClasses@@YGJPBD@Z
0000B6EC 0000B75F ?_typesDllRegisterServer@@YGJXZ
0000B764 0000B792 ?OAInterlockedIncrement@@YGJPAJ@Z
0000B797 0000B7C5 ?OAInterlockedDecrement@@YGJPAJ@Z
0000B7CA 0000B830 ?_typesDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
0000B835 0000B899 ?_typesDllGetClassObject@@YGJABU_GUID@@0PAPAX@Z
0000B89E 0000B8E3 ?PixelsFromHimetric@@YGXPAUtagSIZE@@@Z
0000B8E8 0000B92F ?HimetricFromPixels@@YGXPAUtagSIZE@@@Z
0000B934 0000B9B4 ?RectInPixelsToHimetric@@YGXPAUHDC__@@PAUtagRECT@@1@Z
0000B9B9 0000B9D5 ?FScrPalette@SysInfo@@QAEHXZ
0000B9DA 0000BA3F ?SysCreateStream@@YGJKPAKPAPAUIStream@@@Z
0000BA44 0000BA51 ??0CRgPv@@QAE@XZ
0000BA56 0000BA64 ??1CRgPv@@QAE@XZ
0000BA69 0000BA6C ?Count@CRgPv@@QAEIXZ
0000BA71 0000BA88 ?GetPv@CRgPv@@QAEPAXI@Z
0000BA8D 0000BAAF ?SetPv@CRgPv@@QAEXIPAX@Z
0000BAB4 0000BB3E ?EnsureSize@CRgPv@@QAEJI@Z
0000BB43 0000BB99 ??1CNotifyCP@@QAE@XZ
0000BB9E 0000BBEA ?QueryInterface@CFontEventsCP@@UAGJABU_GUID@@PAPAX@Z
0000BBEF 0000BC0A ?GetConnectionInterface@CNotifyCP@@UAGJPAU_GUID@@@Z
0000BC0F 0000BC30 ?GetConnectionPointContainer@CFontEventsCP@@UAGJPAPAUIConnectionPointContainer@@@Z
0000BC35 0000BC98 ?Advise@CNotifyCP@@UAGJPAUIUnknown@@PAK@Z
0000BC9D 0000BCEA ?Unadvise@CNotifyCP@@UAGJK@Z
0000BCEF 0000BD2A ?Notify@CNotifyCP@@QAEJJ@Z
0000BD2F 0000BD7B ?QueryInterface@CEnumConnectionsImpl@@UAGJABU_GUID@@PAPAX@Z
0000BD80 0000BDB5 ?Clear@CEnumConnectionsImpl@@QAEXXZ
0000BDBA 0000BE31 ?Next@CEnumConnectionsImpl@@UAGJKPAUtagCONNECTDATA@@PAK@Z
