00006B6B 00006BA6 ?ImmGetContext@imm32@@YGPAUHIMC__@@PAUHWND__@@@Z
00006BAB 00006BE6 ?ImmReleaseContext@imm32@@YGHPAUHWND__@@PAUHIMC__@@@Z
00006BFF 00006C3A ?ImmGetIMCLockCount@imm32@@YGKPAUHIMC__@@@Z
00006C54 00006C8F ?ImmUnlockIMC@imm32@@YGHPAUHIMC__@@@Z
00006C94 00006CCF ?ImmLockIMC@imm32@@YGPAUtagINPUTCONTEXT@@PAUHIMC__@@@Z
00006CD4 00006D0F ?ImmCreateIMCC@imm32@@YGPAUHIMCC__@@K@Z
00006D14 00006D52 ?ImmDestroyIMCC@imm32@@YGPAUHIMCC__@@PAU2@@Z
00006D57 00006D92 ?ImmGetIMCCSize@imm32@@YGKPAUHIMCC__@@@Z
00006D97 00006DD2 ?ImmReSizeIMCC@imm32@@YGPAUHIMCC__@@PAU2@K@Z
00006DD7 00006E12 ?ImmGetIMCCLockCount@imm32@@YGKPAUHIMCC__@@@Z
00006E2D 00006E68 ?ImmUnlockIMCC@imm32@@YGHPAUHIMCC__@@@Z
00006E6D 00006EA8 ?ImmLockIMCC@imm32@@YGPAXPAUHIMCC__@@@Z
00006EAD 00006EE8 ?ImmGetCompositionStringA@imm32@@YGJPAUHIMC__@@KPAXK@Z
00006F06 00006F41 ?ImmGetCompositionStringW@imm32@@YGJPAUHIMC__@@KPAXK@Z
00006F62 00006F9D ?ImmSetCompositionStringA@imm32@@YGHPAUHIMC__@@KPAXK1K@Z
00006FBE 00006FF9 ?ImmSetCompositionStringW@imm32@@YGHPAUHIMC__@@KPAXK1K@Z
00006FFE 00007039 ?ImmGetCompositionFontA@imm32@@YGHPAUHIMC__@@PAUtagLOGFONTA@@@Z
00007058 00007093 ?ImmGetCompositionFontW@imm32@@YGHPAUHIMC__@@PAUtagLOGFONTW@@@Z
000070B0 000070EB ?ImmSetCompositionFontA@imm32@@YGHPAUHIMC__@@PAUtagLOGFONTA@@@Z
00007108 00007143 ?ImmSetCompositionFontW@imm32@@YGHPAUHIMC__@@PAUtagLOGFONTW@@@Z
00007160 0000719B ?ImmGetOpenStatus@imm32@@YGHPAUHIMC__@@@Z
000071B2 000071ED ?ImmSetOpenStatus@imm32@@YGHPAUHIMC__@@H@Z
00007206 00007241 ?ImmGetConversionStatus@imm32@@YGHPAUHIMC__@@PAK1@Z
00007260 0000729B ?ImmSetConversionStatus@imm32@@YGHPAUHIMC__@@KK@Z
000072A0 000072DB ?ImmGetStatusWindowPos@imm32@@YGHPAUHIMC__@@PAUtagPOINT@@@Z
000072F7 00007332 ?ImmSetStatusWindowPos@imm32@@YGHPAUHIMC__@@PAUtagPOINT@@@Z
0000734F 0000738A ?ImmGetCompositionWindow@imm32@@YGHPAUHIMC__@@PAUtagCOMPOSITIONFORM@@@Z
000073A9 000073E4 ?ImmSetCompositionWindow@imm32@@YGHPAUHIMC__@@PAUtagCOMPOSITIONFORM@@@Z
00007401 0000743C ?ImmGetCandidateWindow@imm32@@YGHPAUHIMC__@@KPAUtagCANDIDATEFORM@@@Z
