0003A6AF 0003A6D3 ??0?$CComQIPtr@UIHTMLPaintSite@@$1?IID_IHTMLPaintSite@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A6D8 0003A6FC ??0?$CComQIPtr@UIElementBehaviorSiteLayout@@$1?IID_IElementBehaviorSiteLayout@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A701 0003A725 ??0?$CComQIPtr@UIDirectDrawSurface@@$1?IID_IDirectDrawSurface@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
0003A72A 0003A741 ??1?$CComObject@VCEventHandler@@@ATL@@QAE@XZ
0003A746 0003A76F ?StringCchPrintfW@@YAJPAGIPBGZZ
0003A7E1 0003AA2C ?GetUrn@NamespaceMap@@QAE?AW4NAMESPACES_OFFICE@@PBGHPAUIElementBehaviorSite@@@Z
0003AB0E 0003AB29 ?GetContainer@CSimpleTag@@IAEPAVIVMLContainer@@XZ
0003AB2E 0003AB41 ?GetView@CSimpleTag@@IAEPAVIVMLView@@XZ
0003AB46 0003AF6A ?Save@CSimpleTag@@QAEJPAUIPropertyBag2@@HH@Z
0003AF6F 0003AFA1 ??1CSimpleTag@@QAE@XZ
0003AFA6 0003AFD9 ?GetHTMLElement@CSimpleTag@@IAEJAAV?$CComPtr@UIHTMLElement@@@ATL@@@Z
0003AFDE 0003B006 ?GetShape@CSimpleTag@@UAGJPAK@Z
0003B00B 0003B0B6 ?SetupBodyBehavior@CParserTag@@AAEJXZ
0003B0BB 0003B0EA ?Invalidate@CParserTag@@QAEXXZ
0003B0EF 0003B123 ?HitTestPoint@CParserTag@@UAGJUtagPOINT@@PAHPAJ@Z
0003B128 0003B170 ?GetResolution@CParserTag@@AAEXAAUtagSIZE@@@Z
0003B175 0003B2EE ?FDraw@CParserTag@@AAEJUtagRECT@@JPAUHDC__@@@Z
0003B2F3 0003B38D ?GetPainterInfo@CParserTag@@UAGJPAU_HTML_PAINTER_INFO@@@Z
0003B392 0003B3EF ?GetSize@CParserTag@@UAGJJUtagSIZE@@PAUtagPOINT@@1PAU2@@Z
0003B3F4 0003B42A ?InvalidateLayout@CParserTag@@QAEJXZ
0003B42F 0003B47E ?QueryInterfaceExt@CSimpleTag@@KGJPAXABU_GUID@@PAPAXK@Z
0003B483 0003B4E0 ?QueryInterfaceTag@CParserTag@@UAEJABU_GUID@@PAPAX@Z
0003B4E5 0003B52A ?GetBounds@CParserTag@@QAEJPAUHDC__@@PAUtagRECT@@@Z
0003B52F 0003B54C ?Release@CShapeDraw@@UAGKXZ
0003B551 0003B576 ?GetPixelBound@CShapeDraw@@UAGJPAUHDC__@@PAUtagRECT@@@Z
0003B57B 0003B5A6 ?Release@?$CComObject@VCPTBehaviorCategory@@@ATL@@UAGKXZ
0003B5AB 0003B5C8 ?QueryInterface@?$CComObject@VCPTBehaviorCategory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0003B5CD 0003B5FB ??0_BSTR@@QAE@PAGKPBG@Z
0003B600 0003B61D ?Save@?$CPTPropBag2@VCParserTag@@@@UAGJPAUIPropertyBag2@@HH@Z
0003B622 0003B628 ?IsDirty@?$CPTPropBag2@VCSimpleTag@@@@UAGJXZ
0003B62D 0003B644 ?GetClassID@?$CPTPropBag2@VCSimpleTag@@@@UAGJPAU_GUID@@@Z
0003B649 0003B669 ??0?$stackBSTR@$0BAB@@@QAE@PBG@Z
0003B66E 0003B68B ?QueryInterface@?$CComObject@VCEventHandler@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0003B690 0003B6B1 ??_G?$CComObject@VCEventHandler@@@ATL@@QAEPAXI@Z
0003B6B6 0003B9BD ?SetAttributeToAuto@@YGJPAUIHTMLCurrentStyle@@PAUIHTMLStyle@@I@Z
0003B9C2 0003BCD9 ?PutAttribute@@YGJPAUIHTMLStyle@@IPAG@Z
0003BCDE 0003C12D ?OnMouseClick@CParserTag@@AAEJPAUIHTMLWindow2@@PAUIHTMLEventObj@@@Z
0003C132 0003C239 ?OnMouseOut@CParserTag@@AAEJPAUIHTMLWindow2@@PAUIHTMLEventObj@@@Z
0003C23E 0003C43E ?OnMouseMove@CParserTag@@AAEJPAUIHTMLWindow2@@PAUIHTMLEventObj@@@Z
0003C443 0003C571 ??1CParserTag@@QAE@XZ
0003C576 0003C702 ?GetParentInfo@CSimpleTag@@IAE_NPAPAVIVMLContainer@@AAPAUIDispatch@@@Z
0003C707 0003C766 ?Init@CSimpleTag@@UAGJPAUIElementBehaviorSite@@@Z
0003C76B 0003C7D5 ?Notify@CSimpleTag@@UAGJJPAUtagVARIANT@@@Z
0003C7DA 0003C82B ?Detach@CSimpleTag@@UAGJXZ
0003C830 0003CE33 ?Load@CSimpleTag@@QAEJPAUIPropertyBag2@@PAUIErrorLog@@@Z
0003CE38 0003CECE ?Detach@CParserTag@@UAGJXZ
0003CED3 0003D1BE ?FEnsureChildTag@CSimpleTag@@UAE_NW4VGXTagNameKeys@@@Z
0003D1C3 0003D294 ?Draw@CParserTag@@UAGJUtagRECT@@0JPAUHDC__@@PAX@Z
