0001CCD2 0001CE1F _LdapInitSsl@0
0001CE8E 0001CEB7 ?CloseCredentialsByHandle@@YGXPAU_SecHandle@@@Z
0001CEBC 0001CF09 ?ClearSecurityContext@@YGXPAUldap_connection@@@Z
0001CF0E 0001CF37 ?ClearSecurityContextByHandle@@YGXPAU_SecHandle@@@Z
0001CF3C 0001CFB2 _LdapConvertSecurityError@8
0001CFB7 0001D055 _GetCurrentLuid@4
0001D05A 0001D0E8 _LdapSetSspiContinueState@8
0001D0ED 0001D113 _LdapClearSspiState@4
0001D118 0001D6ED _LdapExchangeOpaqueToken@56
0001D715 0001D8C8 _LdapGetSicilyPackageList@16
0001D8CD 0001D9D3 _LdapSetupSslSession@4
0001D9D8 0001DB2F _LdapMakeCredsWide@12
0001DB34 0001DCBC _LdapMakeCredsThin@12
0001DCC1 0001DE9A _LdapMakeEXCredsWide@12
0001DE9F 0001E0AB _LdapMakeEXCredsThin@12
0001E0B0 0001E150 _ProcessAlternateCreds@16
0001E155 0001E255 _ldap_sasl_bindA
0001E25A 0001E2E6 _ldap_sasl_bindW
0001E2EB 0001E3DE _ldap_sasl_bind_sA
0001E3E3 0001E469 _ldap_sasl_bind_sW
0001E46E 0001EA8B _LdapSspiBind@28
0001EA90 0001EBDD _LdapTryAllMsnAuthentication@8
0001EBE2 0001ED29 ?LdapParseSortControl@@YGKPAUldap_connection@@PAPAUldapcontrolW@@PAKPAPAGK@Z
0001ED77 0001EF2B _LdapEncodeSortControl@20
0001EF77 0001F015 ?LdapCreateSortControlWithAlloc@@YGKPAUldap@@PAPAUldapsortkeyW@@EPAPAUldapcontrolW@@K@Z
0001F01A 0001F075 _ldap_parse_sort_controlA
0001F07A 0001F0D5 _ldap_parse_sort_controlW
0001F0DA 0001F135 _ldap_encode_sort_controlW
0001F13A 0001F195 _ldap_encode_sort_controlA
0001F19A 0001F1B4 _ldap_create_sort_controlA
0001F1B9 0001F1D3 _ldap_create_sort_controlW
0001F1D8 0001F27C _ldap_escape_filter_elementW
0001F281 0001F349 _ldap_check_filterW
0001F34E 0001F390 _ldap_check_filterA
0001F395 0001F6BF ?LdapStartTLS@@YGKPAUldap@@PAKPAPAUldapmsg@@PAPAUldapcontrolW@@3K@Z
0001F6F3 0001F710 _ldap_start_tls_sW
0001F715 0001F732 _ldap_start_tls_sA
0001F737 0001F943 _ldap_stop_tls_s
0001F948 0001F975 _ldap_next_record@12
0001F97A 0001F9AB _ldap_count_records@12
0001F9B0 0001FA6E ?LdapParseReference@@YGKPAUldap_connection@@PAUldapmsg@@PAPAPAGE@Z
