00019312 000193DC _RouteSlip@16
00019418 000195A5 _ConstructPhoneNumber@4
000195AA 0001966B _SetMediaParam@12
000196A2 000196E0 _ValidateHrasconn@4
000196E5 00019737 _ValidateHrasconn2@8
0001973C 00019780 _ValidatePausedHrasconn@4
00019785 000197D2 _StringToIpAddr@8
000197D7 00019833 _IpAddrToString@8
0001985C 00019916 _GetRasmanDeviceType@8
0001991B 00019964 _SetDevicePortName@12
00019969 000199BA _GetDevicePortName@12
000199BF 000199E2 _SetDevicePortNameFromLink@8
000199E7 0001A47C _PhonebookEntryToRasEntry@20
0001A491 0001A51F _CreateAndInitializePhone@28
0001A524 0001A580 _SetBogusPortInformation@8
0001A595 0001B456 _RasEntryToPhonebookEntry@24
0001B45B 0001B62F _PhonebookLinkToRasSubEntry@20
0001B634 0001B8C5 _RasSubEntryToPhonebookLink@24
0001B8CA 0001B930 _RenamePhonebookEntry@16
0001B935 0001BA51 _SetEntryDialParamsUID@16
0001BA56 0001BB34 _GetAsybeuiLana@8
0001BB63 0001BCED _SubEntryFromConnection@4
0001BD62 0001BEBA _SubEntryPort@12
0001BEBF 0001BF7F _GetCallbackNumber@8
0001BFCF 0001C046 _SaveProjectionResults@4
0001C093 0001C16E _LoadRasAuthDll@0
0001C1F3 0001C200 _UnInitializeRAS@0
0001C205 0001C2E1 _ConvertIpAddressToString@8
0001C2ED 0001C33B _ConvertIpxAddressToString@8
0001C3AD 0001C567 _DwCustomHangUp@12
0001C5A6 0001C678 _DwCustomDial@28
0001C67D 0001C766 _DwRenameDefaultConnection@12
0001C76B 0001C831 _DwCloneEntry@12
0001C836 0001C882 _EnumEntryHeaderCallback@8
0001C887 0001C9E3 _DwEnumEntriesForAllUsers@12
0001CA18 0001CA25 _DwRasUninitialize@0
0001CA2A 0001CA35 _DwRasRefreshKerbScCreds@4
0001CA3A 0001CA5E _CaseInsensitiveMatch@8
0001CA63 0001CACC _FRunningInAppCompatMode@0
0001CB03 0001CDED _DwOpenPort@4
0001CED0 0001D1A0 _FindNextDevice@4
0001D1FE 0001D356 _SetDeviceParamString@20
0001D3A7 0001DC23 _SetDeviceParams@16
0001DDED 0001DEC1 _SetMediaParams@4
0001DEDF 0001DF56 _LoadRasmanDllAndInit@0
0001DF87 0001E173 _DwEnumEntriesFromPhonebook@28
0001E178 0001E2EE _DwDeleteSubEntry@12
0001E3F7 0001E58B _SetDefaultDeviceParams@12
0001E590 0001E657 _RasDialFunc1Wow@20
0001E6C9 0001E6F1 _RasEnumConnectionsWow@12
0001E70F 0001E737 _RasEnumEntriesWow@20
0001E74F 0001E777 _RasGetConnectStatusWow@8
0001E794 0001E7BC _RasGetErrorStringWow@12
0001E7D6 0001E7FE _RasHangUpWow@4
0001E812 0001E88F _RasDialWow@20
0001E8B3 0001E9AB ___report_gsfailure
0001E9B0 0001EA47 _RasAutoDialSharedConnection@0
0001EAE5 0001EB38 _RasIsSharedConnection@8
0001EB53 0001EBF4 _RasQuerySharedAutoDial@4
0001EC38 0001EC68 _RasQuerySharedConnection@4
0001EC86 0001ED34 _RasSetSharedAutoDial@4
0001ED72 0001EE47 _SharedAccessResponseListToString@8
0001EE65 0001EF5B _SharedAccessResponseStringToList@12
0001EF60 0001EFB8 _CsControlService@4
0001EFD9 0001F0D2 _CsInitializeModule@0
0001F160 0001F1A8 _CsOpenKey@12
0001F1AD 0001F38F _CsQuerySharedConnection@4
0001F3C5 0001F475 _CsQueryValueKey@12
0001F47A 0001F50E _CsIsSharedConnection@8
0001F513 0001F543 _RasScriptGetEventCode@4
0001F559 0001F5BD _RasScriptGetIpAddress@8
0001F5DD 0001F655 _RasScriptReceive@12
0001F66E 0001F73B _RasScriptSend@12
0001F763 0001F7BB _RsDestroyData@4
0001F7C0 0001F824 _RsPostReceive@4
0001F84B 0001F8D0 _RsPostReceiveEx@4
0001F915 0001F970 _RsSignal@8
0001F982 0001FA6C _RsThreadProcess@4
0001FAF1 0001FCA5 _RxLogErrors@8
0001FCD5 0001FD65 _RxReadFile@16
0001FD90 0001FE82 _RxSetIPAddress@8
0001FED0 0001FF06 _RxSetKeyboard@8
0001FF1B 0001FF73 _RxSendCreds@8
0001FF9E 0002015C _RxSetPortData@8
000201E3 0002023A _RxWriteFile@16
00020261 00020320 _RasScriptTerm@4
00020333 0002054A _RsInitData@8
0002060C 00020990 _RsThread@4
00020AF6 00021105 _RasScriptInit@28
000212E6 000214B8 _RasScriptExecute@20
0002157D 000216A7 _MyNextChar@12
000216B5 000216DD _IdsFromRes@4
000217BD 0002180F _Tok_New@16
00021814 0002182A _Tok_Delete@4
0002182F 000218A2 _TokSz_New@20
000218A7 00021902 _TokInt_New@20
00021907 00021948 _strcmpraw@8
0002194D 000219A0 _SymFromKeyword@4
00021ADD 00021B03 _Stxerr_Init@16
00021B08 00021B61 _Scanner_Destroy@4
00021B66 00021C06 _Scanner_OpenScript@8
00021C0B 00021C80 _Scanner_Read@4
00021C85 00021D4E _Scanner_GetChar@4
00021D53 00021D7F _Scanner_UngetChar@4
00021D84 00021DB0 _Scanner_SkipBlanks@4
00021DB5 00021DE5 _Scanner_SkipComment@4
00021DEA 00021E1F _Scanner_SkipBadlands@4
00021E24 00021EB9 _Scanner_ScanForCharacters@20
00021EBE 00021EDF _EvalKeywordChar@12
00021EE4 00021F40 _Scanner_GetKeywordTok@8
00021F45 00021F7C _EvalStringChar@12
00021F81 00021FF0 _Scanner_GetStringTok@8
00021FF7 00022010 _EvalNumberChar@12
00022015 00022085 _Scanner_GetNumberTok@8
0002208A 000221B1 _Scanner_GetPuncTok@8
000221B6 00022245 _Scanner_GetToken@8
0002224A 00022276 _Scanner_UngetToken@4
0002227B 0002229C _Scanner_GetLine@4
000222A1 000222D0 _Scanner_Peek@8
000222D5 00022311 _Scanner_ReadToken@8
00022316 00022362 _Scanner_CondReadToken@12
00022367 000223F8 _Scanner_AddError@12
000223FD 00022449 _Stxerr_Add@16
0002244E 00022477 _Stxerr_AddTok@12
0002247C 000224A5 _Stxerr_ShowErrors@8
000224AA 0002252B _Scanner_Create@8
00022530 00022556 _Waitcase_Create@4
0002255B 000225A7 _Waitcase_Add@16
000225AC 000225E7 _Ast_New@16
000225EC 0002266B _Expr_Delete@4
00022670 000226A8 _IntExpr_New@12
000226AD 00022706 _StrExpr_New@12
0002270B 00022743 _BoolExpr_New@12
00022748 000227A1 _VarExpr_New@12
000227A6 000227EC _BinOpExpr_New@20
000227F1 0002282F _UnOpExpr_New@16
00022834 00022874 _WaitforStmt_New@16
00022879 000228B9 _TransmitStmt_New@16
000228BE 000228F8 _DelayStmt_New@12
000228FD 0002292B _HaltStmt_New@8
00022930 00022968 _EnterStmt_New@12
0002296D 0002299B _LeaveStmt_New@8
000229A0 00022A01 _AssignStmt_New@16
00022A06 00022A5F _LabelStmt_New@12
00022A64 00022ABD _GotoStmt_New@12
00022AC2 00022B28 _WhileStmt_New@24
00022B2D 00022B93 _IfStmt_New@24
00022B98 00022BD3 _SetStmt_New@16
00022BD8 00022C12 _SetIPStmt_New@12
00022C17 00022C80 _SetPortStmt_New@12
00022C85 00022CD2 _SetScreenStmt_New@12
00022CD7 00022CE8 _Decl_DeletePAPtr@8
00022CED 00022D2E _Astexec_Destroy@4
00022D33 00022D85 _Astexec_SetError@12
00022D8A 00022DB1 _Astexec_Add@8
00022DB6 00022DEF _Astexec_InsertLabel@12
00022DF4 00022E34 _Astexec_JumpToLabel@8
00022E39 00022E8E _Astexec_SendString@12
00022E93 00022EB3 _Astexec_DestroyFindFormat@4
00022EB8 00022EFB _Astexec_FindFormat@8
00022F00 00022F22 _Astexec_SetIPAddr@8
00022F27 00022F6E _Astexec_ProcessStmt@8
00022F73 00022FDC _Astexec_Next@4
00022FE1 0002300B _Waitcase_FreeSA@8
00023010 0002302A _Waitcase_Destroy@4
0002302F 000230D9 _Stmt_Delete@4
0002310E 0002320E _Astexec_Init@16
00023229 0002323A _Stmt_DeletePAPtr@8
0002323F 000232BD _Decl_Delete@4
000232C2 00023329 _ProcDecl_New@20
0002332E 00023391 _ModuleDecl_New@16
00023396 000233CD _lmemset@12
000233D2 00023418 _lmemmove@12
0002341D 0002344D _ChrCmp@8
00023452 00023496 _ChrCmpI@8
0002349B 00023557 _AnsiToInt@4
0002355C 000235E9 _ConstructVMessageString@12
000235EE 00023631 _ConstructMessage
00023636 000236B9 _GSetString@8
000236BE 0002374C _GCatString@8
00023751 00023778 _MemAlloc@8
0002377D 000237C0 _MemReAlloc@12
000237C5 000237F5 _MemFree@8
000237FA 0002381E _PrvAlloc@12
00023823 0002387F _SACreateEx@20
00023884 000238DA _SADestroyEx@12
000238DF 00023915 _SAGetItem@12
0002391A 0002394E _SAGetItemPtr@12
00023953 00023A10 _SAInsertItem@12
00023A15 00023A6C _PACreateEx@16
00023A71 00023AC3 _PADestroyEx@12
00023AC8 00023B26 _PAGrow@8
00023B2B 00023BB7 _PAInsertPtr@12
00023BBC 00023C6A _PAMergeThem@12
00023C6F 00023CED _PAMergeSort2@12
00023CF2 00023D3B _PAMergeSort@4
00023D40 00023D6F _PASort@12
00023D74 00023E28 _PASearch@24
00023E2D 00023EAD _PAClone@8
00023EB2 00023F1E _WhileStmt_Codegen@12
00023F23 00023F7C _IfStmt_Codegen@12
00023F81 00023F9C _LabelStmt_Codegen@12
00023FA1 00023FC9 _SetStmt_Codegen@12
00023FCE 0002404A _Stmt_Codegen@12
0002404F 0002408C _ProcDecl_Codegen@8
00024091 000240E6 _FindProc@12
000240EB 00024151 _ModuleDecl_Codegen@8
00024156 000241A5 _Ident_Parse@8
000241AA 000241F8 _Ident_Add@20
000241FD 0002423F _IsExprSneakPeek@4
