0000A513 0000A51D ?QueryInterface@CInputContext@@WBM@AGJABU_GUID@@PAPAX@Z
0000A522 0000A52C ?OnStatusChange@CInputContext@@WBA@AGJK@Z
0000A531 0000A53B ?QueryInterface@CInputContext@@WCA@AGJABU_GUID@@PAPAX@Z
0000A540 0000A54A ?ForceLoadProperty@CInputContext@@WBE@AGJPAUITfProperty@@@Z
0000A54F 0000A559 ?QueryInterface@CInputContext@@WCE@AGJABU_GUID@@PAPAX@Z
0000A55E 0000A568 ?QueryInterface@CInputContext@@WCI@AGJABU_GUID@@PAPAX@Z
0000A56D 0000A577 ?QueryInterface@CInputContext@@WCM@AGJABU_GUID@@PAPAX@Z
0000A57C 0000A586 ?QueryInterface@CInputContext@@WDA@AGJABU_GUID@@PAPAX@Z
0000A58B 0000A593 ??_ECInputContext@@WDA@AEPAXI@Z
0000A598 0000A5C2 ?AddRef@CInputContext@@UAGKXZ
0000A5C7 0000A602 ?Release@CInputContext@@UAGKXZ
0000A607 0000A6A1 ?_UnadviseSinks@CInputContext@@QAEXPAVCThreadInputMgr@@@Z
0000A6A6 0000A70A ?UnadviseSink@CInputContext@@UAGJK@Z
0000A70F 0000A773 ?UnadviseSingleSink@CInputContext@@UAGJKABU_GUID@@@Z
0000A778 0000A7DF ?EnumProperties@CInputContext@@UAGJPAPAUIEnumTfProperties@@@Z
0000A7E4 0000A7EE ?AddRef@CInputContext@@W3AGKXZ
0000A7F3 0000A7FD ?Release@CInputContext@@W3AGKXZ
0000A802 0000A80C ?AddRef@CInputContext@@W7AGKXZ
0000A811 0000A81B ?Release@CInputContext@@W7AGKXZ
0000A820 0000A82A ?AddRef@CInputContext@@WM@AGKXZ
0000A82F 0000A839 ?Release@CInputContext@@WM@AGKXZ
0000A83E 0000A848 ?AddRef@CInputContext@@WBA@AGKXZ
0000A84D 0000A857 ?Release@CInputContext@@WBA@AGKXZ
0000A85C 0000A866 ?AddRef@CInputContext@@WBE@AGKXZ
0000A86B 0000A875 ?Release@CInputContext@@WBE@AGKXZ
0000A87A 0000A884 ?AddRef@CInputContext@@WBI@AGKXZ
0000A889 0000A893 ?Release@CInputContext@@WBI@AGKXZ
0000A898 0000A8A2 ?AddRef@CInputContext@@WBM@AGKXZ
0000A8A7 0000A8B1 ?Release@CInputContext@@WBM@AGKXZ
0000A8B6 0000A8C0 ?AddRef@CInputContext@@WCA@AGKXZ
0000A8C5 0000A8CF ?Release@CInputContext@@WCA@AGKXZ
0000A8D4 0000A8DE ?AddRef@CInputContext@@WCE@AGKXZ
0000A8E3 0000A8ED ?Release@CInputContext@@WCE@AGKXZ
0000A8F2 0000A8FC ?AddRef@CInputContext@@WCI@AGKXZ
