00039B66 00039DA9 __gmtime64_s
00039DAE 00039DD5 __gmtime64
00039DDA 0003A092 __localtime64_s
0003A097 0003A0BE __localtime64
0003A37D 0003A38F __mktime64
0003A394 0003A3A6 __mkgmtime64
0003A3AB 0003A42D __getsystime
0003A432 0003A4A7 __setsystime
0003A4AC 0003A4FD __time64
0003A502 0003A6B8 __futime64
0003A6BD 0003A73E __utime64
0003A764 0003A916 __wasctime_s
0003A91B 0003A967 __wasctime
0003A96C 0003A9DF __wctime32_s
0003A9E4 0003AA40 __wctime32
0003AA45 0003AAD2 __wctime64_s
0003AAD7 0003AB3A __wctime64
0003AB3F 0003ABFD __wstrdate_s
0003AC02 0003AC1E __wstrdate
0003AC23 0003ACD8 __wstrtime_s
0003ACDD 0003ACF9 __wstrtime
0003ACFE 0003AD7F __wutime32
0003AD84 0003AE05 __wutime64
0003AE10 0003AE12 __enable
0003AE14 0003AE16 __disable
0003AE20 0003B185 _memcpy
0003B190 0003B23D _memchr
0003B250 0003B2AB __memccpy
0003B2B0 0003B309 ___ascii_memicmp
0003B310 0003B675 _memmove
0003B680 0003B6FA _memset
0003B700 0003B707 _strcpy
0003B710 0003B7F8 _strcat
0003B810 0003B816 _strchr
0003B816 0003B8CE ___from_strstr_to_strchr
0003B8E0 0003B968 _strcmp
0003B970 0003B9B6 _strcspn
0003B9C0 0003BA4B _strlen
0003BA50 0003BB85 _strncat
0003BB90 0003BCB4 _strncpy
0003BCC0 0003BD21 ___ascii_strnicmp
0003BD30 0003BD5B __strnset
0003BD60 0003BDA0 _strpbrk
0003BDB0 0003BDDD _strrchr
0003BDF0 0003BE25 __strrev
0003BE30 0003BE51 __strset
0003BE60 0003BEA6 _strspn
0003BEB0 0003BF36 _strstr
0003BF40 0003BFEA __alldiv
0003BFF0 0003C0CF __alldvrm
0003C0E0 0003C114 __allmul
0003C120 0003C1D2 __allrem
0003C1E0 0003C1FF __allshl
0003C210 0003C231 __allshr
0003C240 0003C2A8 __aulldiv
0003C2B0 0003C345 __aulldvrm
0003C350 0003C3C5 __aullrem
0003C3D0 0003C3EF __aullshr
0003C3F4 0003C47B ??0_LocaleUpdate@@QAE@PAUlocaleinfo_struct@@@Z
0003C480 0003C4D6 __isalpha_l
0003C4DB 0003C50B _isalpha
0003C510 0003C561 __isupper_l
0003C566 0003C594 _isupper
0003C599 0003C5EA __islower_l
0003C5EF 0003C61D _islower
0003C622 0003C673 __isdigit_l
0003C678 0003C6A6 _isdigit
0003C6AB 0003C701 __isxdigit_l
0003C706 0003C736 _isxdigit
0003C73B 0003C78C __isspace_l
0003C791 0003C7BF _isspace
0003C7C4 0003C815 __ispunct_l
0003C81A 0003C848 _ispunct
0003C84D 0003C8A3 __isalnum_l
0003C8A8 0003C8D8 _isalnum
0003C8DD 0003C933 __isprint_l
0003C938 0003C968 _isprint
0003C96D 0003C9C3 __isgraph_l
0003C9C8 0003C9F8 _isgraph
0003C9FD 0003CA4E __iscntrl_l
0003CA53 0003CA81 _iscntrl
0003CA86 0003CA98 ___isascii
0003CA9D 0003CAAA ___toascii
0003CAAF 0003CACE ___iscsymf
0003CAD3 0003CAF4 ___iscsym
0003CAF9 0003CB9F __mbstrlen_l
0003CBA4 0003CBC6 __mbstrlen
0003CBCB 0003CCCE __mbstrnlen_l
0003CCD3 0003CCEA __mbstrnlen
0003CCEF 0003CD27 __isleadbyte_l
0003CD2C 0003CD3F _isleadbyte
0003CD44 0003CD5E __iswalpha_l
0003CD63 0003CD79 _iswalpha
0003CD7E 0003CD95 __iswupper_l
0003CD9A 0003CDAD _iswupper
0003CDB2 0003CDC9 __iswlower_l
0003CDCE 0003CDE1 _iswlower
0003CDE6 0003CDFD __iswdigit_l
0003CE02 0003CE15 _iswdigit
0003CE1A 0003CE34 __iswxdigit_l
0003CE39 0003CE4F _iswxdigit
0003CE54 0003CE6B __iswspace_l
0003CE70 0003CE83 _iswspace
0003CE88 0003CE9F __iswpunct_l
0003CEA4 0003CEB7 _iswpunct
0003CEBC 0003CED6 __iswalnum_l
0003CEDB 0003CEF1 _iswalnum
0003CEF6 0003CF10 __iswprint_l
0003CF15 0003CF2B _iswprint
0003CF30 0003CF4A __iswgraph_l
0003CF4F 0003CF65 _iswgraph
0003CF6A 0003CF81 __iswcntrl_l
0003CF86 0003CF99 _iswcntrl
0003CF9E 0003CFB2 _iswascii
0003CFB7 0003CFE1 __iswcsym_l
0003CFE6 0003D00C ___iswcsym
0003D011 0003D03B __iswcsymf_l
0003D040 0003D066 ___iswcsymf
0003D06B 0003D113 __atodbl_l
0003D118 0003D12F __atodbl
0003D134 0003D1DD __atoldbl_l
0003D1E2 0003D1F9 __atoldbl
0003D1FE 0003D2A6 __atoflt_l
0003D2AB 0003D2C2 __atoflt
0003D2C7 0003D372 __atof_l
0003D377 0003D38A _atof
0003D38F 0003D3C8 ___STRINGTOLD
0003D448 0003D4F1 __fcvt_s
0003D4F6 0003D593 __fcvt
0003D598 0003D645 __ecvt_s
0003D64A 0003D6AC __ecvt
0003D6B1 0003D7D1 __gcvt_s
0003D7D6 0003D7FE __gcvt
0003D803 0003D88D __iswctype_l
0003D892 0003D908 _iswctype
0003D90D 0003D918 _is_wctype
0003D91D 0003D9D5 __isctype_l
0003D9DA 0003DA0C __isctype
0003DA11 0003DAD0 __mblen_l
0003DAD5 0003DAFC _mblen
0003DB01 0003DCA2 __mbstowcs_l_helper
0003DCA7 0003DCB2 __mbstowcs_l
0003DCB7 0003DCE1 _mbstowcs
0003DCE6 0003DDF6 __mbstowcs_s_l
0003DDFB 0003DE1B _mbstowcs_s
0003DE20 0003DF37 __mbtowc_l
0003DF3C 0003DF56 _mbtowc
