0000F160 0000F17D ?WVTAsn1SetBMP@@YGXPAGPAUtagASN1char16string_t@@@Z
0000F182 0000F19F ?WVTAsn1SetSpcString@@YGXPAGPAUSpcString@@@Z
0000F1A4 0000F21C ?WVTAsn1SetSpcLink@@YGHPAUSPC_LINK_@@PAUSpcLink@@@Z
0000F221 0000F23C ?WVTAsn1FreeSpcLink@@YGXPAUSpcLink@@@Z
0000F241 0000F28D ?WVTAsn1SetSpcSigInfo@@YGHPAUSPC_SIGINFO_@@PAUSpcSigInfo@@@Z
0000F292 0000F2ED ?WVTAsn1GetSpcSigInfo@@YGHPAUSpcSigInfo@@KPAUSPC_SIGINFO_@@PAPAEPAJ@Z
0000F2F2 0000F326 ?WVTAsn1SetObjId@@YGHPADPAUtagASN1objectidentifier2_t@@@Z
0000F32B 0000F37E ?WVTAsn1SetAlgorithm@@YGHPAU_CRYPT_ALGORITHM_IDENTIFIER@@PAUAlgorithmIdentifier@@@Z
0000F391 0000F3B7 ?WVTAsn1InfoEncode@@YGHHPAXPAEPAK@Z
0000F3BC 0000F445 _WVTAsn1SpcIndirectDataContentEncode@20
0000F44A 0000F565 _WVTAsn1SpcSpAgencyInfoEncode@20
0000F56A 0000F728 _WVTAsn1SpcSpAgencyInfoDecode@28
0000F72D 0000F74F _WVTAsn1SpcMinimalCriteriaInfoEncode@20
0000F754 0000F7CC _WVTAsn1SpcMinimalCriteriaInfoDecode@28
0000F7D1 0000F7F9 _WVTAsn1SpcFinancialCriteriaInfoEncode@20
0000F7FE 0000F876 _WVTAsn1SpcFinancialCriteriaInfoDecode@28
0000F87B 0000F911 _WVTAsn1SpcStatementTypeEncode@20
0000F916 0000F9DE _WVTAsn1SpcStatementTypeDecode@28
0000F9E3 0000FA77 _WVTAsn1SpcSpOpusInfoEncode@20
0000FA7C 0000FB71 _WVTAsn1SpcSpOpusInfoDecode@28
0000FB76 0000FBAA _WVTAsn1SpcLinkEncode@20
0000FBAF 0000FC41 _WVTAsn1SpcLinkDecode@28
0000FC46 0000FCC3 _WVTAsn1SpcPeImageDataEncode@20
0000FCC8 0000FCFC _WVTAsn1SpcSigInfoEncode@20
0000FD01 0000FD81 _WVTAsn1SpcSigInfoDecode@28
0000FD86 0000FDC1 ?WVTAsn1SetCatNameValue@@YGHPAU_CAT_NAMEVALUE@@PAUNameValue@@@Z
0000FDC6 0000FDF3 ?WVTAsn1SetCatMemberInfo@@YGHPAU_CAT_MEMBERINFO@@PAUMemberInfo@@@Z
