0003AD9D 0003ADA0 nullsub_2
0003E462 0003E465 nullsub_3
0003E465 0003E486 ?Create@Scheduler@Concurrency@@SAPAV12@ABVSchedulerPolicy@2@@Z
0003E486 0003E491 ?SetDefaultSchedulerPolicy@Scheduler@Concurrency@@SAXABVSchedulerPolicy@2@@Z
0003E491 0003E4C9 ?ResetDefaultSchedulerPolicy@Scheduler@Concurrency@@SAXXZ
000407B5 000407C8 ??0SchedulerPolicy@Concurrency@@QAE@XZ
000407C8 000407E8 ??0SchedulerPolicy@Concurrency@@QAA@IZZ
000409C0 000409E8 ??0SchedulerPolicy@Concurrency@@QAE@ABV01@@Z
000409E8 00040A08 ??4SchedulerPolicy@Concurrency@@QAEAAV01@ABV01@@Z
00040A08 00040A11 ??1SchedulerPolicy@Concurrency@@QAE@XZ
00040A11 00040A53 ?GetPolicyValue@SchedulerPolicy@Concurrency@@QBEIW4PolicyElementKey@2@@Z
00040A53 00040AF0 ?SetPolicyValue@SchedulerPolicy@Concurrency@@QAEIW4PolicyElementKey@2@I@Z
00040AF0 00040B94 ?SetConcurrencyLimits@SchedulerPolicy@Concurrency@@QAEXII@Z
00041E4A 00041E4D nullsub_4
00043470 000434BC ?Alloc@Concurrency@@YAPAXI@Z
000434BC 000434D8 ?Free@Concurrency@@YAXPAX@Z
00043700 00043755 ?_Schedule@_StructuredTaskCollection@details@Concurrency@@QAEXPAV_UnrealizedChore@23@@Z
00043790 0004396B ?_RunAndWait@_StructuredTaskCollection@details@Concurrency@@QAG?AW4_TaskCollectionStatus@23@PAV_UnrealizedChore@23@@Z
0004396B 00043A34 ?_Abort@_StructuredTaskCollection@details@Concurrency@@AAEXXZ
00043A34 00043AD1 ?_Cancel@_StructuredTaskCollection@details@Concurrency@@QAEXXZ
00043AD1 00043B28 ?_IsCanceling@_StructuredTaskCollection@details@Concurrency@@QAE_NXZ
00043C23 00043CAB ??0_TaskCollection@details@Concurrency@@QAE@XZ
00043D03 00043D98 ??1_TaskCollection@details@Concurrency@@QAE@XZ
0004407A 00044131 ?_Schedule@_TaskCollection@details@Concurrency@@QAEXPAV_UnrealizedChore@23@@Z
00044233 000445B8 ?_RunAndWait@_TaskCollection@details@Concurrency@@QAG?AW4_TaskCollectionStatus@23@PAV_UnrealizedChore@23@@Z
0004477D 00044789 ?_Cancel@_TaskCollection@details@Concurrency@@QAEXXZ
000448EF 000449BB ?_IsCanceling@_TaskCollection@details@Concurrency@@QAE_NXZ
000451FF 00045205 SwitchToThread
00045BDD 00045BFE ??0_Timer@details@Concurrency@@IAE@I_N@Z
00045BFE 00045C62 ?_Start@_Timer@details@Concurrency@@IAEXXZ
00045C62 00045C6F ??1_Timer@details@Concurrency@@IAE@XZ
00045C6F 00045CB5 ?_Stop@_Timer@details@Concurrency@@IAEXXZ
00045CB5 00045D0C ?wait@Concurrency@@YAXI@Z
00046062 000460D8 ?EnableTracing@Concurrency@@YAJXZ
000460D8 0004613F ?DisableTracing@Concurrency@@YAJXZ
0004613F 00046169 ?_Trace_ppl_function@Concurrency@@YAXABU_GUID@@EW4ConcRT_EventType@1@@Z
000491F7 0004920D ?_UnderlyingYield@details@Concurrency@@YAXXZ
00049250 000493E2 ?_ConcRT_Assert@details@Concurrency@@YAXPBD0H@Z
00049436 0004943C ?_ConcRT_CoreAssert@details@Concurrency@@YAXPBD0H@Z
0004943C 0004949D ?_ConcRT_DumpMessage@details@Concurrency@@YAXPB_WZZ
0004949D 0004953E ?_ConcRT_Trace@details@Concurrency@@YAXHPB_WZZ
0004953E 00049586 ??0_SpinLock@details@Concurrency@@QAE@ACJ@Z
00049586 0004958D ??1_SpinLock@details@Concurrency@@QAE@XZ
0004958D 0004959C ?Log2@details@Concurrency@@YAKI@Z
0004A147 0004A17E ?_set_new_handler@@YAP6AHI@ZP6AHI@Z@Z
0004A17E 0004A187 ?_set_new_handler@@YAP6AHI@ZH@Z
0004A187 0004A194 ?_query_new_handler@@YAP6AHI@ZXZ
0004A194 0004A1BC _callnewh
0004A1BC 0004A1C7 ?set_new_handler@@YAP6AXXZP6AXXZ@Z
0004A1C7 0004A1FA ?_set_new_mode@@YAHH@Z
0004A1FA 0004A200 ?_query_new_mode@@YAHXZ
0004A29B 0004A2A0 j_?terminate@@YAXXZ
0004A4D8 0004A4ED ?__ExceptionPtrCreate@@YAXPAX@Z
0004A4ED 0004A503 ?__ExceptionPtrCompare@@YA_NPBX0@Z
0004A503 0004A513 ?__ExceptionPtrRethrow@@YAXPBX@Z
0004A66A 0004A67B ?__ExceptionPtrDestroy@@YAXPAX@Z
0004A6E5 0004A716 ?__ExceptionPtrCopy@@YAXPAXPBX@Z
0004A716 0004A728 ?__ExceptionPtrAssign@@YAXPAXPBX@Z
0004A914 0004A919 j_?terminate@@YAXXZ_0
0004A91A 0004A958 ?__ExceptionPtrCurrentException@@YAXPAX@Z
0004A958 0004A99B ?__ExceptionPtrCopyException@@YAXPAXPBX1@Z
0004A99B 0004A9B7 __setusermatherr
0004AE31 0004AE61 _get_wpgmptr
0004AE61 0004AE91 _get_pgmptr
0004AEB2 0004AEC8 _exit
0004AEC8 0004AED7 _c_exit
0004AED7 0004AEF4 _amsg_exit
0004B16C 0004B1B4 __getmainargs
0004B23A 0004B240 __p__acmdln
0004B240 0004B246 __p__wcmdln
0004B246 0004B24C __p___argc
0004B24C 0004B252 __p___argv
0004B252 0004B258 __p___wargv
0004B258 0004B25E __p__commode
0004B25E 0004B263 __p__daylight
0004B263 0004B268 __p__dstbias
0004B268 0004B26E __p__environ
0004B26E 0004B274 __p__wenviron
0004B274 0004B27A __p__fmode
0004B27A 0004B280 __p___initenv
0004B280 0004B286 __p___winitenv
0004B286 0004B28C __p__mbctype
0004B28C 0004B292 __p__mbcasemap
0004B292 0004B2BA __p___mb_cur_max
0004B2BA 0004B2E2 __p__pctype
0004B2E2 0004B2E8 __p__pwctype
0004B2E8 0004B2EE __p__pgmptr
0004B2EE 0004B2F4 __p__wpgmptr
0004B2F4 0004B2F9 __p__timezone
0004B2F9 0004B2FE __p__tzname
0004B637 0004B663 _endthread
0004B6C4 0004B71C StartAddress
0004B71D 0004B7C4 _beginthread
0004B7C4 0004B7E2 _endthreadex
0004B8A9 0004B949 _beginthreadex
0004B952 0004B96C ___fls_getvalue@4
0004B96C 0004B972 __get_tlsindex
0004B972 0004B98F ___fls_setvalue@8
0004BA9A 0004BAA0 __threadid
0004BAA0 0004BAA6 __threadhandle
0004CF70 0004CF89 _atol_l
0004CF89 0004CF91 _atoi_l
0004CF91 0004CFA7 _atoi64
0004CFA7 0004CFC0 _atoi64_l
0004CFC0 0004D00F _swab
0004D18A 0004D1A3 _wtol_l
0004D1A3 0004D1AB _wtoi_l
0004D1AB 0004D1C1 _wtoi64
0004D1C1 0004D1DA _wtoi64_l
0004D21D 0004D247 _itoa
0004D247 0004D26E _ltoa
0004D26E 0004D288 _ultoa
0004D2F7 0004D32A _i64toa
0004D32A 0004D347 _ui64toa
0004D3FE 0004D428 _itoa_s
0004D428 0004D44F _ltoa_s
0004D44F 0004D469 _ultoa_s
0004D555 0004D58A _i64toa_s
0004D58A 0004D5A9 _ui64toa_s
0004D5FF 0004D629 _itow
0004D629 0004D650 _ltow
0004D650 0004D66A _ultow
0004D6ED 0004D720 _i64tow
0004D720 0004D73D _ui64tow
0004D816 0004D840 _itow_s
0004D840 0004D867 _ltow_s
0004D867 0004D881 _ultow_s
0004D980 0004D9B5 _i64tow_s
0004D9B5 0004D9D4 _ui64tow_s
0004D9D4 0004D9DA _getdrives
0004D9DA 0004DA7E _getdiskfree
0004DA7E 0004DAA4 _findclose
0004DB1E 0004DC3C _findfirst32
0004DC3C 0004DD61 _findnext32
0004DD61 0004DE9C _findfirst64
0004DE9C 0004DFDB _findnext64
0004E057 0004E17E _findfirst64i32
0004E17E 0004E2AC _findnext64i32
0004E2AC 0004E3DE _findfirst32i64
0004E3DE 0004E514 _findnext32i64
0004E514 0004E524 _seterrormode
0004E524 0004E541 _sleep
