0000AF61 0000AF6B __imp_load__SymUnloadModule@8
0000AF70 0000AF76 _SymUnloadModule@8
0000AF7B 0000AF85 __imp_load__UnmapDebugInformation@4
0000AF8A 0000AF90 _UnmapDebugInformation@4
0000AF97 0000B1DA ___delayLoadHelper2@8
0000B1DF 0000B1E5 __except_handler3
0000B1EA 0000B1F0 ?QueryInterfaceVersion@Mod1@@UAEKXZ
0000B1F5 0000B1FB ?QueryImplementationVersion@PDB1@@UAEKXZ
0000B200 0000B207 ?QueryPdbImplementationVersion@PDB1@@UAEKXZ
0000B20C 0000B23F ?setError@@YAXPAJJQADPBD@Z
0000B246 0000B279 ?setError@@YAXPAJJPAGIPBG@Z
0000B27E 0000B2AB ??_U@YAPAXIW4FILL@@@Z
0000B2B0 0000B2F1 ?setLastError@PDB1@@QAEXJPBD@Z
0000B2F6 0000B337 ?setLastError@PDB1@@QAEXJPBG@Z
0000B33C 0000B346 ?setOOMError@PDB1@@QAEXXZ
0000B34B 0000B384 ?setPbExtent@Buffer@pdb_internal@@AAEHPAE0@Z
0000B389 0000B393 ?setUsageError@PDB1@@QAEXXZ
0000B398 0000B3A7 ?setWriteError@PDB1@@QAEXXZ
0000B3AE 0000B3E8 ?QueryLastError@PDB1@@UAEJQAD@Z
0000B3EF 0000B490 ?grow@Buffer@pdb_internal@@AAEHJ@Z
0000B497 0000B4CC ?QueryLastErrorExW@PDB1@@UAEJPAGI@Z
0000B4D3 0000B501 ?QueryPDBName@PDB1@@UAEPADQAD@Z
0000B508 0000B531 ?QueryPDBNameExW@PDB1@@UAEPAGPAGI@Z
0000B536 0000B53D ?QuerySignature@PDB1@@UAEKXZ
0000B544 0000B58B ?Reserve@Buffer@pdb_internal@@QAEHJPAPAE@Z
0000B590 0000B597 ?QueryAge@PDB1@@UAEKXZ
0000B59E 0000B5E4 ?Append@Buffer@pdb_internal@@QAEHQAEJPAPAE@Z
0000B5E9 0000B5FF ?OpenDBI@PDB1@@UAEHPBD0PAPAUDBI@@@Z
0000B606 0000B631 ?GetRawBytes@PDB1@@UAEHP6AHPBXJ@Z@Z
0000B638 0000B693 ?fEnsureSn@PDB1@@AAEHPAG@Z
0000B69A 0000B6D1 ?fEnsureNoSn@PDB1@@AAEHPAG@Z
