0001C13D 0001C15F _DPA_Create@4
0001C164 0001C16E ?AddRef@CIEFrameAuto@@W7AGKXZ
0001C188 0001C192 ?AddRef@CWebBrowserSB@@WCM@AGKXZ
0001C197 0001C1E0 ?TLSAddRef@@YGXXZ
0001C1E5 0001C216 ??0CImpIDispatch@@IAE@ABU_GUID@@GG0@Z
0001C278 0001C27E _SHRegGetBoolUSValueW@16
0001C283 0001C2B3 ?_ResizeView@CBaseBrowser2@@UAGJXZ
0001C2B8 0001C2DA ?v_ShowHideChildWindows@CBaseBrowser2@@MAGJH@Z
0001C300 0001C334 ?put_Offline@CIEFrameAuto@@UAGJF@Z
0001C339 0001C372 ?UpdateBrowserReadyState@@YGXPAUIUnknown@@K@Z
0001C3F5 0001C3FF __imp_load__RegisterDragDrop@8
0001C404 0001C460 ?OnCreate@CBaseBrowser2@@UAGJPAUtagCREATESTRUCTW@@@Z
0001C465 0001C4CA ?_RegisterAsDropTarget@CBaseBrowser2@@IAEXXZ
0001C4DD 0001C50C ?_UpdateStatusPaneBalloonTipPosition@CBaseBrowser2@@IAEJH@Z
0001C61B 0001C641 ?GetBrowseContext@CIEFrameAuto@@UAGJPAPAUIHlinkBrowseContext@@@Z
0001C695 0001C6C4 _DPA_InsertPtr@12
0001C755 0001C771 ?CViewSet_Add@@YGHPAUCViewSet@@PBU_GUID@@@Z
0001C77D 0001C7AC _DSA_InsertItem@12
0001C812 0001C857 ?CreateTravelLog@@YGJPAPAUITravelLog@@@Z
0001C85C 0001C8B0 ??0CTravelLog@@QAE@XZ
0001C8C1 0001C8D2 ?_StopCurrentView@CBaseBrowser2@@IAEXXZ
0001C8E5 0001C90C ?_SendAsyncOperation@CBaseBrowser2@@IAEJI@Z
0001C911 0001C9DB ?_Initialize@CBaseBrowser2@@UAGJPAUHWND__@@PAUIUnknown@@@Z
0001C9E0 0001CA18 _CIEFrameAuto_CreateInstance@8
0001CA1D 0001CBD1 ??0CIEFrameAuto@@IAE@PAUIUnknown@@@Z
0001CBD6 0001CC0B ?Init@COmWindow@CIEFrameAuto@@QAEJXZ
0001CC10 0001CC25 ?SetTopBrowser@CBaseBrowser2@@UAGJXZ
