0000D813 0000D841 _CreatePszNode@4
0000D846 0000D862 _DestroyPszNode@4
0000D867 0000D88F _DestroyKvNode@4
0000D894 0000D968 _DeviceAndPortFromPsz@12
0000D96D 0000D9B6 _CreateKvNode@8
0000D9BB 0000D9ED _DtlAddNodeLast@8
0000D9F2 0000DA1A _DtlCreateList@4
0000DA1F 0000DA67 _DtlCreateSizedNode@8
0000DA6C 0000DAA5 _DtlRemoveNode@8
0000DAAA 0000DAC7 _DtlCreateNode@8
0000DACC 0000DB07 _DtlDestroyList@8
0000DB0C 0000DB4F _GetRegDword@12
0000DB54 0000DC62 _GetRegMultiSz@16
0000DC67 0000DCCD _GetRegSz@12
0000DCD2 0000DDDF _RegDeleteTreeWorker@12
0000DDE4 0000DE0E _RegValueExists@8
0000DE13 0000DE32 _SetRegDword@12
0000DE37 0000DF51 _SetRegMultiSz@16
0000DF56 0000DF8A _SetRegSz@12
0000DF8F 0000DFD9 _RegDeleteTree@8
0000DFDE 0000DFE4 _atol
0000DFE9 0000DFEF _DsRoleFreeMemory@4
0000DFF4 0000DFFA _DsRoleGetPrimaryDomainInformation@12
