0006DDCC 0006DE1B ?Notify@CView@@QAEXPAVCNotification@@@Z
0006DE20 0006DE46 ?Cch@CNotification@@QAEJJ@Z
0006DE4B 0006DE7C ?FireEvent@CDocument@@QAEJPAVCDoc@@JJPBGPAH@Z
0006DE81 0006DF8F ?FireEvent@CBase@@QAEJPAVCDoc@@PAVCElement@@PAVCMarkup@@JJPBGPAHHPAUIDispatch@@PAUEVENTINFO@@@Z
0006DF94 0006E00B ??1EVENTPARAM@@QAE@XZ
0006E010 0006E037 ?Pop@EVENTPARAM@@QAEXXZ
0006E03C 0006E12E ?Create@CEventObj@@SGJPAPAUIHTMLEventObj@@PAVCDoc@@PAVCElement@@PAVCMarkup@@HPAGPAUEVENTPARAM@@H@Z
0006E133 0006E203 ?SetAttributes@CEventObj@@QAEJPAVCDoc@@@Z
0006E208 0006E243 ?GetMarkupContext@CEventObj@@QAEPAVCMarkup@@XZ
0006E248 0006E270 ?GetParam@CEventObj@@QAEJPAPAUEVENTPARAM@@@Z
0006E275 0006E3CE ??0EVENTPARAM@@QAE@PAVCDoc@@PAVCElement@@PAVCMarkup@@HHPBU0@@Z
0006E3D3 0006E409 ?VBShiftState@@YGFXZ
0006E40E 0006E4A5 ?SetReadyState@CMarkup@@QAEJJ@Z
