00005690 000057F5 ?Load@HLNK_PersistStm@@UAGJPAUIStream@@@Z
000057FA 00005840 ?EnumFormatEtc@HLNK_DataObj@@UAGJKPAPAUIEnumFORMATETC@@@Z
00005845 00005966 ?HrGetDataCfUrl@HLNK_DataObj@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
0000596B 00005B34 ?HrGetDataCfFGD@HLNK_DataObj@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
00005B39 00005C1B ?HrGetDataCfFileContents@HLNK_DataObj@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
00005C20 00005CAE ??0HLNK@@QAE@PAUIUnknown@@@Z
00005CB3 00005CD7 ??1HLNK@@QAE@XZ
00005CDC 00005D15 ?New@HLNK@@CGPAV1@PAUIUnknown@@@Z
00005D1A 00005D5D ?HrSetMonikerReference@HLNK@@QAEJKPAUIMoniker@@PBG@Z
00005D62 00005E5A ?HrSetStringReference@HLNK@@QAEJKPBG0H@Z
00005E5F 00006151 ?HrCompleteNavigation@HLNK@@AAEJXZ
00006156 000061B5 ?SetMonikerReference@HLNK@@UAGJKPAUIMoniker@@PBG@Z
000061BA 000061E3 ?SetStringReference@HLNK@@UAGJKPBG0@Z
000061E8 00006297 ?GetData@HLNK_DataObj@@UAGJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
0000629C 000062DF ?OnObjectAvailable@HLNK_Bsc@@UAGJABU_GUID@@PAUIUnknown@@@Z
000062E4 00006305 ??_GHLNK@@QAEPAXI@Z
0000630A 00006437 ?HrIntHlinkCreate@@YGJHPAUIMoniker@@HPBG11KPAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000643C 000064DF ?HrIntHlinkCreateFromStr@@YGJHHPBG00PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
000064E4 000064FB ?URelease@HLNK@@AAEKXZ
00006500 00006580 ?Create@HLNK@@SGJPAUIUnknown@@ABU_GUID@@PAPAXPAPAV1@@Z
00006585 00006599 ?Release@HLNK_Unk@@UAGKXZ
0000659E 000065D7 _HlinkCreateFromString@32
000065DC 0000667D _HlinkQueryCreateFromData@4
00006682 000066DD _HlinkCreateBrowseContext@12
000066E2 00006731 _HlinkOnNavigate@28
00006736 00006778 _HlinkUpdateStackItem@24
0000677D 000067C8 _HlinkOnRenameDocument@16
000067CD 00006824 ?FGetSpecialRefRegKeysW@@YGHKPAPAUHKEY__@@PAPAG1@Z
00006829 00006880 ?FGetSpecialRefRegKeysA@@YGHKPAPAUHKEY__@@PAPAD1@Z
00006885 000068B2 _HlinkResolveMonikerForData@28
000068B7 00006953 _HlinkResolveStringForData@28
00006958 000069C0 _HlinkParseDisplayName@20
000069C5 000069F7 _HlinkCreateExtensionServices@28
000069FC 00006A35 _HlinkCreateShortcutFromMoniker@28
00006A3A 00006A5A _HlinkCreateShortcutFromString@28
00006A5F 00006B2E _HlinkResolveShortcut@24
00006B33 00006B69 _HlinkResolveShortcutToMoniker@12
00006B6E 00006BA4 _HlinkResolveShortcutToString@12
00006BA9 00006BC3 _HlinkIsShortcut@4
00006BC8 00006C15 ?StringVPrintfWorkerA@@YGJPADIPBD0@Z
00006C1A 00006C37 ?A2W@@YGXPBDPAGH@Z
00006C3C 00006C55 ?WzDupSzToWz@@YGPAGPBDH@Z
00006C5A 00006C86 ?FIsSpace@@YGHG@Z
00006C8B 00006CBA ?HrIntHlinkCreateFromMk@@YGJHPAUIMoniker@@PBG1PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
00006CBF 00006CF6 _HlinkCreateFromMoniker@32
00006CFB 00006D8F ?HrCreateHlinkFromCfUniformResourceLocator@@YGJPAUtagSTGMEDIUM@@PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
00006D94 00006E91 ?HrCreateHlinkFromCfHDROP@@YGJPAUtagSTGMEDIUM@@PAUIHlinkSite@@KPAUIUnknown@@ABU_GUID@@PAPAX@Z
