00012803 0001281F _GetPixelFormat@4
00012824 00012833 _NtGdiCreateMetafileDC@4
00012841 000128F1 ?vInit@MRMETAFILE@@QAEXPAXPBGI@Z
000128F6 00012969 _GetDeviceCapsP@8
00012B05 00012B2A ?pmdcAllocMDC@@YGPAVMDC@@PAXPBG10@Z
00012B2F 00012BA6 _CreateEnhMetaFileW@16
00012BAB 00012BB6 _SetBoundsRectAlt@12
00012BBB 00012BDE ?bEqual@METALINK@@QAEHGG@Z
00012C85 00012C9E ?vFreeMHE@@YGXPAXK@Z
00012CA3 00012D98 _MF_AnyBitBlt@64
00012E2E 00012E86 ??YERECTL@@QAEXAAU_RECTL@@@Z
00012E8B 00012F0B ?bInit@MRBB@@QAEHKPAVMDC@@JJJJKJJPAUtagXFORM@@KPAUtagBITMAPINFOHEADER@@PAXKKKK@Z
00012F10 00012F2A ?vInit@MRB@@QAEXKPAVMDC@@@Z
00012F2F 00012F68 ?ReallocMem@MDC@@QAEHK@Z
00012F74 00012F93 _IcmFreeMetafileList@4
00012F98 0001300E _MF_RestoreDC@8
00013083 00013099 ?vFreeMDC@@YGXPAVMDC@@@Z
0001309E 0001320B _CloseEnhMetaFile@4
00013210 00013229 ?GetPtr@MDC@@QAEPAXII@Z
0001322E 0001329E _MF_EOF@12
000132A3 000132D6 ?vInit@MREOF@@QAEXKPAUtagPALETTEENTRY@@K@Z
00013335 00013369 ?vInit@MREXTCREATEFONTINDIRECTW@@QAEXPAXKPAUtagENUMLOGFONTEXDVW@@@Z
000133DD 00013479 _MF_GdiComment@12
0001347E 000134AD ?vInit@MRGDICOMMENT@@QAEXKPBE@Z
000134C9 00013542 _MF_SetDD@16
0001355C 000135B4 _MF_Record@8
000135DE 00013625 _MF_DeleteObject@4
0001362A 000136A6 _MF_DoBitBlt@56
000136F7 00013746 _GetRandomRgnBounds@12
0001374B 00013799 _GetBkMode@4
0001379E 000137B3 _GetArcDirection@4
000137B8 00013806 _GetPolyFillMode@4
0001380B 00013847 _GdiIsMetaPrintDC@4
0001384C 00013865 _MF_SetBrushOrgEx@12
0001386A 000138D6 _MF_SetWorldTransform@8
000138DB 00013955 _MF_ModifyWorldTransform@12
0001395A 00013962 _GetMiterLimit@8
00013967 00013976 _NtGdiGetMiterLimit@8
0001397B 000139D0 _MF_SetMetaRgn@4
000139D5 00013A00 ?vSetMetaBounds@MDC@@QAEXXZ
00013A05 00013AA9 _SetWindowExtEx@16
00013AAE 00013C19 _SetViewportExtEx@16
00013C2A 00013CB9 ?bPlay@MRBP16@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00013CBE 00013D01 ?bCheckRecord@MRBP16@@QAEHPAUtagHANDLETABLE@@@Z
00013D06 00013D57 ?bPlay@MRSETWINDOWEXTEX@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00013D5C 00013D8F ?bPlay@MREXCLUDECLIPRECT@@QAEHPAXPAUtagHANDLETABLE@@I@Z
00013DAC 00013DC5 _DeleteMetaFile@4
00013DCA 00013E27 _bValidExtent@12
00013E2C 00013EA2 _GetEvent@8
00013EAE 00013EFC _GetGraphicsMode@4
00013F11 00013F74 _GetMetaFileBitsEx@12
00013F79 00013F92 _CreatePenIndirect@4
00014044 000140A2 _SetMetaFileBitsEx@8
000140D0 00014286 _MF_ExtTextOut@36
0001428B 00014335 ?bInit@MREXTTEXTOUT@@QAEHKPAVMDC@@PAXHHIPBUtagRECT@@PBDHPBHH@Z
0001433A 0001442B ?bInit@MTEXT@@QAEHPAXHHIPBUtagRECT@@PBDHPBHPAVMR@@KH@Z
0001449D 000144C6 ?vInit@MRCREATEBRUSHINDIRECT@@QAEXKAAUtagLOGBRUSH@@@Z
000144CB 000144E4 _MF_SetWindowOrgEx@12
00014538 00014563 ?bInit@MRCREATEPEN@@QAEHPAXK@Z
