0000FEDB 0000FF9F ?AccessStoppedEvent@@YGPAXXZ
0000FFAF 00010056 ?AccessNewReaderEvent@@YGPAXXZ
00010066 0001007E ?ReleaseStartedEvent@@YGXXZ
00010083 0001009B ?ReleaseStoppedEvent@@YGXXZ
000100A0 000100B8 ?ReleaseNewReaderEvent@@YGXXZ
000100BD 000101EE ?StartCalaisService@@YGKXZ
0001027A 0001030D ?Receive@CComObject@@QAEPAUCObjGeneric_response@1@PAVCComChannel@@@Z
00010312 00010331 ?Send@CComObject@@QAEKPAVCComChannel@@@Z
00010336 00010384 ?InitStruct@CComObject@@IAEXKKK@Z
00010389 000103FF ?Append@CComObject@@QAEPAEAAUDesc@1@PBEK@Z
00010404 0001044B ?Parse@CComObject@@QAEPBXAAUDesc@1@PAK@Z
00010450 00010467 ?WaitForEverObject@@YGXPAX@Z
0001046C 000104DE ?Send@CComChannel@@QAEKPBXK@Z
000104E3 000105BD ?Receive@CComChannel@@QAEXPAXK@Z
000105C2 0001064D ??0CComChannel@@IAE@PAX@Z
00010652 000106CE ??1CComChannel@@QAE@XZ
000106D3 0001071B ?WaitForAnObject@@YGKPAXK@Z
00010720 000107CA ?WaitForAnyObject@@YAKKZZ
000107CF 000107D5 _WTSUnRegisterSessionNotification@4
000107DA 000107E0 _WTSFreeMemory@4
000107E5 000107EB __ultoa
000107F0 000107F6 _strpbrk
000107FB 00010801 __itoa
