00019B86 00019BBA __ClientToScreen@8
00019BBF 00019BDD _GetCPD@12
00019BE2 00019BF1 _NtUserGetCPD@12
00019BF6 00019C09 _GetKeyboardLayout@4
00019C0E 00019C16 _DestroyCaret@0
00019C1B 00019C2A _NtUserGetKeyboardLayoutList@8
00019C2F 00019C85 _FillRect@12
00019C8A 00019CA6 _IsZoomed@4
00019CBA 00019CD5 _SetRectEmpty@4
00019CDA 00019D0D _DefWindowProcWorker@20
00019D12 00019D3A _GetClassNameW@12
00019D3F 00019D4E _NtUserGetClassName@12
00019DE0 00019DE8 _GetMessageTime@0
00019DED 00019E38 __IsWindowVisible@4
00019E3D 00019E6E _IsWindowVisible@4
00019E81 00019EAE _EqualRect@8
00019ED9 00019F59 _GetKeyState@4
00019F5E 00019F6D _NtUserGetKeyState@4
00019F72 00019F93 _IsWindowUnicode@4
00019FA6 00019FB5 _NtUserTranslateMessage@8
00019FC2 0001A019 _CallWindowProcAorW@24
0001A01E 0001A03D _CallWindowProcW@20
0001A042 0001A064 _CopyRect@8
0001A069 0001A083 _REBASESHAREDPTR@4
0001A08F 0001A0EC @HMValidateSharedHandle@8
0001A0F1 0001A1AC _UnionRect@12
0001A1C7 0001A33B _CalcWakeMask@12
0001A340 0001A465 _PeekMessageA@20
0001A494 0001A517 _InternalEnumWindows@24
0001A51C 0001A595 _BuildHwndList@20
0001A59A 0001A5A9 _NtUserBuildHwndList@28
0001A5AE 0001A5C8 _EnumWindows@8
0001A5CD 0001A63F _GetWindowTextW@12
0001A644 0001A674 __MonitorFromWindow@8
0001A679 0001A6C6 _MonitorFromWindow@8
0001A6D9 0001A73B _GetMonitorInfoW@8
0001A740 0001A776 ___ClientMonitorEnumProc@4
0001A77B 0001A78A _NtUserEnumDisplayMonitors@16
0001A78F 0001A81D _GetAsyncKeyState@4
0001A822 0001A831 _NtUserGetAsyncKeyState@4
0001A84A 0001A8C4 _GetMonitorInfoA@8
0001A8C9 0001A907 _GetUpdateRect@12
0001A907 0001A916 _NtUserGetUpdateRect@12
0001A91B 0001A923 _GetCursor@0
0001A928 0001A935 _NtUserGetCaretBlinkTime@0
0001A93A 0001A949 _NtUserCallTwoParam@12
0001A94E 0001A95D _NtUserCreateCaret@16
0001A962 0001A978 _SetCaretPos@8
0001A97D 0001A99C _CallWindowProcA@20
0001AA38 0001AAF8 _RtlMBMessageWParamCharToWCS@8
0001AAFD 0001AB5F _PostMessageA@16
0001ABF5 0001AC2F _MonitorFromPoint@12
0001AC41 0001AC77 __MonitorFromPoint@12
