0000A80E 0000A8B8 ?Fire_ElementParsed@CActivationContextGenerationContextContributor@@QAEHPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@PBU_ACTCTXCTB_PARSE_CONTEXT@@GPBU_SXS_NODE_INFO@@@Z
0000A910 0000A9FC ?OnCreateNode@CXMLNamespaceManager@@QAEJPAUIXMLNodeSource@@PAXGPAPAU_XML_NODE_INFO@@@Z
0000AA34 0000AA8C ?Unbind@?$CConstDequeIterator@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@$0CCE@@@QAEXXZ
0000AC1E 0000AC81 ?Rebind@?$CDequeIterator@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@$0CCE@@@QAEXPAV?$CDeque@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@$0CCE@@@@Z
0000AE11 0000AEAC ?Reset@?$CHashTableIter@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@QAEXXZ
0000B019 0000B034 ??1?$CSxsPointerBase@VCNamespacePrefix@CXMLNamespaceManager@@V?$CSxsPointer@VCNamespacePrefix@CXMLNamespaceManager@@$E?ms_szTypeName@CNamespacePrefix@CXMLNamespaceManager@@2PBDB@@@@QAE@XZ
0000B039 0000B05A ?Delete@?$CSxsPointerBase@VCNamespacePrefix@CXMLNamespaceManager@@V?$CSxsPointer@VCNamespacePrefix@CXMLNamespaceManager@@$E?ms_szTypeName@CNamespacePrefix@CXMLNamespaceManager@@2PBDB@@@@QAEXXZ
0000B05F 0000B073 ?Delete@?$CSxsPointer@VCNamespacePrefix@CXMLNamespaceManager@@$E?ms_szTypeName@CNamespacePrefix@CXMLNamespaceManager@@2PBDB@@SGXPAVCNamespacePrefix@CXMLNamespaceManager@@@Z
0000B078 0000B118 ?push@XMLParser@@AAEJAAU_XML_NODE_INFO@@@Z
0000B11D 0000B136 ?_push@RawStack@@IAEPADXZ
0000B13B 0000B168 ?ErrorCallback@XMLStream@@QAEJJ@Z
0000B16D 0000B195 ?ErrorCallback@XMLParser@@QAEJJ@Z
0000B19A 0000B1B2 ?CopyContext@XMLParser@@AAEJXZ
0000B1B7 0000B1CF ??4?$_reference@UIStream@@@@QAEAAV0@PAUIStream@@@Z
0000B1D4 0000B1FF ?_assign@@YGXPAPAUIUnknown@@PAU1@@Z
0000B204 0000B224 ?Reset@XMLStream@@QAEJXZ
0000B229 0000B24A ??_GBufferedStream@@QAEPAXI@Z
0000B24F 0000B29C ??1BufferedStream@@QAE@XZ
0000B2A1 0000B2B9 ?_release@@YGXPAPAUIUnknown@@@Z
0000B2FF 0000B32D ?Mark@BufferedStream@@QAEXJ@Z
0000B332 0000B370 ?skipWhiteSpace@XMLStream@@AAEJXZ
0000B375 0000B3BC ?pop@XMLStream@@AAEJ_N@Z
0000B3DD 0000B421 ?push@XMLStream@@AAEJP81@AEJXZF@Z
0000B426 0000B4A7 ?SxspValidateAssemblyIdentity@@YGHKPBU_ASSEMBLY_IDENTITY@@@Z
0000B4DA 0000B531 ?SxspDeallocateInternalAssemblyIdentityAttribute@@YGXPBU_INTERNAL_ASSEMBLY_IDENTITY_ATTRIBUTE@@@Z
0000B579 0000B670 ?SxspComputeInternalAssemblyIdentityAttributeEncodedTextualSize@@YGHKPBU_INTERNAL_ASSEMBLY_IDENTITY_ATTRIBUTE@@PAK@Z
0000B6C4 0000B805 ?SxspEncodeInternalAssemblyIdentityAttributeAsText@@YGHKPBU_INTERNAL_ASSEMBLY_IDENTITY_ATTRIBUTE@@KPAXPAK@Z
0000B84F 0000B9F1 ?SxspEncodeAssemblyIdentityTextually@@YGHKPBU_ASSEMBLY_IDENTITY@@KPAXPAK@Z
0000BA2D 0000BB6D _SxsEncodeAssemblyIdentity@28
0000BB9F 0000BBB6 ??1CFileStreamBase@@UAE@XZ
0000BBFD 0000BC8B ?Fire_ParseEnded@CActivationContextGenerationContextContributor@@QAEXPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@@Z
0000BCE5 0000BD8C ?Fire_ParseEnding@CActivationContextGenerationContextContributor@@QAEHPAU_ACTCTXGENCTX@@PBU_ACTCTXCTB_ASSEMBLY_CONTEXT@@@Z
0000BDE6 0000BEDE ?SxspProcessPendingAssemblies@@YGHPAU_ACTCTXGENCTX@@@Z
0000BF6C 0000BF6D ?OnRefCountZero@CFileStreamBase@@UAEXXZ
0000BF72 0000BF76 ?SxspGetHashAlgorithm@@YGKXZ
0000BF7B 0000BFAF ??1?$CFnTracerRelease@VCFileStreamBase@@@@QAE@XZ
0000BFB4 0000BFD7 ??0?$CFnTracerRelease@VCMemoryStream@@@@QAE@ABU_SXS_STATIC_RELEASE_TRACE_CONTEXT@@PAVCMemoryStream@@AAJ@Z
0000BFDC 0000C05D ?Release@CFileStreamBase@@UAGKXZ
0000C062 0000C10C ??1CNodeFactory@@QAE@XZ
0000C111 0000C19B ??1CXMLNamespaceManager@@QAE@XZ
0000C1A0 0000C253 ??1?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@QAE@XZ
0000C2F5 0000C359 ?AddRef@CFileStreamBase@@UAGKXZ
0000C381 0000C43C ?Read@CFileStreamBase@@UAGJPAXKPAK@Z
0000C4A3 0000C4C1 ?DeallocateBuckets@CBucketChain@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@QAEXPBV2@AAK@Z
0000C4C6 0000C523 ??$Clear@V?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@@?$CDeque@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@$0CCE@@@QAEXPBV?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@P81@BEXPAVCBucket@1@@Z@Z
0000C6A8 0000C6F9 ?ClearNoCallback@CBucketChain@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@QAEXPBV2@AAK@Z
0000C87D 0000C896 ?MapLinkageToEntry@?$CDeque@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCProtectionRequestRecord@@PAV3@V?$CCaseInsensitiveUnicodeStringPtrTableHelper@VCProtectionRequestRecord@@@@$06$0A@@@$0CCE@@@IBEPAVCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCProtectionRequestRecord@@PAV3@V?$CCaseInsensitiveUnicodeStringPtrTableHelper@VCProtectionRequestRecord@@@@$06$0A@@@PAVCDequeLinkage@@@Z
0000C89B 0000C8BC ??_GCNodeFactory@@QAEPAXI@Z
0000C8C1 0000C8EF ?Move@?$CConstDequeIterator@VCBucket@?$CHashTable@ABV?$CCountedStringHolder@VCUnicodeCharTraits@@@@V?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@PAVCNamespacePrefix@CXMLNamespaceManager@@PAV34@V?$CStringPtrTableHelper@VCNamespacePrefix@CXMLNamespaceManager@@VCUnicodeCharTraits@@$0A@@@$06$0A@@@$0CCE@@@QAEXW4DequeIteratorMovementDirection@@@Z
0000C8F4 0000C90E ??1?$CDeque@VCPolicyStatementRedirect@@$0A@@@QAE@XZ
0000C913 0000C95D ?ResetHead@CDequeBase@@IAEXXZ
0000C9B0 0000C9D1 ??_G_ASSEMBLY@@AAEPAXI@Z
0000C9D6 0000CA04 ??1_ASSEMBLY@@AAE@XZ
0000CA09 0000CAAD ?SxspGetAttributeValue@@YGHKPBU_ATTRIBUTE_NAME_DESCRIPTOR@@PBU_ACTCTXCTB_CBELEMENTPARSED@@AA_NKPAXAAKP6GHKABV?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@2K34@ZK@Z
0000CAD9 0000CB0D ??0_WINDOW_CLASS_ENTRY@@QAE@XZ
0000CEC1 0000CEF3 ?Win32AllocateBuffer@?$CGenericStringBuffer@$0BAE@VCUnicodeCharTraits@@@@MBEHKAAPAG@Z
0000D149 0000D160 ?FusionpEqualStrings@@YG_NPBGK0K_N@Z
0000D165 0000D17B ?Call@CImpersonationData@@QBEHW4CallType@1@@Z
