00006077 00006092 ?IsWindowEnabled@CWnd@@QBEHXZ
00006097 0000616C ?OnActivate@CFrameWnd@@IAEXIPAVCWnd@@H@Z
00006171 00006220 ?NotifyFloatingWindows@CFrameWnd@@QAEXK@Z
00006225 00006241 ?AfxIsDescendant@@YGHPAUHWND__@@0@Z
00006246 00006266 ?OnDeleteItem@CWnd@@IAEXHPAUtagDELETEITEMSTRUCT@@@Z
0000626B 0000628A ?OnDestroy@CWnd@@IAEXXZ
0000628F 000063A3 ?OnNcDestroy@CWnd@@IAEXXZ
000063A8 000063D7 ?Detach@CWnd@@QAEPAUHWND__@@XZ
000063DC 000063FE ?OnActivateTopLevel@CWnd@@IAEJIJ@Z
00006403 0000642A ??0CMapPtrToPtr@@QAE@H@Z
0000642F 0000644B ?GetDockedControlBar@CDockBar@@IBEPAVCControlBar@@H@Z
00006450 000064A9 ?CancelToolTips@CWnd@@SGXH@Z
000064AE 0000653C ?OnActivateTopLevel@CFrameWnd@@IAEJIJ@Z
00006541 000065AC ?ExitHelpMode@CFrameWnd@@UAEXXZ
000065B1 000065CF ?IsVisible@CControlBar@@UBEHXZ
000065D4 000065F5 ?SetFocus@CWnd@@QAEPAV1@XZ
000065FA 00006628 ?IsTopParentActive@CWnd@@QBEHXZ
0000662D 00006648 ?OnSetFocus@CFrameWnd@@IAEXPAVCWnd@@@Z
0000664D 0000666D ?AfxUnhookWindowCreate@@YGHXZ
00006672 0000668A ??YCString@@QAEABV0@ABV0@@Z
0000668F 000066DD ?AfxHookWindowCreate@@YGXPAVCWnd@@@Z
000066E2 0000671C ?Attach@CWnd@@QAEHPAUHWND__@@@Z
00006721 0000672D ?AfxGetAfxWndProc@@YGP6GJPAUHWND__@@IIJ@ZXZ
00006732 00006740 ?FromHandle@CGdiObject@@SGPAV1@PAX@Z
00006745 0000677F ?AfxDlgProc@@YGHPAUHWND__@@IIJ@Z
00006784 000067BF ??0CDialog@@QAE@IPAVCWnd@@@Z
000067C4 0000683B ?GrayCtlColor@CWnd@@SGHPAUHDC__@@PAUHWND__@@IPAUHBRUSH__@@K@Z
00006840 00006864 ?GetDlgItem@CWnd@@QBEPAV1@H@Z
