000118A8 00011A83 _DhcpSetMSFTVendorSpecificOptions@24
00011A99 00011AD3 _ConvertNetworkString@8
00011AD8 00011C9E _ConvertFromBufferToClassInfo@16
00011CA3 00011DC1 _DhcpEnumClasses@16
00011DD9 00011F0C _ConvertClassIdNameToBin@20
00011F11 00011F6D _DhcpHandlePnPEvent@20
00011F72 00011FE8 _ServiceControlHandler@16
00011FED 00012036 _CheckForAddressConflict@8
0001203B 00012122 _SetAutoConfigurationForNIC@12
00012127 0001216B _DhcpDoReleaseOnShutDown@4
00012170 00012190 _CancelAllRenew@0
00012195 000122FE _DhcpDestroyContextEx@8
00012303 00012316 _DhcpDestroyContext@4
0001231B 000123C1 _DoInterfaceMetricChange@8
000123C6 0001248C _DoWOLCapabilityChange@8
00012491 000127D9 _DhcpCleanup@4
000127DE 000128A4 _HandleFailedRenewals@0
000128A9 00012961 _ParseIpString@8
00012966 00012AB6 _DhcpRegRecurseDeleteSub@8
00012ABB 00012AE5 _DhcpRegRecurseDelete@8
00012AEA 00012CFA _SetOverRideDefaultGateway@4
00012CFF 00012D7C _GuidToClientID@16
00012D81 00012EFD _DhcpSetContextForcedBroadcastFlag@4
00012F3B 00012F67 _DhcpSetLeaseRenewalTime@8
00012F6C 000131F2 _DhcpInitGlobalForceBroadcastList@0
00013233 00013418 _DhcpCleanupRegistryOnServiceStop@0
00013433 000135A1 _RegGetIpAndSubnet@12
000135BF 0001363F _IPDelIPAddress@4
00013644 0001378E _IPDelNonPrimaryAddresses@4
00013793 00013897 _IPAddIPAddress@12
0001389C 000138B2 _IPResetIPAddress@8
000138B7 0001395E _NetBTNotifyRegChanges@4
00013971 00013B75 _SetDefaultGateway@12
00013B7A 00013CE0 _GetIpInterfaceContext@12
00013CE5 00013D87 _DhcpEnableDynamicConfigEx@4
00013D8C 00013DC5 _DhcpNotifyConfigChangeNotifications@0
00013DCA 00013F36 _DhcpNotifyConfigChangeEx@32
00013F3B 00013F60 _DhcpNotifyConfigChange@28
00013F65 00014034 _BringUpInterface@4
00014039 00014055 _IPCancelIPEventRequest@8
0001405A 0001415D _GetHardwareAddressForIpAddress@12
00014162 000141C3 _GetSeed@0
000141C8 00014663 _DhcpRenewIpAddressLeaseEx@24
00014668 00014955 _DhcpReleaseIpAddressLeaseEx@16
0001495A 0001497B _DhcpRenewIpAddressLease@16
00014980 0001499B _DhcpReleaseIpAddressLease@8
000149A0 00014F8F _DhcpLeaseIpAddressEx@32
00014F94 00014FBB _DhcpLeaseIpAddress@24
00014FC0 0001500B _McastApiStartup@4
00015010 00015015 _McastApiCleanup@0
0001501A 000150ED _McastEnumerateScopes@20
000150F2 0001512E _McastGenUID@4
00015133 00015256 _McastRequestAddress@20
0001525B 00015352 _McastRenewAddress@16
00015357 000153F3 _McastReleaseAddress@12
000153F8 0001547C _MadcapInitGlobalData@0
00015481 000154D5 _MadcapCleanupGlobalData@0
000154DA 0001552F _ShouldRequeryMScopeList@0
00015534 000155F8 _InitializeMadcapSocket@8
000155FD 00015626 _ReInitializeMadcapSocket@8
0001562B 0001576E _CreateMadcapContext@12
00015773 0001583E _SendMadcapMessage@12
00015843 0001589C _FormatMadcapCommonMessage@8
000158A1 000158FD _SendMadcapInform@8
00015902 00015A2E _SendMadcapDiscover@16
00015A33 00015BBE _SendMadcapRequest@20
00015BC3 00015CE2 _SendMadcapRenew@12
00015CE7 00015D25 _SendMadcapRelease@8
00015D2A 00015E2B _GetSpecifiedMadcapMessage@16
00015E30 00015F0D _AcceptMadcapMsg@20
00015F12 00016098 _MadcapExtractOptions@24
0001609D 00016209 _MadcapDoInform@4
0001620E 00016299 _CopyMScopeList@12
0001629E 0001669B _StoreMScopeList@8
000166A0 000166F0 _GenMadcapClientUID@8
000166F5 00016899 _RenewMadcapAddress@20
0001689E 00016969 _ReleaseMadcapAddress@4
0001696E 00016B0D _ObtainMScopeList@0
00016B12 00016C7D _ObtainMadcapAddress@16
00016C82 00016CF2 _DoPopup@4
00016CF7 00016DF6 _DisplayUserMessage@12
00016DFB 00016E1D _RpcCliEnableDhcp@12
00016E22 00016E44 _RpcCliRenewLease@8
00016E49 00016E6B _RpcCliRenewLeaseByBroadcast@8
00016E70 00016E92 _RpcCliReleaseLease@8
00016E97 00016EB9 _RpcCliFallbackRefreshParams@8
00016EBE 00016EE0 _RpcCliStaticRefreshParams@12
00016EE5 00016F07 _RpcCliRemoveDnsRegistrations@4
00016F0C 00016F2E _RpcCliRegisterParams@32
00016F33 00016F55 _RpcCliDeRegisterParams@16
00016F5A 00016F7C _RpcCliSetMSFTVendorSpecificOptions@24
00016F81 00016FA3 _RpcCliRequestCachedParams@16
00016FA8 00016FCA _RpcCliRegisterConnectionStateNotification@12
00016FCF 00016FF1 _RpcCliDeRegisterConnectionStateNotification@12
00016FF6 00017018 _RpcCliGetNotificationStatus@12
0001701D 0001703F _RpcCliGetDhcpServicedConnections@12
00017044 00017050 _MIDL_user_free@4
00017055 00017061 _TranslateExceptionCode@4
00017066 0001708B _I_RpcExceptionFilter@4
000170B1 0001710B _DhcpStopRPCServer@0
0001710B 00017203 ___report_gsfailure
00017208 0001720E __except_handler3
00017213 00017219 _sprintf
0001721E 00017224 _wcscmp
00017229 0001722F _wcstoul
00017234 0001723A _wcschr
0001723F 000174C5 _NdisQueryStatistics@8
000174CA 000174D6 _XSetLastError@4
000174DB 00017536 _OpenDevice@4
0001753B 00017541 _DnsAsyncRegisterTerm@0
00017546 0001754C _SendARP@16
00017551 00017557 _AllocateAndGetIfTableFromStack@20
0001755C 00017562 _AllocateAndGetIpAddrTableFromStack@16
00017567 0001756D _LsaUnregisterPolicyChangeNotification@8
00017572 00017578 _ntohl@4
0001757D 00017583 _ntohs@4
00017588 0001758E _htonl@4
00017593 00017599 _inet_addr@4
0001759E 000175A4 _htons@4
000175A9 000175D3 __GetAnsiStringLength@8
000175D8 0001766D _DhcpOemToUnicodeSafe@16
00017672 000176B5 _DhcpUnicodeToOemSize@4
000176BA 000176DC _ConvertUTF8ToUnicode@16
000176E1 000176F8 _DhcpDottedStringToIpAddress@4
000176FD 00017754 _AppendWideOption@20
00017759 0001786F _AppendMadcapAddressList@16
00017874 00017983 _ExpandMadcapAddressList@16
00017988 000179A4 _RpcSrvRemoveDnsRegistrations@4
000179A9 000179EB _RpcSrvDeRegisterParams@16
000179F0 00017A0B _DhcpDeInitRPCSecurityDescriptors@0
00017A10 00017B3B _RpcSrvSetMSFTVendorSpecificOptions@24
00017B40 00017C46 _RpcSrvRequestCachedParams@16
00017C4B 00017D54 _RpcSrvRegisterConnectionStateNotification@12
00017D59 00017D8E _RpcSrvDeRegisterConnectionStateNotification@12
00017D93 00017DD2 _RpcSrvGetNotificationStatus@12
00017DD7 00017E08 _RpcSrvGetDhcpServicedConnections@12
00017E0D 00017E65 _RpcSrvEnableDhcp@12
00017E6A 00017EB6 _RpcSrvRenewLease@8
00017EBB 00017F07 _RpcSrvRenewLeaseByBroadcast@8
00017F0C 00017F58 _RpcSrvReleaseLease@8
