0000B371 0000B399 ?MoveToSelectionEnd@CHTMLEditor@@UAGJPAUIMarkupPointer@@@Z
0000B39E 0000B3C6 ?MoveToSelectionAnchorEx@CHTMLEditor@@UAGJPAUIDisplayPointer@@@Z
0000B3CB 0000B3F3 ?MoveToSelectionEndEx@CHTMLEditor@@UAGJPAUIDisplayPointer@@@Z
0000B3F8 0000B415 ?GetParentElement@CHTMLEditor@@QAEJPAUIHTMLElement@@PAPAU2@@Z
0000B41A 0000B429 ?ClearCommandTargets@CHTMLEditor@@IAEJXZ
0000B42E 0000B440 ?PopCommandTarget@CHTMLEditor@@QAEJXZ
0000B445 0000B461 ?DoPendingTasks@CHTMLEditor@@QAEJXZ
0000B466 0000B4C8 ?InitAppCompatFlags@CHTMLEditor@@QAEXXZ
0000B4CD 0000B56B ?SetupActiveIMM@CHTMLEditor@@QAEJPAUIUnknown@@@Z
0000B570 0000B5A2 ?GetBody@CHTMLEditor@@QAEJPAPAUIHTMLElement@@PAUIHTMLDocument2@@@Z
0000B5A7 0000B5C9 ?FreezeVirtualCaretPos@CHTMLEditor@@UAGJH@Z
0000B5CE 0000B5F0 ?UnFreezeVirtualCaretPos@CHTMLEditor@@UAGJH@Z
0000B5F5 0000B60F ?EnsureSelectionMan@CHTMLEditor@@IAEJXZ
0000B614 0000B648 ?DocPixelsFromDevice@CHTMLEditor@@QAEXPAUtagSIZE@@@Z
0000B64D 0000B681 ?DeviceFromDocPixels@CHTMLEditor@@QAEXPAUtagPOINT@@@Z
0000B686 0000B6E2 ?DocPixelsFromDevice@CHTMLEditor@@QAEXPAUtagRECT@@@Z
0000B6E7 0000B743 ?DeviceFromDocPixels@CHTMLEditor@@QAEXPAUtagRECT@@@Z
0000B748 0000B773 ?ClientToScreen@CHTMLEditor@@QAEXPAUHWND__@@PAUtagPOINT@@@Z
0000B778 0000B79B ?GetWindowRect@CHTMLEditor@@QAEXPAUHWND__@@PAUtagRECT@@@Z
0000B7A0 0000B7B6 ?Release@?$CSmartPtr@UIHTMLWindow4@@@@QAEXXZ
0000B7BB 0000B7C3 ?GetIDsOfNames@CDispWrapper@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000B7C8 0000B7EC ??0CComposeSettingsCommand@@QAE@KPAVCHTMLEditor@@@Z
0000B7F1 0000B848 ?StringRtfToStringHtml@CRtfToHtmlConverter@@SGJPAVCDoc@@PADPAPAX@Z
0000B84D 0000B866 ??1COMPOSE_SETTINGS@@QAE@XZ
0000B86B 0000C8A8 ?InitCommandTable@CHTMLEditor@@IAEJXZ
0000C8AD 0000C8BE ?DeleteCommandTable@CHTMLEditor@@IAEJXZ
0000C8C3 0000C8DF ?GetSelectionServices@CHTMLEditor@@QAEPAVCSelectionServices@@XZ
0000C8E4 0000C924 ?AddDesigner@CHTMLEditor@@UAGJPAUIHTMLEditDesigner@@@Z
0000C929 0000C96D ?DesignerPreHandleEvent@CHTMLEditor@@QAEJJPAUIHTMLEventObj@@@Z
