00018041 00018062 ?ReadTraceSettingsStringKey@CTracer@@CGKPBDPADPAK@Z
00018067 00018081 ?CloseTraceFile@CTracer@@AAEXXZ
00018086 000181A2 ?TraceDumpFormat@CTracer@@QAEKPAEKKPAD@Z
000181A7 00018213 ?TraceSetPrefix@CTracer@@CGPADPADJ@Z
00018218 00018265 ?strnstr@CTracer@@SGPADPADHPBD@Z
0001826A 00018294 ??0CTracer@@QAE@K@Z
00018299 000182B4 ??1CTracer@@QAE@XZ
000182B9 00018348 ?TracePrint2@CTracer@@QAAXPADZZ
0001834D 00018407 ?TraceOut@CTracer@@QAEXPAD@Z
0001840C 0001848C ?TraceDumpText@CTracer@@QAEKPAEKPADKJ@Z
00018491 000184B2 ??_GCTracer@@QAEPAXI@Z
000184B7 00018509 ?TracePrint@CTracer@@QAAXKPADZZ
0001850E 0001858B ?TracePrintString@CTracer@@QAEXPADJ@Z
00018590 000187E4 ?TraceDump@CTracer@@QAEXPADPAEKJ@Z
000187E9 00018809 ?GlobalTraceTerm@CTracer@@SGXXZ
0001880E 0001899A ?OpenTraceFile@CTracer@@AAEHPAD@Z
0001899F 00018A87 ?TraceFnEnter@CTracer@@QAA?AUTraceValues@@KW4TRACE_FUNCTION_RETURN_TYPE@@PBD1ZZ
00018A8C 00018BA5 ?TraceFnEnter2@CTracer@@QAA?AUTraceValues@@KW4TRACE_FUNCTION_RETURN_TYPE@@PBDPAX1ZZ
00018BAA 00018D59 ?TraceFnLeave@CTracer@@QAEXKPAUTraceValues@@@Z
00018D5E 00018DD4 ?TracePrintError@CTracer@@QAEXKPAUTraceValues@@@Z
00018DD9 00019083 ?unlockedGlobalTraceInit@CTracer@@SGHH@Z
00019088 000190CF ?GlobalTraceInit@CTracer@@SGHH@Z
000190D4 000190D7 _HandleInitialize@0
000190DC 000190DD _HandleTerminate@0
000190E2 000190F5 _AllocateHandle@8
000190FA 00019150 _MapHandleToAddress@12
00019155 0001917D _DereferenceObject@4
00019182 000191B2 ?CopyTo@ICSTRING@@QAEXPAD@Z
000191B7 000191C4 ?XStringInitialize@@YGXXZ
000191C9 000191D6 ?XStringUninitialize@@YGXXZ
000191DB 0001922F ?GetUnencryptedString@XSTRING@@QAEPADXZ
00019234 0001924B ??1ICSTRING@@QAE@XZ
00019250 000192A7 ??YICSTRING@@QAEXD@Z
000192AC 0001931C ?Strncat@ICSTRING@@QAEXPAXK@Z
00019321 0001933F ?CreateOffsetString@ICSTRING@@QAEXKK@Z
00019344 0001937D ?CopyTo@ICSTRING@@QAEXPAD0@Z
00019382 00019471 ?SetData@XSTRING@@QAEHPBD@Z
00019476 0001952F ??4ICSTRING@@QAEAAV0@PAD@Z
00019534 0001957F ??4ICSTRING@@QAEAAV0@AAV0@@Z
00019584 000195F1 ?CreateStringBuffer@ICSTRING@@QAEXPAXKK@Z
000195F6 0001960F ?SetWorkItemInProgressAtomic@HTTP_REQUEST_HANDLE_OBJECT@@QAEHH@Z
00019614 00019636 ?Pop@@YGXPAVCFsm@@PAU_INTERNET_THREAD_INFO@@K@Z
0001963B 0001964A ?Pop@CFsm@@QAEXXZ
0001964F 000196A3 ?QueueWorkItem@CFsm@@QAEKKPAX@Z
000196A8 00019733 ?Run@CFsm@@QAEKPAU_INTERNET_THREAD_INFO@@PAKPAPAX1PAUWINHTTP_ASYNC_RESULT@@1@Z
00019738 00019781 ?DoFsm@@YGKPAVCFsm@@@Z
