0000B40F 0000B4A6 _I_CryptNetLdapMapErrorToWin32@8
0000B4D4 0000B4F6 ?Release@CLdapSynchronousRetriever@@UAEXXZ
0000B4FB 0000B78F _LdapCrackUrl@8
0000B7A1 0000B87E _LdapSendReceiveUrlRequest@24
0000B883 0000B98D _LdapHasWriteAccess@12
0000B9CB 0000BACF _LdapSSPIOrSimpleBind@16
0000BAD4 0000BC4E _LdapGetBindings@28
0000BC53 0000BCCA _LdapRetrieveEncodedObject@40
0000BCCF 0000BE29 ?RetrieveObjectByUrl@CLdapSynchronousRetriever@@UAEHPBGPBDKKPAPAXPAP6GX1PAU_CRYPT_BLOB_ARRAY@@PAX@Z24PAU_CRYPT_CREDENTIALS@@4PAU_CRYPT_RETRIEVE_AUX_INFO@@@Z
0000BE2E 0000BE8F ?ObjectContextGetProperty@@YGHPBDPAXK1PAK@Z
0000BE94 0000BECB ?ObjectContextFree@@YGXPBDPAX@Z
0000BED0 0000BF0C ?ObjectContextGetEncodedBits@@YGXPBDPAXPAKPAPAE@Z
0000BF11 0000C035 ?ObjectContextFindCorrespondingObject@@YGPAXPAXPBD0@Z
0000C03A 0000C091 ?ObjectContextDeleteAllObjectsFromStore@@YGHPAX@Z
0000C096 0000C0A1 ?ReallocBlob@CCryptBlobArray@@SGPAEPAEK@Z
0000C0A6 0000C0B1 ?FreeBlob@CCryptBlobArray@@SGXPAE@Z
0000C0B6 0000C0B9 ?GetBlobCount@CCryptBlobArray@@QAEKXZ
0000C0BE 0000C1D6 ?GetArrayInSingleBufferEncodedForm@CCryptBlobArray@@QAEHPAPAU_CRYPT_BLOB_ARRAY@@PAK@Z
0000C1E9 0000C27E ?GrowArray@CCryptBlobArray@@AAEHXZ
0000C283 0000C2A1 _CertificateCreateObjectContext@16
0000C2A6 0000C2C1 _CTLCreateObjectContext@16
0000C2C6 0000C2E4 _Pkcs7CreateObjectContext@16
0000C2E9 0000C307 _Capi2CreateObjectContext@16
0000C30C 0000C34B _InitializeDefaultUrlInfo@8
0000C350 0000C44D _GetUrlArrayAndInfoFromInfoAccess@28
0000C452 0000C4F5 ?GetCDPOIDFunctionValue@@YGPAGPBG@Z
0000C4FA 0000C50E ?GetCDPDirNameLdapUrlHostPorts@@YGPAGXZ
0000C54B 0000C55F ?GetCDPDirNameLdapUrlSuffix@@YGPAGXZ
0000C595 0000C6FF ?AddUrlsFromCDPDirectoryName@@YGHPAU_CRYPTOAPI_BLOB@@PAVCCryptUrlArray@@@Z
0000C709 0000C7F3 _GetUrlArrayAndInfoFromNextUpdateLocation@24
0000C7F8 0000C8C3 _CopyUrlArray@12
0000C8C8 0000CACE ?GetUrlArrayAndInfoFromCrossCertDistPoint@@YGHKPAU_CRYPT_RAW_URL_DATA@@PAU_CRYPT_URL_ARRAY@@PAKPAU_CRYPT_URL_INFO@@2@Z
0000CAD3 0000CB33 _CertificateCrossCertDistPointGetObjectUrl@32
0000CB38 0000CB9B _ObjectContextUrlFromInfoAccess@44
0000CBA0 0000CC02 _ObjectContextUrlFromNextUpdateLocation@36
0000CC07 0000CC38 _CertificateIssuerGetObjectUrl@32
0000CC3D 0000CC69 _CertificateFreshestCrlGetObjectUrl@32
0000CC6E 0000CC9D _CrlFreshestCrlGetObjectUrl@32
