000109BF 00010A23 _MMCGetProviderList@8
00010A28 00010AE3 _MMCGetServerConfig@8
00010AE8 00010C73 _EnsureTapiService@8
00010C78 00010FDF _MMCInitialize@16
00011141 000111A3 _MMCRemoveProvider@12
000111A8 00011253 _MMCSetLineInfo@8
00011258 00011303 _MMCSetPhoneInfo@8
00011308 000113D3 _MMCSetServerConfig@8
000113D8 000114A8 _MMCGetDeviceFlags@24
000114AD 0001157C _MMCShutdown@4
00011591 000116CC ?TRACELogPrint@CCallingCard@@QAAXKPBDZZ
000116EB 00011826 ?TRACELogPrint@CCallingCards@@QAAXKPBDZZ
00011849 0001188A ??0CCallingCard@@QAE@XZ
0001188F 000118AA ?MarkDeleted@CCallingCard@@QAEJXZ
000118AF 000118FD ?SetCardName@CCallingCard@@QAEJPAG@Z
00011902 00011950 ?SetPIN@CCallingCard@@QAEJPAG@Z
00011955 000119A3 ?SetAccountNumber@CCallingCard@@QAEJPAG@Z
000119A8 000119F6 ?SetInternationalAccessNumber@CCallingCard@@QAEJPAG@Z
000119FB 00011A49 ?SetLongDistanceAccessNumber@CCallingCard@@QAEJPAG@Z
00011A4E 00011A9C ?SetLocalAccessNumber@CCallingCard@@QAEJPAG@Z
00011AA1 00011AEF ?SetInternationalRule@CCallingCard@@QAEJPAG@Z
00011AF4 00011B42 ?SetLongDistanceRule@CCallingCard@@QAEJPAG@Z
00011B47 00011B95 ?SetLocalRule@CCallingCard@@QAEJPAG@Z
00011B9A 00011C1A ?OpenCardKey@CCallingCard@@AAEKH@Z
00011C3D 00011C58 ?CloseCardKey@CCallingCard@@AAEKXZ
00011C5D 00011CFA ?ReadOneStringValue@CCallingCard@@AAEKPAPAGPBG@Z
00011CFF 00011D9A ?EncryptPIN@CCallingCard@@AAEKXZ
00011DE8 00011E79 ?DecryptPIN@CCallingCard@@AAEKXZ
00011EE5 00011FBD ?allocate@?$NodePool@PAVCCallingCard@@@@CGPAV?$ListNode@PAVCCallingCard@@@@XZ
00011FC2 00011FF1 ?deallocate@?$NodePool@PAVCCallingCard@@@@CGXPAV?$ListNode@PAVCCallingCard@@@@@Z
