00017B9D 00017CE4 _Dns_SendAndRecvMulticast@12
00017CE9 00017D79 _Dns_OpenTcpConnectionAndSend@12
00017D7E 00017EB1 _Dns_SendAndRecvTcp@16
00017EB6 00017EE5 _Dns_ResetNetworkInfo@4
00017EEA 00017F5D _Dns_PingAdapterServers@4
00017F7D 00018019 _Dns_CreateMulticastSocket@20
0001801E 0001803A _Dns_CloseSocket@4
0001803F 00018066 _Dns_CloseConnection@4
0001806B 000180BC _ControlCallback@16
000180C1 00018212 _Dns_UpdateLib@20
00018217 0001825B _Dns_UpdateLibEx@28
00018260 00018290 _DnsAcquireContextHandle_W@12
00018295 000182C5 _DnsAcquireContextHandle_A@12
000182CA 000182E6 _DnsReleaseContextHandle@4
000182EB 00018365 _prepareUpdateRecordSet@16
0001836A 000183EC _DnsBuildUpdateSet@12
000183F1 00018477 _DnsUpdate@20
0001847C 00018482 _DnsGetLastServerUpdateIP@0
00018487 000184A1 _DnsGetLastFailedUpdateInfo@4
000184A6 000184D0 _SetLastFailedUpdateInfo@8
000184D5 00018567 _DoQuickUpdateEx@20
0001856C 000186A8 _DoMultiMasterUpdate@24
000186AD 00018895 _DoQuickUpdate@20
0001889A 00018ADF _replaceRecordsInSetPrivate@24
00018AE4 00018B03 _DnsReplaceRecordSetUTF8@20
00018B08 00018B27 _DnsReplaceRecordSetW@20
00018B2C 00018B4B _DnsReplaceRecordSetA@20
00018B50 00018C34 _modifyRecordsInSetPrivate@28
00018C39 00018C5B _DnsModifyRecordsInSet_W@24
00018C60 00018C82 _DnsModifyRecordsInSet_A@24
00018C87 00018CA9 _DnsModifyRecordsInSet_UTF8@24
00018CAE 00019119 _DnsModifyRRSet_Ex@20
0001911E 0001947C _DnsRegisterRRSet_Ex@16
00019481 000194F3 _DnsAddRecordSet_UTF8@16
000194F8 0001952C _DnsAddRecordSet_A@16
00019531 00019565 _DnsAddRecordSet_W@16
0001956A 0001967D _DnsUpdateTest_W@16
00019691 00019759 _DnsModifyRecordSet_UTF8@20
0001975E 000197A9 _DnsModifyRecordSet_A@20
000197AE 000197F9 _DnsModifyRecordSet_W@20
000197FE 00019848 _DnsUpdateTest_A@16
0001984D 00019859 _Dns_RandInitialize@0
0001985E 0001988A _Dns_RandCleanup@0
0001988F 00019937 _Dns_RandGenerateWord@0
00019960 00019A58 ___report_gsfailure
00019A5D 00019A67 __imp_load__GetBestInterface@8
00019A6C 00019A72 _GetBestInterface@8
00019A77 00019AE5 _Dns_CleanupSecurityPacketInfoEx@8
00019AEA 00019B04 _Dns_CreateSecurityContext@0
00019B09 00019B72 _Dns_FreeSecurityContext@4
00019B77 00019BDE _Dns_EnlistSecurityContext@4
00019BE3 00019C42 _Dns_TimeoutSecurityContextList@4
00019C47 00019D53 _MakeKerberosName@12
00019D79 00019DCD _Dns_LoadNtdsapiProcs@0
00019E0D 0001A004 _Dns_InitClientSecurityContext@12
0001A009 0001A1BA _Dns_WriteGssTkeyToMessage@20
0001A1BF 0001A577 _Dns_SignMessageWithGssTsig@16
0001A57C 0001A6E9 _Dns_ExtractGssTsigFromMessage@12
0001A6EE 0001A7E7 _Dns_CopyAndCanonicalizeWireName@12
0001A7EC 0001AB21 _Dns_VerifySignatureOnPacket@4
0001AB26 0001AB61 _Dns_CreateAPIContext@12
0001AB66 0001AB9C _Dns_FreeAPIContext@4
0001ABA1 0001ABB8 _Dns_GetApiContextCredentials@4
0001ABBD 0001AC21 _Dns_GetKeyVersion@4
0001AC41 0001AC8C _BuildCredsForPackage@12
0001AC91 0001ACED _Dns_AcquireCredHandle@12
0001AD07 0001AD76 _Dns_RefreshSSpiCredentialsHandle@8
0001AD7B 0001ADE9 _MakeCredKey@4
0001AE17 0001AE4A _CompareCredKeys@8
0001AE4F 0001AF04 _Dns_DequeueSecurityContextByKey@20
0001AF09 0001B008 _Dns_FindOrCreateSecurityContext@16
0001B019 0001B0E2 _Dns_InitializeSecurityPackage@8
0001B10E 0001B2C0 _Dns_ExtractGssTkeyFromMessage@16
0001B2C5 0001B756 _Dns_NegotiateTkeyWithServer@28
0001B766 0001B9F0 _Dns_DoSecureUpdate@36
0001B9F5 0001BA16 _Dns_LibHeapReset@12
0001BA1B 0001BA3E _Dns_Realloc@8
0001BA43 0001BA84 _Dns_InitializeSecondsTimer@0
0001BA89 0001BAE8 _Dns_ScreenRecord@8
0001BAED 0001BB3E _Dns_AllocateRecordEx@8
0001BB43 0001BBB3 _Dns_CreatePtrRecordExEx@24
0001BBB8 0001BC0A _Dns_CreateAAAARecord@32
0001BC0F 0001BC51 _PtrRecordCopy@12
0001BC56 0001BCC9 _SoaRecordCopy@12
0001BCCE 0001BD33 _MinfoRecordCopy@12
0001BD38 0001BD82 _MxRecordCopy@12
0001BD87 0001BE05 _TxtRecordCopy@12
0001BE0A 0001BE42 _FlatRecordCopy@12
0001BE47 0001BEBA _AtmaRecordCopy@12
0001BEBF 0001BEDA _Dns_RecordCopyEx@12
0001BEDF 0001BEF8 _Dns_RecordCopy_W@4
0001BEFD 0001BF5B _Dns_ValidateName_A@8
0001BF60 0001C0E7 _Dns_DowncaseNameLabel@16
0001C0EC 0001C1DB _Dns_CreateStandardDnsNameCopy@12
0001C1E0 0001C1FA @Dns_GetDomainName_W@4
0001C1FF 0001C2B5 _Dns_ValidateAndCategorizeDnsNameEx@12
0001C2BA 0001C2E2 _Dns_NameLabelCount@4
0001C2E7 0001C38C _Dns_NameAppend_W@16
