00010BDD 00010C04 ?GetConvertInfo@WrappedIOleUIObjInfo@@UAGJKPAU_GUID@@PAG0PAPAU2@PAI@Z
00010C09 00010C2A ?GetViewInfo@WrappedIOleUIObjInfo@@UAGJKPAPAXPAKPAH@Z
00010C2F 00010C53 ?SetViewInfo@WrappedIOleUIObjInfo@@UAGJKPAXKHH@Z
00010C58 00010C68 ??1WrappedIOleUIObjInfo@@QAE@XZ
00010C6D 00010C88 ?GetLinkUpdateOptions@WrappedIOleUILinkInfo@@UAGJKPAK@Z
00010C8D 00010CF2 ?SetLinkSource@WrappedIOleUILinkContainer@@UAGJKPAGKPAKH@Z
00010CF7 00010D0F ?OpenLinkSource@WrappedIOleUILinkInfo@@UAGJK@Z
00010D14 00010D32 ?UpdateLink@WrappedIOleUILinkInfo@@UAGJKHH@Z
00010D37 00010D4F ?CancelLink@WrappedIOleUILinkContainer@@UAGJK@Z
00010D54 00010D6F ?GetLastUpdate@WrappedIOleUILinkInfo@@UAGJKPAU_FILETIME@@@Z
00010D74 00010D84 ??1WrappedIOleUILinkInfo@@QAE@XZ
00010D89 00010DDC _OleUIPromptUserA
00010DE1 00010E02 ??_GWrappedIOleUILinkContainer@@QAEPAXI@Z
00010E07 00010E28 ??_GWrappedIOleUIObjInfo@@QAEPAXI@Z
00010E2D 00010E55 ??0WrappedIOleUIObjInfo@@QAE@PAUIOleUIObjInfoA@@@Z
00010E5A 00010E7B ??_GWrappedIOleUILinkInfo@@QAEPAXI@Z
00010E80 00010E9F ?Release@WrappedIOleUILinkContainer@@UAGKXZ
00010EA4 00010ECC ??0WrappedIOleUILinkContainer@@QAE@PAUIOleUILinkContainerA@@@Z
00010ED1 00010FEF _OleUIEditLinksA@4
00010FF4 000110AB _OleUIUpdateLinksA@16
000110B0 000110CF ?Release@WrappedIOleUIObjInfo@@UAGKXZ
000110D4 000110F3 ?Release@WrappedIOleUILinkInfo@@UAGKXZ
000110F8 00011120 ??0WrappedIOleUILinkInfo@@QAE@PAUIOleUILinkInfoA@@@Z
00011125 00011256 _OleUIObjectPropertiesA@4
0001125B 00011512 _OleUIChangeSourceA@4
00011517 00011585 ___security_init_cookie
0001158A 000115A0 @__security_check_cookie@4
000115A5 0001169D ___report_gsfailure
000116A2 00011754 __CRT_INIT@12
00011759 000117F8 __DllMainCRTStartup@12
00011800 00011821 __allshr
00011830 0001186D __chkstk
00011880 000118B4 __allmul
000118BC 000118F7 __SEH_prolog
000118F7 00011908 __SEH_epilog
0001190E 00011914 __except_handler3
00011919 00011945 __onexit
0001194A 00011961 _atexit
00011966 0001196C ??3@YAXPAX@Z
00011972 00011978 ??2@YAPAXI@Z
0001197E 00011984 __initterm
0001198A 00011990 ___dllonexit
00011996 0001199C _IsValidInterface@4
000119A1 000119C1 _SafeAllocaAllocateFromHeap@4
000119C6 000119E6 _SafeAllocaFreeToHeap@4
000119EB 00011A45 _VerifyStackAvailable@4
00011A4A 00011B03 _SafeAllocaInitialize@16
00011B08 00011B0E __resetstkoflw
00011B13 00011BB1 ?FIconBoxInitialize@@YGHPAUHINSTANCE__@@0@Z
00011BB6 00011BCE _GetTaskData@0
00011BD3 00011BFF ?_AfxTlsAlloc@@YGKXZ
00011C04 00011D56 _OleUIInitialize@8
00011D5B 00011DE6 _OleStdInitialize@8
00011DEB 00011F26 ?FResultImageInitialize@@YGHPAUHINSTANCE__@@0@Z
00011F2B 00011FAE _DllMain@12
00011FC4 00011FC5 nullsub_1
