00006127 00006167 ?find@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE?AViterator299b560d
00006167 0000619C ??MAccObjKeyRef@@QBE_NABV0@@Z
0000619C 000061D3 ?_Lbound@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@IBEPAU_Node411541e0
000061D3 00006203 ?IndexFromProp@@YGHABU_GUID@@@Z
0000621D 000062DA ?CalcBlob@AccInfo@@AAEPAEXZ
000062DA 00006314 ?Write_Binary@MemStream@@QAEHPBEH@Z
00006314 00006366 ?LookupKey@CPropMgrImpl@@QAEPAUAccInfo@@PBEKH@Z
00006366 0000638A ??8AccObjKeyRef@@QBE_NABV0@@Z
0000638A 000063CE ?UpdateBlob@AccInfo@@AAEHXZ
000063CE 000063DB ?Free_32BitCompatible@@YGXPAX@Z
000063DB 00006401 ?Write_DWORD@MemStream@@QAEHK@Z
00006401 00006439 ?Check@MemStream@@AAEHKH@Z
00006439 0000643F _CStdStubBuffer_Disconnect@4
0000643F 0000647C ?ClearHwndProps@CPropMgr@@UAGJPAUHWND__@@KKPBU_GUID@@H@Z
000064C7 000064E3 ??_G?$CComObject@VCPropMgr@@@ATL@@QAEPAXI@Z
000064E3 00006501 ??1?$CComObject@VCPropMgr@@@ATL@@QAE@XZ
00006501 00006512 ??1CPropMgr@@QAE@XZ
00006512 00006538 ?ClearProps@CPropMgr@@UAGJPBEKPBU_GUID@@H@Z
00006538 000065F3 ?ClearProps@CPropMgrImpl@@QAEJPBEKPBU_GUID@@H@Z
000065F3 00006620 ?RemoveEntry@CPropMgrImpl@@QAEXPAUAccInfo@@@Z
00006620 00006663 ?erase@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAEIABVAccObj31002f51
00006663 000066B2 ?erase@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE?AViterato0551a799
000066B2 000067AA ?erase@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE?AViterato83ad0a11
000067AA 000067D4 ?equal_range@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE?AU?2db3a046
000067D4 00006809 ?_Ubound@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@IBEPAU_Nodea56bf080
0000682A 00006846 ??_GCPropMgrImpl@@QAEPAXI@Z
00006846 00006883 ??1CPropMgrImpl@@QAE@XZ
00006883 000068E4 ??1?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE@XZ
000068E4 000068F5 _CStdStubBuffer_Release@4
000068F5 000068FB _NdrCStdStubBuffer_Release@8
0000693D 000069A8 ?ReleaseMarshallData@@YGJPBEK@Z
000069A8 000069C2 ?_Distance@std@@YAXViterator@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@219eeda6
000069C2 000069E5 ?_Distance@std@@YAXViterator@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@318d2cb7
000069E5 000069F3 _DllCanUnloadNow@0
000069F3 000069FF _ComATLMain_DllCanUnloadNow@0
000069FF 00006A4F ?ClearAll@CPropMgrImpl@@QAEXXZ
00006A4F 00006A6B ??_GAccInfo@@QAEPAXI@Z
00006A6B 00006A9B ??1AccInfo@@QAE@XZ
00006A9B 00006AC5 ?ClearBlob@AccInfo@@AAEXXZ
00006ADB 00006B04 ??_G?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@QAEPAXI@Z
00006B04 00006B1A ??1CComClassFactory@ATL@@QAE@XZ
00006B1A 00006B69 ?CreateInstance@?$CComCreator@V?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00006B69 00006B7D ??0?$CComObjectRootEx@VCComMultiThreadModel@ATL@@@ATL@@QAE@XZ
00006B7D 00006B96 ?QueryInterface@?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00006B96 00006BA7 ?AddRef@?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@UAGKXZ
00006BA7 00006BD5 ?CreateInstance@CComClassFactory@ATL@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00006BD5 00006C78 ?Init@CPropMgrImpl@@QAEHXZ
00006C9F 00006CB8 ?QueryInterface@?$CComObject@VCPropMgr@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00006CB8 00006CC5 ?AddRef@?$CComAggObject@VCPropMgr@@@ATL@@UAGKXZ
00006CC5 00006D08 ?SetHwndPropServer@CPropMgr@@UAGJPAUHWND__@@KKPBU_GUID@@HPAUIAccPropServer@@W4AnnoScope@@@Z
00006D08 00006DF4 ?MarshalInterface@@YGJABU_GUID@@PAUIUnknown@@KKPAPBEPAKPAVMarshalState@@@Z
00006E17 00006E37 ??0AccInfo@@QAE@XZ
00006E37 00006E89 ?Init@AccInfo@@QAEHPBEKPAUHWND__@@@Z
00006E89 00006E9F ?_Construct@std@@YGXPAU?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@1@ABU21@@Z
00006ED4 00006F3C ?AtlInternalQueryInterface@ATL@@YGJPAXPBU_ATL_INTMAP_ENTRY@1@ABU_GUID@@PAPAX@Z
00006F3C 00006F6C _InlineIsEqualGUID@8
00006F6C 00006F86 _DllGetClassObject@12
00006F86 00006FBA _ProxyStub_DllGetClassObject@12
00006FBA 00006FD8 _ComATLMain_DllGetClassObject@12
00006FD8 0000707E ?AtlModuleGetClassObject@ATL@@YGJPAU_ATL_MODULE_30@1@ABU_GUID@@1PAPAX@Z
0000707E 0000709C ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VCPropMgr@@@ATL@@@ATL@@V?$CComCreator@V?$CComAggObject@VCPropMgr@@@ATL@@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000709C 000070E8 ?CreateInstance@?$CComCreator@V?$CComObject@VCPropMgr@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
000070E8 00007107 ??0?$CComObject@VCPropMgr@@@ATL@@QAE@PAX@Z
00007107 0000711A ??0CPropMgr@@QAE@XZ
0000711A 00007161 ?GetThePropMgrImpl@CPropMgrImpl@@SGPAV1@XZ
000071DF 00007202 ?insert@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@std@@QAE?AU?$pair@Viterator@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccO32658142
00007202 00007281 ?insert@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE?AU?$pair0c756041
00007281 00007329 ?_Insert@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@IAE?AVitera3fbeab80
00007329 0000735E ??0CPropMgrImpl@@QAE@XZ
0000735E 00007384 ??0?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@QAE@ABU?$less@VAc2c1f8dd0
00007384 0000740A ?_Init@?$_Tree@VAccObjKeyRef@@U?$pair@$$CBVAccObjKeyRef@@PAUAccInfo@@@std@@U_Kfn@?$map@VAccObjKeyRef@@PAUAccInfo@@U?$less@VAccObjKeyRef@@@std@@V?$allocator@PAUAccInfo@@@4@@3@U?$less@VAccObjKeyRef@@@3@V?$allocator@PAUAccInfo@@@3@@std@@IAEXXZ
0000740A 0000746D ?SetPropServer@CPropMgr@@UAGJPBEKPBU_GUID@@HPAUIAccPropServer@@W4AnnoScope@@@Z
0000746D 00007487 ?MarshalInterfaceDone@@YGXPAVMarshalState@@@Z
00007487 00007534 ?SetPropServer@CPropMgrImpl@@QAEJPBEKPBU_GUID@@H0HW4AnnoScope@@@Z
00007534 000075AB ?SetPropServer@AccInfo@@QAEHHPBEHW4AnnoScope@@@Z
000088C6 00008903 __chkstk
00009832 00009838 __onexit_0
0000986E 0000987A _ProxyStub_DllCanUnloadNow@0
0000987A 0000988B _CStdStubBuffer2_Release@4
0000988B 000098B2 _ProxyStub_DllRegisterServer@0
000098B2 000098D9 _ProxyStub_DllUnregisterServer@0
000098D9 000098FF ?AtlA2WHelper@@YGPAGPAGPBDHI@Z
000098FF 0000992C ?ReplaceSingleQuote@CComModule@ATL@@SGXPAGPBG@Z
0000992C 00009943 ?Close@CRegKey@ATL@@QAEJXZ
00009943 00009991 ?Create@CRegKey@ATL@@QAEJPAUHKEY__@@PBGPAGKKPAU_SECURITY_ATTRIBUTES@@PAK@Z
00009991 000099C6 ?Open@CRegKey@ATL@@QAEJPAUHKEY__@@PBGK@Z
000099C6 000099E0 ?SetValue@CRegKey@ATL@@QAEJKPBG@Z
000099E0 00009A0A ?SetValue@CRegKey@ATL@@QAEJPBG0@Z
00009A0A 00009A27 ??0CExpansionVector@ATL@1@QAE@XZ
00009A27 00009B20 ?Add@CExpansionVector@ATL@2@QAEJPBG0@Z
00009B20 00009B58 ?Find@CExpansionVector@ATL@2@QAEPBGPAG@Z
00009B58 00009B91 ?ClearReplacements@CExpansionVector@ATL@2@QAEJXZ
00009B91 00009BAD ?EndOfVar@CRegParser@ATL@2@IAEHXZ
00009BAD 00009BCC ??0CParseBuffer@CRegParser@ATL@2@QAE@H@Z
00009BCC 00009C07 ?AddChar@CParseBuffer@CRegParser@ATL@3@QAEHPBG@Z
00009C07 00009C29 ?AddString@CParseBuffer@CRegParser@ATL@3@QAEHPBG@Z
00009C29 00009CAA ?VTFromRegType@CRegParser@ATL@2@KGHPBGAAG@Z
00009CAA 00009CE1 ?ChToByte@CRegParser@ATL@2@KGEG@Z
00009CE1 00009D0E ?HKeyFromString@CRegParser@ATL@2@KGPAUHKEY__@@PAG@Z
00009D0E 00009D37 ?StrChrW@CRegParser@ATL@2@KGPAGPAGG@Z
00009D37 00009D5A ?IsSpace@CRegParser@ATL@2@IAEHG@Z
00009D5A 00009D7C ?SkipWhiteSpace@CRegParser@ATL@2@IAEXXZ
00009D7C 00009E6E ?NextToken@CRegParser@ATL@2@IAEJPAG@Z
00009E6E 0000A00F ?AddValue@CRegParser@ATL@2@IAEJAAVCRegKey@2@PBGPAG@Z
0000A00F 0000A03B ?CanForceRemoveKey@CRegParser@ATL@2@IAEHPBG@Z
0000A03B 0000A070 ?HasSubKeys@CRegParser@ATL@2@IAEHPAUHKEY__@@@Z
0000A070 0000A0E6 ?HasValues@CRegParser@ATL@2@IAEHPAUHKEY__@@@Z
0000A0E6 0000A137 ?SkipAssignment@CRegParser@ATL@2@IAEJPAG@Z
0000A137 0000A23E ?PreProcessBuffer@CRegParser@ATL@2@QAEJPAGPAPAG@Z
0000A23E 0000A300 ?AtlModuleLoadTypeLib@ATL@@YGJPAU_ATL_MODULE_30@1@PBGPAPAGPAPAUITypeLib@@@Z
0000A300 0000A309 ??1stringdispid@CComTypeInfoHolder@ATL@@QAE@XZ
0000A309 0000A32B ??_H@YGXPAXIHP6EPAX0@Z@Z
