000079F3 00007A10 ?SetQualifier@CWbemInstance@@UAEJPBGPAVCVar@@J@Z
00007A15 00007A32 ?SetQualifier@CWbemInstance@@UAEJPBGJPAVCTypedValue@@@Z
00007A37 00007A74 ?GetPropQualifier@CWbemInstance@@UAEJPBG0PAVCVar@@PAJ2@Z
00007A79 00007AB9 ?GetPropQualifier@CWbemInstance@@UAEJPBG0PAJPAVCTypedValue@@PAPAVCFastHeap@@H@Z
00007ABE 00007AC7 ?GetNumProperties@CWbemInstance@@UAEHXZ
00007ACC 00007B05 ?GetPropName@CWbemInstance@@UAEJHPAVCVar@@@Z
00007B0A 00007B15 ?IsKeyed@CWbemInstance@@UAEHXZ
00007B1A 00007B25 ?CompactAll@CWbemInstance@@UAEXXZ
00007B2A 00007B2E ?GetTransferArrayHeaderSize@CWbemInstance@@SGJXZ
00007B33 00007B54 ?WriteTransferArrayHeader@CWbemInstance@@SGXJPAPAE@Z
00007B59 00007B5F ?EstimateUnmergeSpace@CWbemInstance@@UAEKXZ
00007B64 00007B75 ?GetClassNameW@CWbemInstance@@UAEJPAVCVar@@@Z
00007B7A 00007B8B ?GetSuperclassName@CWbemInstance@@UAEJPAVCVar@@@Z
00007B90 00007BA1 ?GetPropertyCount@CWbemInstance@@UAEJPAVCVar@@@Z
00007BA6 00007BC1 ?GetGenus@CWbemInstance@@UAEJPAVCVar@@@Z
00007BC6 00007BD2 ?ClearCachedKey@CWbemInstance@@QAEXXZ
00007BD7 00007BE8 ?GetKey@CWbemInstance@@QAEPAVCVar@@XZ
00007BED 00007BFE ?GetIndexedProps@CWbemInstance@@UAEHAAVCWStringArray@@@Z
00007C03 00007C14 ?GetKeyProps@CWbemInstance@@UAEHAAVCWStringArray@@@Z
00007C19 00007C2A ?GetKeyOrigin@CWbemInstance@@UAEJAAVWString@@@Z
00007C2F 00007C33 ?GetWbemObjectUnknown@CWbemInstance@@UAEPAUIUnknown@@XZ
00007C38 00007C3C ?GetInstanceObjectUnknown@CWbemInstance@@UAEPAUIUnknown@@XZ
00007C41 00007C4D ?ClearCachedKeyValue@CWbemInstance@@UAEXXZ
00007C52 00007C5A ?DeleteMethod@CWbemInstance@@UAGJPBG@Z
00007C5F 00007C67 ?PutMethod@CWbemInstance@@UAGJPBGJPAUIWbemClassObject@@1@Z
00007C6C 00007C74 ?EndMethodEnumeration@CWbemInstance@@UAGJXZ
00007C79 00007C81 ?SetPropertyOrigin@CWbemInstance@@UAGJPBGJ@Z
000082D0 000082F4 ?GetNext@CCompressedStringList@@QAEPAVCCompressedString@@PAV2@@Z
000082F9 00008306 ?GetLast@CCompressedStringList@@QAEPAVCCompressedString@@XZ
0000830B 00008341 ?GetAtFromLast@CCompressedStringList@@QAEPAVCCompressedString@@H@Z
00008346 0000837A ?GetNumStrings@CCompressedStringList@@QAEHXZ
0000837F 000083C6 ?Find@CCompressedStringList@@QAEHPBG@Z
000083CB 0000841C ?AddString@CCompressedStringList@@QAEXPBG@Z
00008421 0000843A ?GetLength@CFastHeap@@QAEKXZ
0000843F 00008459 ?GetRealLength@CFastHeap@@QAEKXZ
0000845E 00008466 ?Skip@CFastHeap@@QAEPAEXZ
0000846B 0000848B ?IsValidPtr@CFastHeap@@QAE_NK@Z
00008490 000084B1 ?ElementMaxSize@CFastHeap@@QAEHK@Z
000084B6 000084DE ?SetData@CQualifierSetList@@QAEXPAEHPAVCQualifierSetListContainer@@@Z
000084E3 0000851C ??0CInstancePQSContainer@@QAE@ABV0@@Z
00008521 00008554 ??4CInstancePQSContainer@@QAEAAV0@ABV0@@Z
