00009812 00009831 ?getMutexNonReentrant@Document@@QAEPAVMutex@@K@Z
00009836 00009897 ?Enter@DocumentLock@@QAEXPAUTLSDATA@@PAVDocument@@@Z
0000989C 000098F0 ?Enter@DocumentLock@@QAEXPAUTLSDATA@@PAVElement@@_N@Z
000098F5 0000992A ??0OMWriteLock@@QAE@PAUTLSDATA@@PAVDOMNode@@@Z
0000992F 00009A03 ?put_text@DOMNode@@UAGJPAG@Z
00009A03 00009A18 ?Leave@DocumentLock@@QAEXXZ
00009A1D 00009A30 ??1OMWriteLock@@QAE@XZ
00009A39 00009A67 ?getNextNode@Node@@QBEPAV1@PAPAX@Z
00009A6C 00009ADD ?find@Node@@QAEPAV1@PAVName@@W4NodeType@Element@@PAVDocument@@@Z
00009AE2 00009B14 ?findByNameDef@Node@@QAEPAV1@PAVNameDef@@W4NodeType@Element@@PAVDocument@@@Z
00009B1F 00009C65 ?validateAndUpdateRec@Node@@AAEXPAUNodeInsertInfo@@PAV1@PAVElementDecl@@@Z
00009C6A 00009C87 ??0?$_weakreference@VDocument@@@@QAE@PAVDocument@@@Z
00009C8C 00009C8E ?weakAddRef@Document@@UAEXXZ
00009C93 00009C9E ?_weakAddRef@NonGCGenericBase@@QAEXXZ
00009CA3 00009CB9 ?getDTD@Document@@QAEPAVDTD@@XZ
00009CBE 00009DFB ?ValidateAndUpdate@Node@@CGXPAV1@0@Z
00009E11 00009E30 ?AddRef@Document@@UAGKXZ
00009EAE 00009F07 ?validateNameDef@NamespaceMgr@@SGXW4NodeType@Element@@PAVNameDef@@@Z
00009F0C 00009F9F ?createNode@Document@@QAEPAVNode@@W4NodeType@Element@@QAG1_N@Z
00009FA4 0000A087 ?createNode@DOMDocumentWrapper@@UAGJUtagVARIANT@@PAG1PAPAUIXMLDOMNode@@@Z
0000A099 0000A0A6 ?lockFailedErrorInfo@DocumentLock@@QAE_NXZ
0000A0AB 0000A198 ?insertBefore@DOMNode@@UAGJPAUIXMLDOMNode@@UtagVARIANT@@PAPAU2@@Z
0000A1A9 0000A1DA ?appendChild@DOMNode@@UAGJPAUIXMLDOMNode@@PAPAU2@@Z
0000A1DF 0000A221 ?getFirstNodeNoExpand@Node@@QBEPAV1@PAPAX@Z
0000A226 0000A24A ?getNodeFirstAttribute@Node@@QAEPAV1@PAPAX@Z
0000A24F 0000A270 ?getNodeFirstAttributeWithDefault@Node@@QAEPAV1@PAPAX@Z
0000A275 0000A29C ?getFirstAttribute@Node@@UAEPAVElement@@PAPAX@Z
0000A2A1 0000A2E8 ?Alloc@SlotAllocator@@QAEPAXXZ
0000A322 0000A34D ?newNode@Node@@SGPAV1@W4NodeType@Element@@PAVNameDef@@PAVDocument@@PAVNodeManager@@@Z
0000A352 0000A3B2 ?newNode@Node@@SGPAV1@W4NodeType@Element@@PAVNameDef@@PAV1@PAVString@@PBGKPAVDocument@@PAVNodeManager@@@Z
0000A3B7 0000A3C2 ?_setText@Node@@UAEXPAVString@@@Z
0000A3C7 0000A3FB ?setText@NodeData@@QAEXPAVString@@@Z
0000A413 0000A426 ?holdsKey@HashEntry@@QAE_NPAVObject@@H@Z
0000A450 0000A4A1 ?find@Hashtable@@IAE?AW4FindResult@1@PAVObject@@HPAPAVHashEntry@@PAI2@Z
0000A4A6 0000A4B7 ?_set@Hashtable@@MAEPAUIUnknown@@PAVObject@@PAU2@_N@Z
0000A4C9 0000A4E3 ?EnterRead@ApartmentMutex@@QAEXPAUTLSDATA@@@Z
0000A4E8 0000A50A ?create@Atom@@KGPAV1@PAVString@@PBGH@Z
0000A521 0000A526 ?LeaveRead@ShareMutex@@UAEXXZ
0000A542 0000A5DD ?create@Name@@SGPAV1@PAVAtom@@0@Z
0000A697 0000A6A8 ?newNameDef@NameDef@@SGPAV1@PAVName@@PAVAtom@@1@Z
0000A6AD 0000A6CE ?_qAddRef@Base@@QAEKXZ
0000A6D3 0000A6E4 ?AddRef@Name@@UAGKXZ
0000A6E9 0000A72C ?Alloc@SlotPage@@QAEPAVSlot@@PAVSlotAllocator@@@Z
0000A73C 0000A75A ?addNodeRef@Document@@QAEXXZ
0000A75A 0000A76D ?_addRef@NonGCBase@@IAEKXZ
0000A798 0000A7C4 ??0?$_dispatch@UIXMLDOMNode@@$1?LIBID_MSXML2@@3U_GUID@@B$1?IID_IXMLDOMNode@@3U3@B@@QAE@W4RentalEnum@@@Z
0000A7C9 0000A7D5 ?IncrementComponents@@YGJXZ
0000A7DA 0000A847 ?newDOMNode@DOMNode@@SGPAV1@PAVNode@@@Z
0000A84C 0000A866 ?getDOMNodeWrapper@Node@@QAEPAVDOMNode@@XZ
0000A8A2 0000A908 ?_append@Node@@QAEXPAV1@@Z
0000A9A8 0000A9F9 ?hasAncestor@Node@@QAE_NPBV1@@Z
0000A9FE 0000AA55 ?checkReadOnly@Node@@QAE_NXZ
0000AA5A 0000AABD ?moveNode@Node@@QAEXPAV1@00_N1@Z
