0001AB4A 0001B1D9 _pSetupBackupFile@44
0001B1F1 0001B93E _pSetupGetBackupQueue@12
0001B97D 0001BCBD _pSetupUnwindAll@8
0001BCD1 0001BE24 _SetupGetBackupInformationA@8
0001BE39 0001BE94 _SetupPrepareQueueForRestoreA@12
0001BE99 0001BF8A _UnMapLogFile@16
0001BFC5 0001C143 _WriteLogFileHeader@4
0001C148 0001C294 _MapLogFile@24
0001C2A9 0001C313 _IsSectionHeader@12
0001C318 0001C341 _IsEqualSection@16
0001C346 0001C620 _AppendLogEntryToSection@16
0001C631 0001C6B7 _WriteLogSectionEntry@16
0001C6C9 0001C843 _AllocLogInfoSlot@8
0001C859 0001C918 _ReleaseLogInfoSlot@8
0001C929 0001C9BF _SendLogString@8
0001CA01 0001CA8F _SetLogSectionName@8
0001CAA1 0001CACB _SetThreadLogContext@8
0001CAD0 0001CB0B _AllocLogInfoSlotOrLevel@12
0001CB10 0001CB68 _ShareLogContext@8
0001CB79 0001CC1E _pSetupWriteLogError@12
0001CC23 0001CC7C _pGetVersionText@12
0001CC9D 0001CEFF _CreateTargetAsLinkToMaster@24
0001CF63 0001D1A5 _pCompareFilesExact@8
0001D1B9 0001E707 __SetupInstallFileEx@52
0001E741 0001E810 _SetupInstallFileExA@36
0001E815 0001E929 _SetupInstallFileExW@36
0001E92E 0001E958 _SetupInstallFileA@32
0001E95D 0001E987 _SetupInstallFileW@32
0001E98C 0001EA08 _SetupGenerateCompressedName@4
0001EA19 0001EA52 _pSetupAttemptLocate@12
0001EA57 0001EB39 _SetupDetermineSourceFileName@16
0001EB3E 0001EC29 _pSetupDecompressWinLzFile@8
0001EC52 0001EC84 _pGetCompressInfoCB@16
0001EC89 0001ED59 _pSingleFileDecompCB@16
0001ED5E 0001EEDD _SetupInternalGetFileCompressionInfo@20
0001EF01 0001F090 _SetupGetFileCompressionInfoA@20
0001F0A1 0001F1EE _SetupGetFileCompressionInfoW@20
0001F201 0001F3B3 _SetupGetFileCompressionInfoExA@28
0001F3C9 0001F52B _SetupGetFileCompressionInfoExW@28
0001F541 0001F6C1 _pSetupDecompressOrCopyFile@20
0001F6C6 0001F71A _SetupDecompressOrCopyFileA@12
0001F71F 0001F773 _SetupDecompressOrCopyFileW@12
0001F778 0001F84E _SetupDiClassNameFromGuidExW@24
0001F861 0001F9F4 _SetupDiClassGuidsFromNameExW@24
0001FA09 0001FB8F _SetupDiGetClassDescriptionExW@24
0001FBA1 0001FD6C _SetupDiBuildClassInfoListExW@24
0001FDA5 0001FDC3 _SetupDiClassNameFromGuidW@16
0001FDC8 0001FED6 _SetupDiClassNameFromGuidExA@24
0001FEE9 0001FF38 _SetupDiClassGuidsFromNameA@16
0001FF3D 0001FF5B _SetupDiClassGuidsFromNameW@16
0001FF60 0001FFEA _SetupDiClassGuidsFromNameExA@24
0001FFEF 0002000D _SetupDiGetClassDescriptionW@16
00020012 00020157 _SetupDiGetClassDescriptionExA@24
00020169 00020187 _SetupDiBuildClassInfoList@16
0002018C 000201F2 _SetupDiBuildClassInfoListExA@24
000201F7 000204AC _SetupDiGetINFClassW@20
000204C1 000204DF _SetupDiClassNameFromGuidA@16
000204E4 00020502 _SetupDiGetClassDescriptionA@16
00020507 00020603 _SetupDiGetINFClassA@20
00020619 000207EA _pSetupFillInHardwareAndCompatIds@16
000207EF 00020A6D _pSetupGetInstalledDriverInfo@12
00020AD5 00020C42 _pSetupTestIsInstalledDriver@24
00020C47 00020CC9 _pSetupCalculateRankMatch@16
00020CCE 00020D6B _pSetupIsSimilarDriver@12
00020D70 00020EA3 _pSetupExcludeId@20
00020EBD 00020FDC _pSetupShouldDevBeExcluded@16
00020FE1 000211EE _pSetupMergeDriverNode@12
000211F3 0002125E _pSetupDoesInfContainDevIds@8
00021263 0002131E _DuplicateDriverNode@4
00021331 00021474 _pSetupTestDevCompat@16
00021479 00021631 _pSetupGetDeviceIDs@20
00021636 00021684 _pSetupShouldDeviceBeExcluded@12
00021689 000217D5 _SetupDiEnumDriverInfoW@20
000217E9 000218C8 _SetupDiGetSelectedDriverW@12
000218D9 00021C4A _SetupDiSetSelectedDriverW@12
00021C61 00021D61 _SetupDiGetDriverInfoDetailW@24
00021D79 00021EB5 _SetupDiDestroyDriverInfoList@12
00021EC9 00021FE3 _SetupDiGetDriverInstallParamsW@16
00021FF9 000220F2 _SetupDiSetDriverInstallParamsW@16
00022109 00022250 _BuildCompatListFromClassList@8
00022261 000222F7 _SetupDiCancelDriverInfoSearch@4
00022309 000223A4 _ExtractDrvSearchInProgressNode@4
000223B9 00022E31 _DrvSearchCallback@20
00022EB9 00022F2B _SetupDiEnumDriverInfoA@20
00022F30 00022F9C _SetupDiGetSelectedDriverA@12
00022FA1 00023026 _SetupDiSetSelectedDriverA@12
0002302B 00023435 _SetupDiGetDriverInfoDetailA@24
00023455 000234B1 _SetupDiGetDriverInstallParamsA@16
000234B6 00023512 _SetupDiSetDriverInstallParamsA@16
00023517 000244E5 _SetupDiBuildDriverInfoList@12
00024549 000245F5 _SetupDiGetClassBitmapIndex@8
000246D5 00024843 _CreateMiniIcons@0
00024848 00024A18 _pSetupAddMiniIconToList@8
00024A1D 00024ADE _SetupDiDestroyClassImageList@4
00024AF1 00024BE0 _SetupDiGetClassImageIndex@12
00024BF1 00024DB0 _SetupDiDrawMiniIcon@28
00024DB5 00024E83 _NewMiniIcon@8
00024E99 0002539C _pSetupDiLoadClassIcon@16
000253BD 000253D6 _SetupDiLoadClassIcon@12
000253DB 000259C4 _SetupDiGetClassImageListExW@12
000259E9 000259FE _SetupDiGetClassImageList@4
00025A03 00025A60 _SetupDiGetClassImageListExA@12
