0000C43F 0000C453 _PKCS_Module_Cleanup@0
0000C46E 0000C482 _TerminateNSCP@0
0000C487 0000C49B _PFXNSCP_Module_Cleanup@0
0000C4A0 0000C4B4 _TerminatePFX@0
0000C4B9 0000C4CD _PFXPKCS_Module_Cleanup@0
0000C4EE 0000C502 _PRVTKEY_Module_Cleanup@0
0000C550 0000C585 ?Uninitialize@CDefaultChainEngineMgr@@QAEXXZ
0000C59C 0000C5F0 ?ILS_SignalEventsOnResyncList@@YGXPAKPAPAU_ILS_RESYNC_ENTRY@@@Z
0000C5F5 0000C61B ?ILS_RegNotifyChangeKeyValue@@YGHPAUHKEY__@@PAX@Z
0000C74E 0000C75C _CertPerfIncrementChangeNotifyCuMyCount@0
0000C761 0000C76F _CertPerfIncrementChangeNotifyCount@0
0000C774 0000C7F2 ?RegistryStoreChangeCallback@@YGXPAXE@Z
0000C7F7 0000C805 _CertPerfIncrementChangeNotifyRegCount@0
0000D5EB 0000D604 _RegEnumKeyExU@32
0000D609 0000D640 ?SkipInMemory@@YGHPAXK@Z
0000D650 0000D666 ?LockStore@@YGXPAU_CERT_STORE@@@Z
0000D66B 0000D696 ?IsEmptyStore@@YGHPAU_CERT_STORE@@@Z
0000D69B 0000D6A9 _CertPerfIncrementStoreTotalCount@0
0000D6AE 0000D702 _CertCloseStore@8
0000D710 0000D729 ?GetCacheElement@@YGPAU_CONTEXT_ELEMENT@@PAU1@@Z
0000D72E 0000D761 ?CreatePropElement@@YGPAU_PROP_ELEMENT@@KKPAEK@Z
0000D7AE 0000D7F6 ?ILS_AllocAndCopyString@@YGPAGPBGJ@Z
0000D7FB 0000D816 ?FreeContext@@YGXKPBX@Z
0000D81B 0000D866 ?GetSubKeyInfo@@YGHPAUHKEY__@@PAK1@Z
0000D86B 0000D891 ?OpenHKCUKeyExU@@YGJPAUHKEY__@@PBGKKPAPAU1@@Z
0000D896 0000D8A4 _CertPerfIncrementStoreRegCurrentCount@0
0000D8A9 0000D8B7 _CertPerfIncrementStoreRegTotalCount@0
0000D8E3 0000D8F9 ?FreeEnumPhysicalStoreList@@YGXPAU_ENUM_PHYSICAL_STORE_INFO@@@Z
0000D90A 0000D91D ?GptStoreLeaveCriticalPolicySection@@YGXPAX@Z
0000D922 0000D93A ?OpenAllFromRegistry@@YGHPAU_REG_STORE@@PAX@Z
0000D93F 0000D957 ?OpenAllFromGptRegistry@@YGHPAU_REG_STORE@@PAX@Z
0000D95C 0000D9B6 ?CheckAuthenticodeChainPurpose@@YGHPBU_CERT_CHAIN_CONTEXT@@@Z
0000D9F6 0000DC3D _FormatCertQualifier@24
0000DC57 0000DC83 _I_CryptGetTls@4
0000DDE1 0000DDE4 nullsub_2
0000DF65 0000DFD8 ?ChainProcessSpecialOrDuplicateOIDsInUsage@@YGXPAPAU_CTL_USAGE@@PAK@Z
0000E1E7 0000E203 _Asn1UtilExtractContent@16
0000E21F 0000E24D _PkiAsn1DecodeAndAllocInfo@20
