00004E2C 00004E3D ?InitializeCriticalSection@CComCLBCatalog@@SGJXZ
00004E5D 00004E6E ?InitializeCriticalSection@CComAppl@@SGJXZ
00004E8D 00004E9E ?InitializeCriticalSection@CComProcess@@SGJXZ
00004EBD 00004ECE ?InitializeCriticalSection@CComClass@@SGJXZ
00004F1E 00004F1F nullsub_1
00004F90 0000502C _CoRegInitialize@0
0000503F 00005080 ?InitMemoryGates@@YGXXZ
000051C1 000051D8 _atexit
000051DD 00005206 __onexit
0000520B 00005211 ___dllonexit
00005216 00005283 ?InitNew@VMStructArray@@QAEJKHKK@Z
00005294 000052B9 ?Append@VMStructArray@@QAEPAXXZ
000052C4 00005301 ??0StgHashedIndex@@QAE@_N@Z
00005306 0000531C ?AddRef@StgSortedIndex@@UAGKXZ
0000532A 00005350 ?Append@CStructArray@@QAEPAXXZ
00005355 0000537D ?Grow@CStructArray@@AAEHH@Z
00005382 000053C2 ?InitNew@?$CHashHelper@K$0PPPPPPPP@@@QAEJPAUSTGINDEXDEF@@@Z
000053C7 0000541B ?Open@StgHashedIndex@@UAEJIPAVStgRecordManager@@PAURECORDHEAP@@KPAUSTGINDEXHDR@@PAK@Z
00005420 00005450 ?LoadIndexes@StgRecordManager@@IAEJXZ
000054A1 000054CD ?GetRecordHeap@StgDatabase@@IAEJKHKHPAPAURECORDHEAP@@PAK@Z
00005529 00005538 ?GetCapacity@VMStructArray@@QAEKXZ
00005538 00005539 nullsub_3
00005551 00005561 ??0CInterfaceMethod@CComClass@@QAE@XZ
00005566 00005570 ??0CGrowableBuffer@@QAE@XZ
00005585 0000559E ??0?$CDynArray@UStgBlobRemap@StgBlobPool@@@@QAE@H@Z
000055A3 000055C5 ??0CBlobPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
000055E1 00005603 ??0CGuidPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
0000561D 00005635 ?AddRef@StgDatabase@@UAGKXZ
00005673 0000567A ?GetCurrentOffset@StgIO@@QAEKXZ
0000567F 000056E0 ??0StgIO@@QAE@_N@Z
000056E5 00005710 ?Read@StgIO@@QAEJPAXKPAK@Z
00005732 00005752 ?Append@CSchemaList@@QAEJPAUSCHEMADEFS@@@Z
000057C5 000057FF ?SchemaAdd@StgTSICRReadWrite@@UAGJPBU_tagCOMPLIBSCHEMABLOB@@@Z
0000582A 00005830 _realloc
00005835 00005862 ?ReHash@CClosedHashBase@@AAE_NXZ
00005867 00005890 ?InitFree@CClosedHashBase@@AAEXPAEH@Z
000058A8 000058CE ?AddCoreOverrides@StgDatabase@@AAEJPAUSCHEMADEFS@@PBU2@HHQAE@Z
000058F2 00005937 ??0StgStringPool@@QAE@XZ
000059A1 000059E5 ?InitOnMem@StgStringPool@@UAEJPAXKH@Z
000059EA 00005A2F ?InitSchemaLoad@StgDatabase@@AAEJJPAUSTGSCHEMA@@HHHQAE@Z
00005A3B 00005A6E ?ReadHeader@TiggerStorage@@AAEJXZ
00005B19 00005BA7 ?InitClbFile@StgDatabase@@IAEJKPAVStgIO@@@Z
00005BAC 00005BC7 ?InitNew@StgVariantPool@@QAEJPAVStgBlobPool@@PAVStgStringPool@@@Z
00005BCC 00005BF5 ?GetStgDatabase@@YGJPAPAVStgDatabase@@@Z
00005BFA 00005CC8 ?SchemaAdd@StgDatabase@@UAGJPBU_tagCOMPLIBSCHEMABLOB@@@Z
00005CCD 00005D05 ?QueryInterface@StgTSICRReadOnly@@UAGJABU_GUID@@PAPAX@Z
00005D0A 00005D39 ?Open@StgIO@@QAEJPBGJPBXKPAUIStream@@@Z
00005D4B 00005D8C ?AddSchemasRefsFromFile@StgDatabase@@IAEJPAUSTGEXTRA@@@Z
00005D91 00005DC7 ?NewInit@?$CHashTableAndData@VCNewData@@@@QAEJGGH@Z
00005DCC 00005DE6 ?NewInit@CHashTable@@QAEJPAEG@Z
00005DEB 00005E7B ?InitDatabase@StgDatabase@@UAEJPBGKPAXKPAUIStream@@@Z
00005E80 00005EA8 ?GetThreadSafeICR@@YGJHPAUIComponentRecords@@ABU_GUID@@PAPAX@Z
00005EBA 00005EE6 ?VerifySignature@TiggerStorage@@AAEJPAUSTORAGESIGNATURE@@@Z
00005EEB 00005F70 ?Init@TiggerStorage@@QAEJPAVStgIO@@@Z
00005F75 00005F91 ?GetPersistHashMethod@@YGP6GKKGPBEK@ZH@Z
00005FA1 00005FB7 ??0?$TStringMap@PAUIUserSection@@$0BB@VCNewData@@$0BAAA@@@QAE@XZ
00005FC1 00005FE8 ??0?$CHashTableAndData@VCNewData@@@@QAE@G@Z
00005FED 00006012 ??0CHashTable@@QAE@G@Z
00006017 00006039 ??0CStringPoolHash@@QAE@PAVStgPoolReadOnly@@@Z
00006055 00006085 ??0?$CChainedHash@UGUIDHASH@@@@QAE@H@Z
0000608A 000060E8 ?GetFileTypeForPath@@YGJPAVStgIO@@PAW4FILETYPE@@@Z
000060ED 00006131 ?Seek@StgIO@@QAEKJK@Z
00006136 000061BD ??0SCHEMADEFSDATA@@QAE@XZ
000061C2 000061F5 ??0StgGuidPool@@QAE@XZ
00006261 00006284 ?InitOnMem@StgGuidPool@@UAEJPAXKH@Z
00006289 000062C2 ?InitOnMem@StgPool@@UAEJPAXKH@Z
000062C7 000062E9 ?InitOnMemReadOnly@StgPoolReadOnly@@QAEJPAXK@Z
000062EE 00006322 ??0StgBlobPool@@QAE@K@Z
00006391 000063AF ?InitOnMem@StgBlobPool@@UAEJPAXKH@Z
000063B4 000063EC ??0StgVariantPool@@QAE@XZ
00006459 00006497 ??0StgPool@@QAE@K@Z
0000649C 000064E3 ??0SCHEMADEFSCOR@@QAE@XZ
000064F9 00006602 ??0StgDatabase@@QAE@XZ
00006607 00006694 ??0RTSemExclusive@@QAE@K@Z
00006699 000066BB ??0?$CClosedHash@USTGOPENTABLEHASH@@@@QAE@H_N@Z
000066C0 000066F4 ??0CClosedHashBase@@QAE@HH_N@Z
000066F9 00006718 ??0COpenTablePtrHash@@QAE@H@Z
00006735 00006755 ?SetStatus@COpenTablePtrHash@@UAEXPAEW4ELEMENTSTATUS@CClosedHashBase@@@Z
0000675A 0000678D ??0TiggerStorage@@QAE@XZ
00006792 000067AB ??0?$CDynArray@USTORAGESTREAM@@@@QAE@H@Z
000067CA 000067F6 ?Init@?$TFreeList@E@@QAEXPAEH@Z
000067FB 0000683D ??0StgTSICRReadOnly@@QAE@PAUIComponentRecords@@@Z
00006861 00006875 ?GetClassInfoFromProgId@CLegacyCatalog@@UAGJPAUIUserToken@@PAGABU_GUID@@PAPAXPAX@Z
00006892 000068C1 ?GetCellNull@StgRecordManager@@IAE_NPAHHPAUSTGTABLEDEF@@@Z
000068C6 00006906 ?GetClassInfoFromProgId@CComCLBCatalog@@EAGJPAUIUserToken@@PAGABU_GUID@@PAPAXPAX@Z
0000690B 00006980 ?IsSelfRegProgID@@YGHQAGPAHPAU_GUID@@@Z
00006A7B 00006AB3 ?WszCreateFile@@YGPAXPBGKKPAU_SECURITY_ATTRIBUTES@@KKPAX@Z
00006AB8 00006AEA ?WszCreateFileMapping@@YGPAXPAXPAU_SECURITY_ATTRIBUTES@@KKKPBG@Z
00006AEF 00006B0A ?MapFileError@@YGJK@Z
00006B0F 00006B19 ?PostError@@YAJJZZ
00006B5D 00006B7A __allmul
00006B7F 00006BE8 ?GetVersionFromClbName@@YG_JPAG@Z
00006C2D 00006C39 ?DeleteCriticalSection@CComCLBCatalog@@SGXXZ
00006C3E 00006C4A ?DeleteCriticalSection@CComAppl@@SGXXZ
00006C4F 00006C5B ?DeleteCriticalSection@CComProcess@@SGXXZ
00006C60 00006C6C ?DeleteCriticalSection@CComClass@@SGXXZ
00006C7C 00006C9B ??1CHashTable@@QAE@XZ
00006CA0 00006CBE ?Clear@?$CChainedHash@UGUIDHASH@@@@UAEXXZ
00006CC3 00006CDE ??1?$CHashTableAndData@VCNewData@@@@QAE@XZ
00006CE3 00006CF8 ??1StgVariantPool@@UAE@XZ
00006CFD 00006D1E ??_GStgStringPool@@UAEPAXI@Z
00006D5F 00006D87 ?Uninit@StgStringPool@@UAEXXZ
00006D8C 00006DA0 ?Uninit@StgBlobPool@@UAEXXZ
00006DA5 00006DBB ?Uninit@StgVariantPool@@UAEXXZ
00006DC0 00006DDE ??1StgRecordManager@@QAE@XZ
00006DE3 00006E10 ?IsValidPtr@SCHEMADEFS@@SG_NPAU1@@Z
00006E15 00006E43 ?Close@StgDatabase@@UAEXXZ
00006E48 00006E59 ??1VMStructArray@@QAE@XZ
00006E87 00006EA1 ?FreeRecordHeap@StgDatabase@@IAEXPAURECORDHEAP@@@Z
00006EAA 00006EAB ?Close@StgSortedIndex@@UAEXXZ
00006EB0 00006EDB ?FindFirstEntry@CHashTable@@QAEPAEPAUHASHFIND@@@Z
00006EE0 00006F0B ?FindNextEntry@CHashTable@@QAEPAEPAUHASHFIND@@@Z
00006F20 00006F3A ?Clear@VMStructArray@@QAEXXZ
00006F56 00006F9A ?Clear@COpenTableHeap@@QAEXXZ
00006F9F 00006FB6 ?Clear@?$TItemHeap@VSTGOPENTABLE@@$0DA@E@@QAEXXZ
00006FBB 00006FDF ?DelEntry@?$TItemHeap@VSTGOPENTABLE@@$0DA@E@@QAEXPAVSTGOPENTABLE@@@Z
00007047 0000706C ?SafeFreeSchema@SCHEMADEFS@@SGXPAU1@@Z
00007071 00007093 ??_GSCHEMADEFS@@QAEPAXI@Z
00007098 000070B4 ??_GSTGOPENTABLE@@QAEPAXI@Z
0000713B 0000715C ??_GStgDatabase@@QAEPAXI@Z
00007161 000071D3 ??1StgDatabase@@QAE@XZ
000071D3 000071E8 ??1SCHEMADEFSCOR@@QAE@XZ
000071ED 000071FF ??1StgStringPool@@UAE@XZ
00007204 00007240 ?FreePageMap@StgIO@@AAEXXZ
00007266 00007287 ??_GStgIO@@QAEPAXI@Z
0000728C 000072BA ??1StgIO@@QAE@XZ
000072BF 000072F3 ?Close@StgIO@@QAEXXZ
000072F8 00007319 ?Clear@?$TStringMap@PAUIUserSection@@$0BB@VCNewData@@$0BAAA@@@QAEXXZ
0000731E 0000733E ?Clear@?$CHashTableAndData@VCNewData@@@@QAEXXZ
0000733E 0000735D ?Clear@CHashTable@@QAEXXZ
00007387 000073AC ?ValidItemIndex@VMStructArray@@QAEHPAX@Z
000073B1 000073D9 ??1StgTSICRReadOnly@@QAE@XZ
000073D9 000073DA nullsub_4
000073DF 0000740F ?Release@StgHashedIndex@@EAGKXZ
00007414 00007435 ??_EStgHashedIndex@@UAEPAXI@Z
0000743A 0000745D ??1StgHashedIndex@@UAE@XZ
00007462 0000747C ??1?$CHashHelper@K$0PPPPPPPP@@@QAE@XZ
000074AF 000074D4 _CoRegUnInitialize@0
000074D9 000074F1 ??1StgPool@@UAE@XZ
000074F1 000074F8 ??1StgPoolReadOnly@@QAE@XZ
00007529 0000753B ??1StgGuidPool@@UAE@XZ
00007540 00007552 ??1?$CChainedHash@UGUIDHASH@@@@QAE@XZ
00007557 0000758D ??1SCHEMADEFSDATA@@QAE@XZ
00007592 000075A4 ??1StgBlobPool@@UAE@XZ
000075A9 000075BB ??1COpenTableHeap@@QAE@XZ
000075C0 000075DF ?Clear@CMemChunk@@QAEXXZ
000075E4 00007617 ?CloseTable@StgRecordManager@@UAEXXZ
0000761C 00007663 ?FreeHeapData@StgDatabase@@IAEXPAURECORDHEAP@@@Z
00007668 00007680 ?Delete@VMStructArray@@QAEXK@Z
00007685 000076AC ??_GCOpenTablePtrHash@@QAEPAXI@Z
000076B1 000076CC ?Clear@CClosedHashBase@@UAEXXZ
000076D1 000076F2 ??_GTiggerStorage@@QAEPAXI@Z
000076F7 0000771B ??1TiggerStorage@@QAE@XZ
0000788B 000078AD ?Release@CComProcess@@EAGKXZ
000078B2 000078E7 ?Init@CComProcess@@AAEJABU_GUID@@@Z
0000791F 00007936 ?GetProcessInfo@CComCLBCatalog@@EAGJPAUIUserToken@@ABU_GUID@@1PAPAXPAX@Z
0000793B 0000796A ?Create@CComProcess@@SGJABU_GUID@@0PAPAX@Z
0000796F 00007A09 ??0CComProcess@@AAE@XZ
00007A21 00007A3F ??_ECComProcess@@UAEPAXI@Z
00007A44 00007A7F ??1CComProcess@@UAE@XZ
00007A84 00007ADB ?IsComplusApp@@YGHPBU_GUID@@PAH@Z
00007B41 00007B57 ?AddRef@CComProcess@@EAGKXZ
00007B5C 00007BEB ??1CComClass@@UAE@XZ
00007C0A 00007C30 ??1CLegacyCatalog@@QAE@XZ
00007C35 00007C69 ?MapFileToMem@StgIO@@QAEJAAPAXPAK@Z
00007C76 00007C95 ?Grow@VMStructArray@@AAEHK@Z
00007C9A 00007CB4 ?WszWideCharToMultiByte@@YGHIKPBGHPADHPBDPAH@Z
00007CB4 00007CEF __SEH_prolog
00007CEF 00007D00 __SEH_epilog
00007D00 00007D1F __EH_prolog
00007D62 00007DCA __aulldiv
00007DCA 00007DE9 __aullshr
00009767 00009821 _CoRegGetICR@4
0000989E 000098F4 ?TableHash@@YGKKGPBEK@Z
00009A1B 00009A30 ?DestroyStgDatabase@@YGXPAVStgDatabase@@@Z
00009A35 00009A52 ?DataPart@@YGPAEPBEPBUtagDBBINDING@@@Z
00009A57 00009AC1 ?LengthPart@@YGKPBEPBUtagDBBINDING@@@Z
00009AC6 00009D27 ?CmpData@@YGHGPAX0HH@Z
00009DA4 00009DE8 ?CompareBytes@@YGHKPAEK0K@Z
0000A2BE 0000A2D2 ?Clear@CStructArray@@QAEXXZ
0000A307 0000A345 ?Uninit@StgPool@@UAEXXZ
0000A5A3 0000A741 ?GetPtrForMem@StgIO@@QAEJKKAAPAX@Z
0000B78B 0000B7BC ?QuickOpenTable@StgDatabase@@QAEJAAPAVSTGOPENTABLE@@H@Z
0000B7C1 0000B871 ?QueryInterface@StgDatabase@@UAGJABU_GUID@@PAPAX@Z
0000C986 0000CA1C ?CompareRecordToKey@StgRecordManager@@QAEHPAUSTGCOLUMNDEF@@PAHPAUtagDBBINDING@@PAEK@Z
0000CA5E 0000CAFA ?QueryRowByPrimaryKey@StgRecordManager@@IAEJPAUSTGCOLUMNDEF@@PAVIStgIndex@@KQAUtagDBBINDING@@KPAXPAPAH@Z
0000D1D1 0000D28B ?ClearOptimizedData@StgRecordManager@@IAEXXZ
0000D33D 0000D385 ?DelOpenTable@COpenTableHeap@@QAEXPAVSTGOPENTABLE@@@Z
0000D476 0000D498 ?GetExtraData@TiggerStorage@@QAEJPAKAAPAE@Z
0000D645 0000D6E5 ?FindStream@TiggerStorage@@AAEPAUSTORAGESTREAM@@PBD@Z
0000E231 0000E27D __GetRegistrationDirectory@4
00027DD9 00027F00 ?RegRecursiveDeleteKey@@YGJPAUHKEY__@@@Z
00027F05 00027F8E ?RegDeleteTree@@YGJPAUHKEY__@@PBG@Z
00027F93 00027FB1 ?RegSafeCloseKey@@YGXAAPAUHKEY__@@@Z
00027FB6 0002806D _DllGetClassObject@12
00028072 00028118 _DllRegisterServer@0
0002811D 00028158 _DllUnregisterServer@0
0002815D 00028163 ?GetModuleInst@@YGPAUHINSTANCE__@@XZ
00028168 00028181 _GetComputerObject@8
00028186 000281CB _GetSimpleTableDispenser@8
000281D0 000281D6 ?Release@CComComputer@@UAGKXZ
000281DB 00028225 ?InitSimpleTableDispenser@CComCLBCatalog@@CGJXZ
0002822A 0002828E ?GetReadTable@CComCLBCatalog@@SGJABU_GUID@@PBU__MIDL___MIDL_itf_stable_0000_0002@@KKPAPAUISimpleTableRead@@@Z
00028293 000282F7 ?GetReadTableClassic@CComCLBCatalog@@SGJABU_GUID@@PBU__MIDL___MIDL_itf_stable_0000_0002@@KKPAPAUISimpleTableRead@@@Z
000282FC 00028316 ?GetApplicationInfo@CComCLBCatalog@@EAGJPAUIUserToken@@ABU_GUID@@1PAPAXPAX@Z
0002831B 00028332 ?GetInterfaceInfo@CComCLBCatalog@@EAGJPAUIUserToken@@ABU_GUID@@1PAPAXPAX@Z
00028337 00028430 ?GetApplicationCount@CComCLBCatalog@@EAGJPAK@Z
00028471 00028487 ?GetApplicationIDs@CComCLBCatalog@@EAGJPAPAU_GUID@@@Z
0002848C 000284B4 ?GetClassInfoByPartition@CComCLBCatalog@@EAGJPAUIUserToken@@ABU_GUID@@11PAPAXPAX@Z
