0001910D 00019180 _CheckForSocketDuplicationProtocol@4
00019185 000191D8 _AdjustReceiveBytesBufferedOnReceiveComplete@16
000191DD 00019233 _NotifyAfdOfReceiveComplete@12
00019238 00019255 _AdjustReceiveBytesBufferedOnApplicationRecv@12
0001925A 00019318 _NotifyAfdOfApplicationReceive@8
0001931D 00019343 _NotifyAfdOfSendAvail@4
00019348 00019399 _NotifyAfdOfClose@8
0001939E 000194B6 _CheckControlMessageSpecialConditions@8
000194BB 00019533 _CheckBSQHeadForCompletion@4
00019538 00019583 _NotifyAfdOfSendNotAvail@4
00019588 000195EA _AreSendBuffersAvailable@4
000195EF 00019652 _HandleFlowControlUponSmallRecvOrSelect@4
00019657 00019692 _CheckRdmaModeUponSmallRecv@8
00019697 000197D5 _SockSanSecureMemoryCacheCallback@8
000197DA 0001987D _SockGetConnectData@20
00019882 000198B9 _SockFreeHelperDll@4
000198BE 000198F4 _SockFreeHelperDlls@0
000198F9 00019AB6 _WSPShutdown@12
00019ABB 00019C87 _WSPRecvDisconnect@12
00019C99 00019E71 _WSPSendDisconnect@12
00019E89 00019EAE _IsSockaddrEqualToZero@8
00019EB3 00019F44 _UnconnectDatagramSocket@4
00019F49 0001A108 _SockDoConnectEx@28
0001A125 0001A2EA _SockSanDoConnectEx@32
0001A301 0001A3B3 _MSAFD_ConnectEx@28
0001A3B8 0001ADDC _WSPJoinLeaf@36
0001ADFD 0001AE77 _WSPGetQOSByName@16
0001AE7C 0001AED6 _WSPCancelBlockingCall@4
0001AEDB 0001B035 _WSPDuplicateSocket@16
0001B049 0001B144 _WSPGetOverlappedResult@24
0001B159 0001B29D _WSPGetPeerName@16
0001B2B1 0001B2FB _MSAFD_GetAcceptExSockaddrs@32
0001B300 0001B5FC _SockCoreAccept@8
0001B601 0001BB30 _WSPAccept@24
0001C39D 0001C59D _MSAFD_TransmitFile@28
0001C5B1 0001C751 _MSAFD_DisconnectEx@16
0001C769 0001C91B _MSAFD_TransmitPackets@24
0001C931 0001CCB3 _SanTransmitPackets@24
0001CCE1 0001CD03 _FlatBuf_CopyMemory@16
0001CD08 0001CD2D _PtrArrayToOffsetArray@8
0001CD32 0001CE5F _CopyServEntry@20
0001CE64 0001CE72 _NSPSetService@20
0001CE77 0001CE88 _NSPInstallServiceClass@8
0001CE8D 0001CE9E _NSPGetServiceClassInfo@12
0001CEA3 0001CEF1 _SaveAnswer@12
0001CEF6 0001CFD1 _dn_expand@20
0001CFD6 0001D02D _setSingleIpHostent@8
0001D032 0001D097 _BytesInHostent@4
0001D09C 0001D1B6 _DnsStatusToWS2Error@4
0001D1BB 0001D255 __sethtent@4
0001D267 0001D2C9 __endhtent@0
0001D2CE 0001D4A4 __gethtent@0
0001D4A9 0001D8E7 _myhostent@0
0001D8EF 0001D90C _localhostent@0
0001D911 0001D92E _localhostent_W@0
0001D933 0001DB28 _CopyHostentToBuffer@12
0001DB2D 0001DF01 _QueryDnsCache@16
0001DF06 0001DF80 __gethtbyname@4
0001DF85 0001DF96 _dnshostent@0
0001DF9B 0001E325 _SockNbtResolveAddr@8
0001E32A 0001E3C6 __pTryReverseLookup_Nbt@4
0001E3CB 0001E465 _setservent@4
0001E476 0001E4D8 _endservent@0
0001E4DD 0001E6D8 _getservent@0
0001E6E0 0001E779 __pgetservebyname@8
0001E77E 0001E7E7 __pgetservebyport@8
0001E7EC 0001E868 _AllocateUnicodeString@8
0001E86D 0001E986 _Rnr_GetHostByAddr@8
0001E98B 0001EA9C __pgethostname@8
0001EAAA 0001EAF8 _TransmitFile@28
0001EB0D 0001EB9C _SockGetGAESAFuncAddress@4
0001EBA1 0001EC3D _SockInitializeBufferKeyTable@0
0001EC92 0001ECB8 _GetAcceptExSockaddrs@32
0001ECBD 0001EDA1 _SockRememberAcceptExBuffer@8
0001EDA6 0001F3F0 _EnumProtocolsW@12
0001F3F5 0001F453 _EnumProtocolsA@12
0001F458 0001F4A2 _DoParallelResolution@4
0001F4A7 0001F565 _CopyCsaddrToUserBuffer@28
0001F56A 0001FAEB _DoNameResolution@36
0001FAF0 0001FB71 _GetAddressByNameW@40
0001FB76 0001FCD7 _GetAddressByNameA@40
0001FCDC 0001FD42 _GetAnsiName@4
0001FD47 0001FE0A _GetOemName@4
0001FE0F 0001FE4F _WriteAnsiName@12
0001FE54 00020069 _GetTypeByNameW@8
0002006E 000200C9 _GetTypeByNameA@8
000200CE 0002035E _GetNameByTypeW@12
00020363 000203FD _GetNameByTypeA@12
00020402 00020541 _SSRegistrySettings@12
00020551 000205F3 _PackString@24
000205F8 00020788 _PackBlobWorker@24
0002078D 00020945 _SetServiceWorker@28
0002094A 00020BCB _PackBuffer@32
00020BD0 00020D3C _SetServiceA@24
00020D41 00020D63 _SetServiceW@24
00020D68 00020ED7 _GetServiceWorker@32
00020EDC 00020F38 _GetServiceA@28
00020F3D 00020F62 _GetServiceW@28
00020F67 00020FA0 _IsStringInMultiSz@8
00020FA5 00020FDE _ReadDword@12
00020FE3 00021078 _ReadMultiSz@12
0002107D 00021118 _ReadString@12
0002111D 000211BA _ReadBinary@16
000211BF 000211F8 _ReadGuid@12
000211FD 0002121C _WriteDword@12
00021221 00021271 _WriteMultiSz@12
