0001C692 0001C6A0 _iswpunct
0001C6A0 0001C6B6 __iswalnum_l
0001C6B6 0001C6C7 _iswalnum
0001C6C7 0001C6DD __iswprint_l
0001C6DD 0001C6EE _iswprint
0001C6EE 0001C704 __iswgraph_l
0001C704 0001C715 _iswgraph
0001C715 0001C728 __iswcntrl_l
0001C728 0001C736 _iswcntrl
0001C736 0001C742 _iswascii
0001C742 0001C768 __iswcsym_l
0001C768 0001C789 ___iswcsym
0001C789 0001C7AF __iswcsymf_l
0001C7AF 0001C7D0 ___iswcsymf
0001C7D0 0001C9C7 wcstoxl
0001C9C7 0001C9F0 _wcstol
0001C9F0 0001CA0B __wcstol_l
0001CA0B 0001CA35 _wcstoul
0001CA35 0001CA50 __wcstoul_l
0001CA50 0001CBAF __wctomb_s_l
0001CBAF 0001CBCA _wctomb_s
0001CBCA 0001CC19 __wctomb_l
0001CC19 0001CC49 _wctomb
0001CC49 0001CE74 strtoxl
0001CE74 0001CE9D _strtol
0001CE9D 0001CEB8 __strtol_l
0001CEB8 0001CEE2 _strtoul
0001CEE2 0001CEFD __strtoul_l
0001CEFD 0001CFAA __towlower_l
0001CFAA 0001CFB8 _towlower
0001CFB8 0001CFC0 __tolower
0001CFC0 0001D0D7 __tolower_l
0001D0D7 0001D0FE _tolower
0001D0FE 0001D1A4 __atodbl_l
0001D1A4 0001D1B7 __atodbl
0001D1B7 0001D25E __atoldbl_l
0001D25E 0001D271 __atoldbl
0001D271 0001D317 __atoflt_l
0001D317 0001D32A __atoflt
0001D32A 0001D3E7 __fptostr
0001D3E7 0001D49D __isctype_l
0001D49D 0001D4CC __isctype
0001D4CC 0001D760 strtoxq
0001D760 0001D789 __strtoi64
0001D789 0001D7A4 __strtoi64_l
0001D7A4 0001D7CE __strtoui64
0001D7CE 0001D7E9 __strtoui64_l
0001D7E9 0001D86B __iswctype_l
0001D86B 0001D8D9 _iswctype
0001D8D9 0001D8DE _is_wctype
0001D8DE 0001DA60 __wchartodigit
0001DA60 0001DB62 __msize
0001DB70 0001DC05 __aulldvrm
0001DC10 0001DC44 __allmul
0001DC50 0001DD2F __alldvrm
0001DD30 0001DD4F __aullshr
0001DD4F 0001E315 __write_nolock
0001E315 0001E3F1 __write
0001E3F1 0001E4D2 __commit
0001E4D2 0001E555 __lseeki64_nolock
0001E555 0001E66E __lseeki64
0001E66E 0001E6CC __isatty
0001E6CC 0001E760 __close_nolock
0001E760 0001E82D __close
0001E82D 0001E8EF __putwch_nolock
0001E8EF 0001E98A __cputws
0001E98A 0001E9D0 __putwch
0001E9D0 0001EA4D __set_osfhnd
0001EA4D 0001EACE __free_osfhnd
0001EACE 0001EB3F __get_osfhandle
0001EB3F 0001EBDF ___lock_fhandle
